epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69069457,0.50000000,0.50000000,0.09333333,0.15730337,0.70775723,0.49000000,0.46666667,0.14000000,0.21538462
2,0.69738311,0.50666667,0.66666667,0.02666667,0.05128205,0.69674718,0.52000000,1.00000000,0.04000000,0.07692308
3,0.68054163,0.59000000,0.55172414,0.96000000,0.70072993,0.71018678,0.47000000,0.48351648,0.88000000,0.62411348
4,0.67739236,0.55333333,0.60000000,0.32000000,0.41739130,0.70362490,0.50000000,0.50000000,0.36000000,0.41860465
5,0.68487227,0.56666667,0.56024096,0.62000000,0.58860759,0.69830096,0.49000000,0.49152542,0.58000000,0.53211009
6,0.69438511,0.49333333,0.49494949,0.65333333,0.56321839,0.69420743,0.51000000,0.50769231,0.66000000,0.57391304
7,0.68643439,0.52333333,0.68421053,0.08666667,0.15384615,0.69105810,0.50000000,0.50000000,0.08000000,0.13793103
8,0.68524951,0.53666667,0.55913978,0.34666667,0.42798354,0.68952972,0.53000000,0.55172414,0.32000000,0.40506329
9,0.68467480,0.55000000,0.82608696,0.12666667,0.21965318,0.69009215,0.55000000,0.85714286,0.12000000,0.21052632
10,0.67019773,0.61333333,0.60897436,0.63333333,0.62091503,0.69334066,0.51000000,0.50819672,0.62000000,0.55855856
11,0.78773063,0.51000000,1.00000000,0.02000000,0.03921569,0.79383957,0.50000000,0.00000000,0.00000000,0.00000000
12,0.66739511,0.60333333,0.56326531,0.92000000,0.69873418,0.69765246,0.53000000,0.51685393,0.92000000,0.66187050
13,0.70999336,0.53000000,0.51546392,1.00000000,0.68027211,0.75822449,0.49000000,0.49494949,0.98000000,0.65771812
14,0.65223598,0.58333333,0.79069767,0.22666667,0.35233161,0.69593519,0.57000000,0.76923077,0.20000000,0.31746032
15,0.65409118,0.56666667,0.79411765,0.18000000,0.29347826,0.70584643,0.57000000,0.73333333,0.22000000,0.33846154
16,0.63650900,0.66000000,0.61650485,0.84666667,0.71348315,0.70856482,0.51000000,0.50704225,0.72000000,0.59504132
17,0.67126292,0.58333333,0.54578755,0.99333333,0.70449173,0.72036028,0.47000000,0.48453608,0.94000000,0.63945578
18,0.67036784,0.55333333,0.52857143,0.98666667,0.68837209,0.71440119,0.49000000,0.49484536,0.96000000,0.65306122
19,0.62180263,0.64333333,0.74157303,0.44000000,0.55230126,0.71200365,0.56000000,0.60000000,0.36000000,0.45000000
20,0.65868706,0.60333333,0.55938697,0.97333333,0.71046229,0.75531113,0.50000000,0.50000000,0.94000000,0.65277778
21,0.62901807,0.60000000,0.72727273,0.32000000,0.44444444,0.71713257,0.56000000,0.68750000,0.22000000,0.33333333
22,0.60970050,0.71000000,0.65517241,0.88666667,0.75354108,0.70359874,0.57000000,0.54545455,0.84000000,0.66141732
23,0.58300334,0.68333333,0.70072993,0.64000000,0.66898955,0.75586164,0.50000000,0.50000000,0.50000000,0.50000000
24,0.57847506,0.72666667,0.70731707,0.77333333,0.73885350,0.73303145,0.50000000,0.50000000,0.58000000,0.53703704
25,0.57155490,0.72000000,0.78947368,0.60000000,0.68181818,0.76684707,0.56000000,0.57500000,0.46000000,0.51111111
26,0.64593679,0.57333333,0.95833333,0.15333333,0.26436782,0.80613405,0.54000000,0.83333333,0.10000000,0.17857143
27,0.55696565,0.75000000,0.71186441,0.84000000,0.77064220,0.71711183,0.51000000,0.50847458,0.60000000,0.55045872
28,0.65179193,0.60000000,0.55681818,0.98000000,0.71014493,0.72989851,0.51000000,0.50588235,0.86000000,0.63703704
29,0.59356230,0.69333333,0.64215686,0.87333333,0.74011299,0.72848642,0.52000000,0.51470588,0.70000000,0.59322034
30,0.60947561,0.60000000,0.94117647,0.21333333,0.34782609,0.73627698,0.52000000,0.66666667,0.08000000,0.14285714
31,0.55377966,0.75666667,0.68599034,0.94666667,0.79551821,0.71224904,0.50000000,0.50000000,0.76000000,0.60317460
32,0.53596437,0.76333333,0.69082126,0.95333333,0.80112045,0.72634232,0.52000000,0.51388889,0.74000000,0.60655738
33,0.56220162,0.71000000,0.63876652,0.96666667,0.76923077,0.73737395,0.49000000,0.49382716,0.80000000,0.61068702
34,0.53889757,0.71000000,0.63876652,0.96666667,0.76923077,0.81299710,0.48000000,0.48717949,0.76000000,0.59375000
35,0.54159278,0.77333333,0.75625000,0.80666667,0.78064516,0.71596694,0.53000000,0.52542373,0.62000000,0.56880734
36,0.52195686,0.77666667,0.88073394,0.64000000,0.74131274,0.76913571,0.51000000,0.51162791,0.44000000,0.47311828
37,0.52137989,0.79000000,0.74857143,0.87333333,0.80615385,0.78221452,0.48000000,0.48275862,0.56000000,0.51851852
38,0.50536925,0.76000000,0.90625000,0.58000000,0.70731707,0.82694787,0.54000000,0.55882353,0.38000000,0.45238095
39,0.55708325,0.63333333,0.91666667,0.29333333,0.44444444,0.92940414,0.52000000,0.57142857,0.16000000,0.25000000
40,0.51288891,0.74000000,0.77272727,0.68000000,0.72340426,0.82786226,0.49000000,0.48936170,0.46000000,0.47422680
41,0.47742996,0.75000000,0.67281106,0.97333333,0.79564033,0.81279635,0.56000000,0.53846154,0.84000000,0.65625000
42,0.48246154,0.74666667,0.74025974,0.76000000,0.75000000,0.81038958,0.55000000,0.55555556,0.50000000,0.52631579
43,0.49288306,0.72666667,0.64912281,0.98666667,0.78306878,0.98040754,0.53000000,0.51764706,0.88000000,0.65185185
44,0.43589813,0.78000000,0.82307692,0.71333333,0.76428571,0.96437019,0.48000000,0.47727273,0.42000000,0.44680851
45,0.61118042,0.67333333,0.60743802,0.98000000,0.75000000,0.96907020,0.47000000,0.48314607,0.86000000,0.61870504
