epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69019765,0.57333333,0.54824561,0.83333333,0.66137566,0.70829731,0.47000000,0.48000000,0.72000000,0.57600000
2,0.68240398,0.55333333,0.56451613,0.46666667,0.51094891,0.70613831,0.50000000,0.50000000,0.40000000,0.44444444
3,0.67698503,0.58000000,0.58571429,0.54666667,0.56551724,0.70554829,0.49000000,0.49019608,0.50000000,0.49504950
4,0.67307961,0.57666667,0.61855670,0.40000000,0.48582996,0.71032041,0.44000000,0.38461538,0.20000000,0.26315789
5,0.66738647,0.60333333,0.59393939,0.65333333,0.62222222,0.71203864,0.43000000,0.44067797,0.52000000,0.47706422
6,0.66698521,0.65333333,0.60176991,0.90666667,0.72340426,0.71498638,0.45000000,0.46666667,0.70000000,0.56000000
7,0.66161644,0.64333333,0.69026549,0.52000000,0.59315589,0.71506149,0.46000000,0.44444444,0.32000000,0.37209302
8,0.65680307,0.67333333,0.63978495,0.79333333,0.70833333,0.71638197,0.46000000,0.46666667,0.56000000,0.50909091
9,0.65412062,0.67333333,0.63000000,0.84000000,0.72000000,0.71642560,0.45000000,0.46031746,0.58000000,0.51327434
10,0.64756316,0.70000000,0.68518519,0.74000000,0.71153846,0.72238135,0.45000000,0.45283019,0.48000000,0.46601942
11,0.64359760,0.71333333,0.72535211,0.68666667,0.70547945,0.72132534,0.47000000,0.46341463,0.38000000,0.41758242
12,0.63919711,0.70666667,0.65500000,0.87333333,0.74857143,0.72500503,0.46000000,0.46875000,0.60000000,0.52631579
13,0.64604253,0.62666667,0.57539683,0.96666667,0.72139303,0.73505825,0.44000000,0.46341463,0.76000000,0.57575758
14,0.65154183,0.55333333,0.73529412,0.16666667,0.27173913,0.74334365,0.48000000,0.41666667,0.10000000,0.16129032
15,0.63406128,0.62333333,0.78461538,0.34000000,0.47441860,0.73649150,0.46000000,0.41666667,0.20000000,0.27027027
16,0.62013274,0.71000000,0.72027972,0.68666667,0.70307167,0.73247266,0.45000000,0.44444444,0.40000000,0.42105263
17,0.62022805,0.66333333,0.81818182,0.42000000,0.55506608,0.73574317,0.50000000,0.50000000,0.30000000,0.37500000
18,0.61185271,0.73333333,0.81250000,0.60666667,0.69465649,0.73894852,0.45000000,0.43902439,0.36000000,0.39560440
19,0.61046249,0.72333333,0.81308411,0.58000000,0.67704280,0.72960252,0.47000000,0.45454545,0.30000000,0.36144578
20,0.59747714,0.75666667,0.72000000,0.84000000,0.77538462,0.73442638,0.53000000,0.52727273,0.58000000,0.55238095
21,0.59445286,0.73333333,0.76515152,0.67333333,0.71631206,0.74593639,0.45000000,0.44186047,0.38000000,0.40860215
22,0.62043583,0.59666667,0.93939394,0.20666667,0.33879781,0.76954877,0.52000000,0.58333333,0.14000000,0.22580645
