epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69381130,0.54333333,0.52380952,0.95333333,0.67612293,0.75059807,0.51000000,0.50561798,0.90000000,0.64748201
2,0.68800461,0.54333333,0.52296820,0.98666667,0.68360277,0.74401993,0.50000000,0.50000000,0.92000000,0.64788732
3,0.67902070,0.54666667,0.52500000,0.98000000,0.68372093,0.74547273,0.51000000,0.50537634,0.94000000,0.65734266
4,0.66839999,0.58000000,0.54477612,0.97333333,0.69856459,0.75157857,0.50000000,0.50000000,0.90000000,0.64285714
5,0.65954489,0.60333333,0.56126482,0.94666667,0.70471464,0.73295504,0.48000000,0.48809524,0.82000000,0.61194030
6,0.67323667,0.55333333,0.94444444,0.11333333,0.20238095,0.74376267,0.47000000,0.20000000,0.02000000,0.03636364
7,0.63953531,0.66000000,0.60714286,0.90666667,0.72727273,0.70961672,0.52000000,0.51428571,0.72000000,0.60000000
8,0.62626308,0.71666667,0.65258216,0.92666667,0.76584022,0.71629214,0.55000000,0.53846154,0.70000000,0.60869565
9,0.63362765,0.64333333,0.58498024,0.98666667,0.73449132,0.73948938,0.51000000,0.50574713,0.88000000,0.64233577
10,0.62525749,0.62666667,0.85185185,0.30666667,0.45098039,0.72677857,0.50000000,0.50000000,0.24000000,0.32432432
11,0.59071338,0.75000000,0.71428571,0.83333333,0.76923077,0.72553259,0.55000000,0.54385965,0.62000000,0.57943925
12,0.57942128,0.79000000,0.76363636,0.84000000,0.80000000,0.72907567,0.54000000,0.53703704,0.58000000,0.55769231
13,0.57868755,0.74666667,0.68316832,0.92000000,0.78409091,0.73090345,0.60000000,0.57812500,0.74000000,0.64912281
14,0.56253397,0.79333333,0.81428571,0.76000000,0.78620690,0.72878218,0.52000000,0.52380952,0.44000000,0.47826087
15,0.58419365,0.66666667,0.86764706,0.39333333,0.54128440,0.76690310,0.47000000,0.43478261,0.20000000,0.27397260
16,0.71542686,0.51333333,1.00000000,0.02666667,0.05194805,0.85085768,0.50000000,0.50000000,0.02000000,0.03846154
17,0.55625904,0.76000000,0.86111111,0.62000000,0.72093023,0.73436308,0.55000000,0.56097561,0.46000000,0.50549451
18,0.59497052,0.66666667,0.60330579,0.97333333,0.74489796,0.78591609,0.54000000,0.52439024,0.86000000,0.65151515
19,0.51597810,0.82333333,0.78698225,0.88666667,0.83385580,0.75936103,0.56000000,0.55555556,0.60000000,0.57692308
20,0.52818054,0.79666667,0.88034188,0.68666667,0.77153558,0.73459715,0.52000000,0.52631579,0.40000000,0.45454545
21,0.56270063,0.71333333,0.63913043,0.98000000,0.77368421,0.79919374,0.52000000,0.51250000,0.82000000,0.63076923
22,0.50218970,0.78333333,0.71573604,0.94000000,0.81268012,0.79129004,0.54000000,0.53225806,0.66000000,0.58928571
23,0.51036978,0.75333333,0.94186047,0.54000000,0.68644068,0.80305940,0.49000000,0.48000000,0.24000000,0.32000000
24,0.56336027,0.65000000,1.00000000,0.30000000,0.46153846,0.82767153,0.53000000,0.58823529,0.20000000,0.29850746
25,0.49055582,0.86000000,0.85064935,0.87333333,0.86184211,0.76803720,0.55000000,0.55555556,0.50000000,0.52631579
26,0.49266520,0.79333333,0.78205128,0.81333333,0.79738562,0.77188629,0.55000000,0.54716981,0.58000000,0.56310680
27,0.48258340,0.77333333,0.69711538,0.96666667,0.81005587,0.82293534,0.57000000,0.54929577,0.78000000,0.64462810
28,0.48637202,0.78000000,0.93750000,0.60000000,0.73170732,0.82660294,0.51000000,0.51612903,0.32000000,0.39506173
29,0.42331162,0.88333333,0.84431138,0.94000000,0.88958991,0.84573382,0.54000000,0.53571429,0.60000000,0.56603774
30,0.78764182,0.54666667,1.00000000,0.09333333,0.17073171,1.08510482,0.52000000,0.66666667,0.08000000,0.14285714
