epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.70429361,0.50333333,1.00000000,0.00666667,0.01324503,0.71976608,0.50000000,0.00000000,0.00000000,0.00000000
2,0.68121094,0.51666667,0.77777778,0.04666667,0.08805031,0.70422500,0.49000000,0.33333333,0.02000000,0.03773585
3,0.68487227,0.54333333,0.93333333,0.09333333,0.16969697,0.70235705,0.53000000,1.00000000,0.06000000,0.11320755
4,0.71061867,0.50333333,1.00000000,0.00666667,0.01324503,0.73381251,0.50000000,0.00000000,0.00000000,0.00000000
5,0.68427223,0.52000000,1.00000000,0.04000000,0.07692308,0.71207505,0.50000000,0.00000000,0.00000000,0.00000000
6,0.67711759,0.58666667,0.54887218,0.97333333,0.70192308,0.70717639,0.46000000,0.47727273,0.84000000,0.60869565
7,0.66860920,0.60000000,0.67045455,0.39333333,0.49579832,0.70174843,0.49000000,0.48717949,0.38000000,0.42696629
8,0.64236712,0.62333333,0.59296482,0.78666667,0.67621777,0.71417129,0.53000000,0.52173913,0.72000000,0.60504202
9,0.65872091,0.59666667,0.79591837,0.26000000,0.39195980,0.72296447,0.49000000,0.47058824,0.16000000,0.23880597
10,0.63951886,0.63666667,0.58649789,0.92666667,0.71834625,0.72505951,0.48000000,0.48780488,0.80000000,0.60606061
11,0.67728233,0.55333333,0.52816901,1.00000000,0.69124424,0.74315488,0.47000000,0.48387097,0.90000000,0.62937063
12,0.65533167,0.67000000,0.71428571,0.56666667,0.63197026,0.71157271,0.53000000,0.53846154,0.42000000,0.47191011
13,0.73028034,0.54666667,0.67500000,0.18000000,0.28421053,0.78471214,0.54000000,0.61111111,0.22000000,0.32352941
14,0.63748235,0.64333333,0.58775510,0.96000000,0.72911392,0.74821800,0.44000000,0.46341463,0.76000000,0.57575758
15,0.62216413,0.67333333,0.62380952,0.87333333,0.72777778,0.71816450,0.48000000,0.48684211,0.74000000,0.58730159
16,0.58831817,0.67666667,0.62559242,0.88000000,0.73130194,0.76032746,0.53000000,0.52112676,0.74000000,0.61157025
17,0.57218534,0.72666667,0.71250000,0.76000000,0.73548387,0.76136106,0.47000000,0.47457627,0.56000000,0.51376147
18,1.20632565,0.50333333,1.00000000,0.00666667,0.01324503,1.37042785,0.50000000,0.00000000,0.00000000,0.00000000
19,0.63091177,0.62666667,0.57786885,0.94000000,0.71573604,0.71517038,0.49000000,0.49382716,0.80000000,0.61068702
20,0.61581033,0.66000000,0.77272727,0.45333333,0.57142857,0.78821093,0.48000000,0.47500000,0.38000000,0.42222222
21,0.78387123,0.55333333,0.80769231,0.14000000,0.23863636,1.00574183,0.49000000,0.45454545,0.10000000,0.16393443
22,0.58007008,0.70333333,0.87654321,0.47333333,0.61471861,0.79010755,0.60000000,0.69230769,0.36000000,0.47368421
23,0.57987684,0.64333333,0.90566038,0.32000000,0.47290640,0.84044313,0.52000000,0.57142857,0.16000000,0.25000000
24,0.51268661,0.78333333,0.85714286,0.68000000,0.75836431,0.87892556,0.51000000,0.51219512,0.42000000,0.46153846
25,0.54849589,0.76333333,0.70899471,0.89333333,0.79056047,0.79229277,0.50000000,0.50000000,0.66000000,0.56896552
26,0.55716056,0.73000000,0.69273743,0.82666667,0.75379939,0.74155241,0.53000000,0.52459016,0.64000000,0.57657658
27,0.62169766,0.70333333,0.63800905,0.94000000,0.76010782,0.72092891,0.53000000,0.51948052,0.80000000,0.62992126
28,0.55808860,0.67333333,0.62500000,0.86666667,0.72625698,0.78673691,0.51000000,0.50724638,0.70000000,0.58823529
29,0.51223254,0.78666667,0.75000000,0.86000000,0.80124224,0.82926047,0.50000000,0.50000000,0.64000000,0.56140351
30,0.77549887,0.54666667,1.00000000,0.09333333,0.17073171,1.08223999,0.51000000,0.66666667,0.04000000,0.07547170
31,0.75282288,0.61666667,0.56603774,1.00000000,0.72289157,1.19043279,0.49000000,0.49438202,0.88000000,0.63309353
32,0.56622517,0.70333333,0.64878049,0.88666667,0.74929577,0.92094916,0.52000000,0.51666667,0.62000000,0.56363636
33,0.51361167,0.74666667,0.80327869,0.65333333,0.72058824,0.87715524,0.47000000,0.46666667,0.42000000,0.44210526
34,0.55142683,0.67000000,0.91803279,0.37333333,0.53080569,0.81960726,0.52000000,0.55000000,0.22000000,0.31428571
35,1.35562718,0.50333333,1.00000000,0.00666667,0.01324503,1.56725955,0.50000000,0.00000000,0.00000000,0.00000000
36,0.46734732,0.79333333,0.70952381,0.99333333,0.82777778,0.85362470,0.56000000,0.54285714,0.76000000,0.63333333
37,0.48560533,0.77666667,0.69856459,0.97333333,0.81337047,0.83738434,0.53000000,0.52112676,0.74000000,0.61157025
38,0.47958314,0.78000000,0.96666667,0.58000000,0.72500000,0.93493497,0.52000000,0.53333333,0.32000000,0.40000000
39,0.47036758,0.76666667,0.69417476,0.95333333,0.80337079,0.82111621,0.55000000,0.53623188,0.74000000,0.62184874
40,0.92734194,0.53333333,0.51724138,1.00000000,0.68181818,1.14347696,0.50000000,0.50000000,0.96000000,0.65753425
