epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69616550,0.49666667,0.49783550,0.76666667,0.60367454,0.70701188,0.46000000,0.47297297,0.70000000,0.56451613
2,0.69131124,0.51666667,0.51037344,0.82000000,0.62915601,0.70924288,0.44000000,0.46250000,0.74000000,0.56923077
3,0.68261820,0.56000000,0.57142857,0.48000000,0.52173913,0.70896548,0.51000000,0.51219512,0.42000000,0.46153846
4,0.67828512,0.56666667,0.58620690,0.45333333,0.51127820,0.70803511,0.48000000,0.47619048,0.40000000,0.43478261
5,0.68112999,0.57666667,0.89655172,0.17333333,0.29050279,0.71481675,0.49000000,0.46153846,0.12000000,0.19047619
6,0.66862917,0.60666667,0.61111111,0.58666667,0.59863946,0.70869982,0.53000000,0.53333333,0.48000000,0.50526316
7,0.66449618,0.64000000,0.64788732,0.61333333,0.63013699,0.70980746,0.46000000,0.45652174,0.42000000,0.43750000
8,0.65957689,0.63666667,0.65413534,0.58000000,0.61484099,0.71081787,0.50000000,0.50000000,0.44000000,0.46808511
9,0.66767639,0.58333333,0.85714286,0.20000000,0.32432432,0.71969378,0.51000000,0.53846154,0.14000000,0.22222222
10,0.71821165,0.50000000,0.50000000,0.98666667,0.66367713,0.77954942,0.47000000,0.48453608,0.94000000,0.63945578
11,0.64959705,0.66000000,0.73529412,0.50000000,0.59523810,0.71476346,0.52000000,0.52941176,0.36000000,0.42857143
12,0.65187192,0.63000000,0.83050847,0.32666667,0.46889952,0.72505385,0.51000000,0.52173913,0.24000000,0.32876712
13,0.65732962,0.59000000,0.88571429,0.20666667,0.33513514,0.72879654,0.49000000,0.45454545,0.10000000,0.16393443
14,0.64087665,0.68000000,0.81395349,0.46666667,0.59322034,0.71957213,0.51000000,0.51612903,0.32000000,0.39506173
15,0.68443316,0.52333333,1.00000000,0.04666667,0.08917197,0.75140566,0.50000000,0.50000000,0.02000000,0.03846154
16,0.64457935,0.62333333,0.87755102,0.28666667,0.43216080,0.73048890,0.51000000,0.52941176,0.18000000,0.26865672
17,0.62402362,0.72000000,0.74626866,0.66666667,0.70422535,0.72833753,0.48000000,0.47826087,0.44000000,0.45833333
18,0.63325638,0.64666667,0.59649123,0.90666667,0.71957672,0.74037862,0.46000000,0.47297297,0.70000000,0.56451613
19,0.62644154,0.66666667,0.61261261,0.90666667,0.73118280,0.74341744,0.42000000,0.44285714,0.62000000,0.51666667
20,0.61134583,0.73333333,0.74647887,0.70666667,0.72602740,0.72984940,0.49000000,0.48888889,0.44000000,0.46315789
21,0.61217761,0.70333333,0.65968586,0.84000000,0.73900293,0.73835784,0.45000000,0.46031746,0.58000000,0.51327434
22,0.62808484,0.64000000,0.58898305,0.92666667,0.72020725,0.75934935,0.45000000,0.46835443,0.74000000,0.57364341
23,0.60567820,0.71000000,0.65671642,0.88000000,0.75213675,0.75115263,0.46000000,0.46875000,0.60000000,0.52631579
24,0.59530240,0.74666667,0.80327869,0.65333333,0.72058824,0.73702604,0.52000000,0.52500000,0.42000000,0.46666667
25,0.60065210,0.69333333,0.63425926,0.91333333,0.74863388,0.75102252,0.47000000,0.47887324,0.68000000,0.56198347
26,0.59438270,0.71666667,0.88235294,0.50000000,0.63829787,0.74365115,0.50000000,0.50000000,0.30000000,0.37500000
27,0.58603382,0.72666667,0.67000000,0.89333333,0.76571429,0.75193542,0.46000000,0.46969697,0.62000000,0.53448276
28,0.64599252,0.55666667,1.00000000,0.11333333,0.20359281,0.78791672,0.53000000,0.71428571,0.10000000,0.17543860
29,0.56904894,0.76333333,0.72832370,0.84000000,0.78018576,0.74749726,0.48000000,0.48333333,0.58000000,0.52727273
30,0.71047986,0.52666667,1.00000000,0.05333333,0.10126582,0.85915834,0.51000000,1.00000000,0.02000000,0.03921569
