epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68557340,0.54666667,0.55833333,0.44666667,0.49629630,0.69127381,0.56000000,0.59375000,0.38000000,0.46341463
2,0.68088669,0.59000000,0.64516129,0.40000000,0.49382716,0.69163436,0.55000000,0.58620690,0.34000000,0.43037975
3,0.68979919,0.54666667,0.52536232,0.96666667,0.68075117,0.70680726,0.50000000,0.50000000,0.94000000,0.65277778
4,0.67157346,0.60000000,0.59868421,0.60666667,0.60264901,0.69349468,0.53000000,0.53488372,0.46000000,0.49462366
5,0.67004335,0.59666667,0.62608696,0.48000000,0.54339623,0.69556141,0.53000000,0.54285714,0.38000000,0.44705882
6,0.66562450,0.61666667,0.61744966,0.61333333,0.61538462,0.69563353,0.54000000,0.55000000,0.44000000,0.48888889
7,0.66731995,0.61333333,0.57522124,0.86666667,0.69148936,0.70099717,0.49000000,0.49367089,0.78000000,0.60465116
8,0.66126519,0.61666667,0.64462810,0.52000000,0.57564576,0.69922423,0.50000000,0.50000000,0.34000000,0.40476190
9,0.65795201,0.65666667,0.62051282,0.80666667,0.70144928,0.69762403,0.53000000,0.52542373,0.62000000,0.56880734
10,0.65774268,0.65666667,0.61032864,0.86666667,0.71625344,0.70296985,0.52000000,0.51388889,0.74000000,0.60655738
11,0.65255058,0.66333333,0.62564103,0.81333333,0.70724638,0.69915211,0.52000000,0.51666667,0.62000000,0.56363636
12,0.65004402,0.63666667,0.66400000,0.55333333,0.60363636,0.70023453,0.51000000,0.51282051,0.40000000,0.44943820
13,0.67030203,0.53333333,0.85714286,0.08000000,0.14634146,0.71845061,0.48000000,0.33333333,0.04000000,0.07142857
14,0.64332575,0.68333333,0.64864865,0.80000000,0.71641791,0.69912243,0.52000000,0.51785714,0.58000000,0.54716981
15,0.64866406,0.65333333,0.59829060,0.93333333,0.72916667,0.70723164,0.55000000,0.53164557,0.84000000,0.65116279
16,0.64020193,0.68000000,0.63106796,0.86666667,0.73033708,0.70316869,0.50000000,0.50000000,0.64000000,0.56140351
17,0.64972240,0.62000000,0.57258065,0.94666667,0.71356784,0.71477491,0.52000000,0.51190476,0.86000000,0.64179104
18,0.63250136,0.68666667,0.71538462,0.62000000,0.66428571,0.70362473,0.55000000,0.56097561,0.46000000,0.50549451
19,0.63686639,0.62333333,0.72839506,0.39333333,0.51082251,0.71249360,0.51000000,0.52173913,0.24000000,0.32876712
20,0.62939900,0.65666667,0.70434783,0.54000000,0.61132075,0.70806265,0.50000000,0.50000000,0.34000000,0.40476190
21,0.65999490,0.54666667,0.93750000,0.10000000,0.18072289,0.73386520,0.49000000,0.42857143,0.06000000,0.10526316
22,0.62352294,0.70000000,0.64423077,0.89333333,0.74860335,0.71220762,0.50000000,0.50000000,0.64000000,0.56140351
23,0.62098676,0.68000000,0.73275862,0.56666667,0.63909774,0.71316200,0.49000000,0.48648649,0.36000000,0.41379310
24,0.61022329,0.72666667,0.70731707,0.77333333,0.73885350,0.70903212,0.52000000,0.51923077,0.54000000,0.52941176
25,0.61030906,0.73333333,0.67676768,0.89333333,0.77011494,0.71018797,0.52000000,0.51666667,0.62000000,0.56363636
26,0.65377080,0.52666667,1.00000000,0.05333333,0.10126582,0.74846381,0.49000000,0.40000000,0.04000000,0.07272727
27,0.60356385,0.72333333,0.67005076,0.88000000,0.76080692,0.71044028,0.54000000,0.53225806,0.66000000,0.58928571
28,0.59669894,0.75666667,0.73619632,0.80000000,0.76677316,0.71183956,0.53000000,0.53061224,0.52000000,0.52525253
29,0.60939968,0.67666667,0.61674009,0.93333333,0.74270557,0.72683102,0.55000000,0.53521127,0.76000000,0.62809917
30,0.60702372,0.67666667,0.61674009,0.93333333,0.74270557,0.72535276,0.54000000,0.52777778,0.76000000,0.62295082
31,0.60223037,0.68000000,0.61739130,0.94666667,0.74736842,0.73286009,0.54000000,0.52702703,0.78000000,0.62903226
32,0.59877056,0.69666667,0.63594470,0.92000000,0.75204360,0.71805632,0.57000000,0.55384615,0.72000000,0.62608696
33,0.58633989,0.72000000,0.65714286,0.92000000,0.76666667,0.72825176,0.52000000,0.51515152,0.68000000,0.58620690
34,0.58427799,0.73000000,0.88764045,0.52666667,0.66108787,0.73030376,0.52000000,0.53571429,0.30000000,0.38461538
35,0.56979775,0.75333333,0.71111111,0.85333333,0.77575758,0.72864205,0.51000000,0.50943396,0.54000000,0.52427184
36,0.64214325,0.56333333,0.91304348,0.14000000,0.24277457,0.78392655,0.51000000,0.55555556,0.10000000,0.16949153
37,0.56378269,0.75333333,0.69191919,0.91333333,0.78735632,0.72770995,0.52000000,0.51666667,0.62000000,0.56363636
38,0.56702149,0.73333333,0.88043478,0.54000000,0.66942149,0.73888707,0.53000000,0.55172414,0.32000000,0.40506329
39,0.55366313,0.77000000,0.71657754,0.89333333,0.79525223,0.72935408,0.55000000,0.54237288,0.64000000,0.58715596
40,0.55960339,0.73000000,0.66197183,0.94000000,0.77685950,0.74588919,0.55000000,0.53623188,0.74000000,0.62184874
41,0.66230094,0.53000000,1.00000000,0.06000000,0.11320755,0.82788968,0.51000000,0.66666667,0.04000000,0.07547170
42,0.55764276,0.73666667,0.89887640,0.53333333,0.66945607,0.75023657,0.53000000,0.56000000,0.28000000,0.37333333
43,0.55122226,0.73666667,0.66511628,0.95333333,0.78356164,0.75542992,0.55000000,0.53521127,0.76000000,0.62809917
44,0.55935925,0.70333333,0.94202899,0.43333333,0.59360731,0.76512420,0.52000000,0.55000000,0.22000000,0.31428571
45,0.52441359,0.80666667,0.83333333,0.76666667,0.79861111,0.74189836,0.53000000,0.53333333,0.48000000,0.50526316
46,0.51643175,0.81000000,0.81208054,0.80666667,0.80936455,0.74750662,0.52000000,0.52173913,0.48000000,0.50000000
47,0.52699280,0.73000000,0.66350711,0.93333333,0.77562327,0.76021552,0.57000000,0.55223881,0.74000000,0.63247863
48,0.52343559,0.76666667,0.70000000,0.93333333,0.80000000,0.76908165,0.53000000,0.52238806,0.70000000,0.59829060
49,0.54245251,0.72333333,0.64888889,0.97333333,0.77866667,0.77862102,0.54000000,0.52777778,0.76000000,0.62295082
50,0.68127519,0.60333333,0.55762082,1.00000000,0.71599045,0.88388717,0.48000000,0.48936170,0.92000000,0.63888889
