epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68837363,0.52666667,0.54651163,0.31333333,0.39830508,0.68788207,0.48000000,0.46666667,0.28000000,0.35000000
2,0.68992960,0.53000000,0.73684211,0.09333333,0.16568047,0.69277883,0.49000000,0.42857143,0.06000000,0.10526316
3,0.68657392,0.52000000,0.51034483,0.98666667,0.67272727,0.69087785,0.55000000,0.52631579,1.00000000,0.68965517
4,0.68081409,0.60333333,0.75409836,0.30666667,0.43601896,0.68713951,0.53000000,0.56000000,0.28000000,0.37333333
5,0.69142032,0.52000000,0.51041667,0.98000000,0.67123288,0.69974273,0.49000000,0.49484536,0.96000000,0.65306122
6,0.69160581,0.50666667,1.00000000,0.01333333,0.02631579,0.69824308,0.49000000,0.00000000,0.00000000,0.00000000
7,0.66871107,0.61333333,0.57203390,0.90000000,0.69948187,0.69809431,0.48000000,0.48750000,0.78000000,0.60000000
8,0.68467742,0.50333333,0.66666667,0.01333333,0.02614379,0.70314515,0.51000000,0.66666667,0.04000000,0.07547170
9,0.68130267,0.56666667,0.53731343,0.96000000,0.68899522,0.70629430,0.50000000,0.50000000,0.88000000,0.63768116
10,0.66787708,0.66666667,0.71186441,0.56000000,0.62686567,0.69085562,0.51000000,0.51020408,0.50000000,0.50505051
11,0.66654372,0.58666667,0.54924242,0.96666667,0.70048309,0.71316165,0.50000000,0.50000000,0.88000000,0.63768116
12,0.65790182,0.59333333,0.55384615,0.96000000,0.70243902,0.73089248,0.52000000,0.51190476,0.86000000,0.64179104
13,0.62997937,0.66333333,0.73333333,0.51333333,0.60392157,0.70767760,0.49000000,0.48717949,0.38000000,0.42696629
14,0.63223082,0.66666667,0.75510204,0.49333333,0.59677419,0.70250821,0.52000000,0.52380952,0.44000000,0.47826087
15,0.63727701,0.62000000,0.56976744,0.98000000,0.72058824,0.71937048,0.49000000,0.49438202,0.88000000,0.63309353
16,0.72193444,0.51666667,0.50847458,1.00000000,0.67415730,0.76580399,0.51000000,0.50515464,0.98000000,0.66666667
17,0.67022270,0.57666667,0.54243542,0.98000000,0.69833729,0.77753115,0.50000000,0.50000000,0.92000000,0.64788732
18,0.61029643,0.66666667,0.62254902,0.84666667,0.71751412,0.73967117,0.50000000,0.50000000,0.72000000,0.59016393
19,0.60781324,0.66666667,0.62755102,0.82000000,0.71098266,0.73385066,0.51000000,0.50704225,0.72000000,0.59504132
20,0.61191916,0.65333333,0.59426230,0.96666667,0.73604061,0.76495570,0.51000000,0.50561798,0.90000000,0.64748201
21,0.58822274,0.70000000,0.65306122,0.85333333,0.73988439,0.73467070,0.50000000,0.50000000,0.72000000,0.59016393
22,0.56592298,0.73000000,0.69060773,0.83333333,0.75528701,0.77429914,0.51000000,0.50746269,0.68000000,0.58119658
23,0.59378195,0.69000000,0.86075949,0.45333333,0.59388646,0.72887021,0.56000000,0.60000000,0.36000000,0.45000000
24,0.62142211,0.63333333,0.57812500,0.98666667,0.72906404,0.77379411,0.53000000,0.51724138,0.90000000,0.65693431
25,0.56728095,0.72333333,0.64888889,0.97333333,0.77866667,0.84279329,0.48000000,0.48750000,0.78000000,0.60000000
26,0.67571604,0.54333333,0.93333333,0.09333333,0.16969697,0.92563683,0.52000000,0.75000000,0.06000000,0.11111111
27,0.54589051,0.70666667,0.63963964,0.94666667,0.76344086,0.78697187,0.50000000,0.50000000,0.76000000,0.60317460
28,0.69971353,0.57666667,0.78048780,0.21333333,0.33507853,0.83474195,0.55000000,0.77777778,0.14000000,0.23728814
29,0.63615471,0.66000000,0.90000000,0.36000000,0.51428571,0.96122795,0.51000000,0.52173913,0.24000000,0.32876712
30,0.48625997,0.81000000,0.78181818,0.86000000,0.81904762,0.78546697,0.53000000,0.53061224,0.52000000,0.52525253
31,0.60724550,0.70000000,0.83333333,0.50000000,0.62500000,0.95923340,0.48000000,0.47058824,0.32000000,0.38095238
32,0.53131294,0.79666667,0.83458647,0.74000000,0.78445230,0.74280185,0.50000000,0.50000000,0.44000000,0.46808511
33,0.47196034,0.78666667,0.74431818,0.87333333,0.80368098,0.79897600,0.56000000,0.54838710,0.68000000,0.60714286
34,0.43619919,0.83000000,0.85611511,0.79333333,0.82352941,0.83425212,0.50000000,0.50000000,0.44000000,0.46808511
35,0.43494323,0.84333333,0.81212121,0.89333333,0.85079365,0.85975176,0.50000000,0.50000000,0.52000000,0.50980392
36,0.45109349,0.81666667,0.93577982,0.68000000,0.78764479,0.94676316,0.49000000,0.48387097,0.30000000,0.37037037
37,0.61126280,0.64000000,0.95652174,0.29333333,0.44897959,1.11440992,0.55000000,0.66666667,0.20000000,0.30769231
38,0.52223146,0.78000000,0.84426230,0.68666667,0.75735294,0.80263788,0.52000000,0.52500000,0.42000000,0.46666667
39,0.81891614,0.50000000,0.00000000,0.00000000,0.00000000,1.07827568,0.50000000,0.00000000,0.00000000,0.00000000
