epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69719619,0.50666667,0.52380952,0.14666667,0.22916667,0.70171630,0.52000000,0.55555556,0.20000000,0.29411765
2,0.69225687,0.52000000,0.65000000,0.08666667,0.15294118,0.70514005,0.50000000,0.50000000,0.08000000,0.13793103
3,0.68737549,0.52333333,0.66666667,0.09333333,0.16374269,0.70527619,0.50000000,0.50000000,0.08000000,0.13793103
4,0.67881125,0.58333333,0.59124088,0.54000000,0.56445993,0.70103604,0.43000000,0.43137255,0.44000000,0.43564356
5,0.67757398,0.57000000,0.73333333,0.22000000,0.33846154,0.70492458,0.52000000,0.55000000,0.22000000,0.31428571
6,0.67314959,0.60000000,0.67441860,0.38666667,0.49152542,0.70086509,0.46000000,0.45000000,0.36000000,0.40000000
7,0.66854721,0.64333333,0.62721893,0.70666667,0.66457680,0.70194089,0.50000000,0.50000000,0.62000000,0.55357143
8,0.66629159,0.65666667,0.62841530,0.76666667,0.69069069,0.70321912,0.48000000,0.48529412,0.66000000,0.55932203
9,0.66153109,0.67000000,0.69465649,0.60666667,0.64768683,0.70287359,0.48000000,0.48148148,0.52000000,0.50000000
10,0.65902811,0.67000000,0.66887417,0.67333333,0.67109635,0.70024848,0.51000000,0.50847458,0.60000000,0.55045872
11,0.66018271,0.59333333,0.80434783,0.24666667,0.37755102,0.70880109,0.52000000,0.55000000,0.22000000,0.31428571
12,0.66367161,0.56333333,0.53405018,0.99333333,0.69463869,0.71287233,0.47000000,0.48314607,0.86000000,0.61870504
13,0.64763010,0.70000000,0.71126761,0.67333333,0.69178082,0.70180738,0.50000000,0.50000000,0.60000000,0.54545455
14,0.64433116,0.71000000,0.71724138,0.69333333,0.70508475,0.70158148,0.48000000,0.48333333,0.58000000,0.52727273
15,0.64138454,0.71666667,0.71812081,0.71333333,0.71571906,0.70582592,0.45000000,0.45762712,0.54000000,0.49541284
16,0.64137667,0.65333333,0.73469388,0.48000000,0.58064516,0.71121609,0.48000000,0.47500000,0.38000000,0.42222222
17,0.65393758,0.57333333,0.54014599,0.98666667,0.69811321,0.72447616,0.49000000,0.49438202,0.88000000,0.63309353
18,0.63310307,0.71333333,0.66000000,0.88000000,0.75428571,0.70841193,0.48000000,0.48611111,0.70000000,0.57377049
19,0.62753820,0.70000000,0.75423729,0.59333333,0.66417910,0.71817791,0.51000000,0.50980392,0.52000000,0.51485149
20,0.63882339,0.64000000,0.58400000,0.97333333,0.73000000,0.71701664,0.52000000,0.51190476,0.86000000,0.64179104
21,0.61521488,0.73000000,0.69491525,0.82000000,0.75229358,0.71816832,0.46000000,0.47142857,0.66000000,0.55000000
22,0.60961771,0.75333333,0.72093023,0.82666667,0.77018634,0.71965313,0.46000000,0.47058824,0.64000000,0.54237288
23,0.62103039,0.66666667,0.60245902,0.98000000,0.74619289,0.72402954,0.51000000,0.50602410,0.84000000,0.63157895
24,0.60225362,0.76000000,0.78260870,0.72000000,0.75000000,0.71401763,0.49000000,0.49122807,0.56000000,0.52336449
25,0.59628969,0.77000000,0.79136691,0.73333333,0.76124567,0.71986008,0.50000000,0.50000000,0.56000000,0.52830189
