epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68250430,0.56333333,0.60215054,0.37333333,0.46090535,0.68280959,0.53000000,0.54054054,0.40000000,0.45977011
2,0.67791826,0.55666667,0.61333333,0.30666667,0.40888889,0.68311095,0.53000000,0.55172414,0.32000000,0.40506329
3,0.72902560,0.50666667,0.50337838,0.99333333,0.66816143,0.73025775,0.52000000,0.51020408,1.00000000,0.67567568
4,0.66653830,0.60000000,0.65000000,0.43333333,0.52000000,0.68232274,0.52000000,0.52631579,0.40000000,0.45454545
5,0.66288465,0.61333333,0.67708333,0.43333333,0.52845528,0.68264300,0.53000000,0.54054054,0.40000000,0.45977011
6,0.65771794,0.63333333,0.67857143,0.50666667,0.58015267,0.68259865,0.57000000,0.58974359,0.46000000,0.51685393
7,0.66386825,0.62000000,0.57258065,0.94666667,0.71356784,0.69004977,0.54000000,0.52564103,0.82000000,0.64062500
8,0.65695727,0.57666667,0.65753425,0.32000000,0.43049327,0.69850957,0.49000000,0.48387097,0.30000000,0.37037037
9,0.64959490,0.66000000,0.60909091,0.89333333,0.72432432,0.69086891,0.50000000,0.50000000,0.70000000,0.58333333
10,0.64667195,0.65333333,0.60176991,0.90666667,0.72340426,0.69148070,0.51000000,0.50704225,0.72000000,0.59504132
11,0.63806272,0.66333333,0.61835749,0.85333333,0.71708683,0.68505597,0.54000000,0.53125000,0.68000000,0.59649123
12,0.63413393,0.66666667,0.72727273,0.53333333,0.61538462,0.69611681,0.55000000,0.56756757,0.42000000,0.48275862
13,0.70172668,0.52000000,0.75000000,0.06000000,0.11111111,0.76516646,0.53000000,0.71428571,0.10000000,0.17543860
14,0.62551898,0.70666667,0.66847826,0.82000000,0.73652695,0.68433005,0.57000000,0.56140351,0.64000000,0.59813084
15,0.66596621,0.57666667,0.54243542,0.98000000,0.69833729,0.71132517,0.53000000,0.51724138,0.90000000,0.65693431
16,0.64285296,0.64666667,0.58870968,0.97333333,0.73366834,0.70285052,0.54000000,0.52439024,0.86000000,0.65151515
17,0.64734727,0.62666667,0.57421875,0.98000000,0.72413793,0.71006805,0.53000000,0.51807229,0.86000000,0.64661654
18,0.62048936,0.62666667,0.77142857,0.36000000,0.49090909,0.70783377,0.52000000,0.53846154,0.28000000,0.36842105
19,0.65816557,0.56333333,0.85185185,0.15333333,0.25988701,0.74720538,0.56000000,0.71428571,0.20000000,0.31250000
20,0.62620443,0.61000000,0.86666667,0.26000000,0.40000000,0.70761734,0.54000000,0.58333333,0.28000000,0.37837838
21,0.67975509,0.53666667,0.92307692,0.08000000,0.14723926,0.77167678,0.54000000,0.75000000,0.12000000,0.20689655
