epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.71085835,0.50666667,0.60000000,0.04000000,0.07500000,0.71177655,0.50000000,0.50000000,0.04000000,0.07407407
2,0.67953032,0.57000000,0.54883721,0.78666667,0.64657534,0.69522858,0.52000000,0.51315789,0.78000000,0.61904762
3,0.67507225,0.57000000,0.54545455,0.84000000,0.66141732,0.69225967,0.52000000,0.51162791,0.88000000,0.64705882
4,0.66799176,0.62666667,0.65322581,0.54000000,0.59124088,0.69007432,0.57000000,0.58139535,0.50000000,0.53763441
5,0.66330606,0.60000000,0.56637168,0.85333333,0.68085106,0.69283402,0.54000000,0.52564103,0.82000000,0.64062500
6,0.66062784,0.65666667,0.79746835,0.42000000,0.55021834,0.69329786,0.56000000,0.60714286,0.34000000,0.43589744
7,0.65552431,0.63666667,0.59030837,0.89333333,0.71087533,0.69960111,0.49000000,0.49382716,0.80000000,0.61068702
8,0.65015256,0.70333333,0.72932331,0.64666667,0.68551237,0.69503188,0.54000000,0.54545455,0.48000000,0.51063830
9,0.65288585,0.62333333,0.95121951,0.26000000,0.40837696,0.69811541,0.50000000,0.50000000,0.18000000,0.26470588
10,0.63930851,0.65666667,0.60930233,0.87333333,0.71780822,0.70381838,0.50000000,0.50000000,0.76000000,0.60317460
11,0.63809806,0.65666667,0.80519481,0.41333333,0.54625551,0.70246023,0.55000000,0.59259259,0.32000000,0.41558442
12,0.62248725,0.71333333,0.66161616,0.87333333,0.75287356,0.70106608,0.52000000,0.51470588,0.70000000,0.59322034
13,0.62011689,0.72333333,0.73758865,0.69333333,0.71477663,0.69799209,0.50000000,0.50000000,0.48000000,0.48979592
14,0.67277199,0.54333333,0.88235294,0.10000000,0.17964072,0.73155946,0.52000000,0.62500000,0.10000000,0.17241379
15,0.68106496,0.55000000,0.52650177,0.99333333,0.68822171,0.77528036,0.50000000,0.50000000,0.94000000,0.65277778
16,0.60046029,0.69333333,0.88157895,0.44666667,0.59292035,0.71135741,0.54000000,0.56666667,0.34000000,0.42500000
17,0.60420549,0.66666667,0.60330579,0.97333333,0.74489796,0.73881811,0.53000000,0.51851852,0.84000000,0.64122137
18,0.57335806,0.76333333,0.77622378,0.74000000,0.75767918,0.71035981,0.52000000,0.51785714,0.58000000,0.54716981
19,0.59883362,0.63000000,0.86792453,0.30666667,0.45320197,0.73170108,0.55000000,0.61904762,0.26000000,0.36619718
20,0.57133430,0.73666667,0.77519380,0.66666667,0.71684588,0.71765137,0.52000000,0.52380952,0.44000000,0.47826087
21,0.56970167,0.72666667,0.65315315,0.96666667,0.77956989,0.75996149,0.49000000,0.49333333,0.74000000,0.59200000
22,0.58944756,0.65000000,0.95918367,0.31333333,0.47236181,0.72798276,0.53000000,0.58823529,0.20000000,0.29850746
23,0.52603477,0.80666667,0.86507937,0.72666667,0.78985507,0.73782122,0.51000000,0.50980392,0.52000000,0.51485149
24,0.51389271,0.81000000,0.80392157,0.82000000,0.81188119,0.75666881,0.49000000,0.49152542,0.58000000,0.53211009
25,0.54316467,0.72666667,0.65740741,0.94666667,0.77595628,0.75538522,0.54000000,0.52857143,0.74000000,0.61666667
26,0.56434244,0.67666667,0.60905350,0.98666667,0.75318066,0.82947236,0.53000000,0.51851852,0.84000000,0.64122137
27,0.54615873,0.69000000,0.62025316,0.98000000,0.75968992,0.77111948,0.55000000,0.53246753,0.82000000,0.64566929
28,0.49280325,0.81000000,0.73366834,0.97333333,0.83667622,0.76320696,0.52000000,0.51388889,0.74000000,0.60655738
29,0.54167861,0.68666667,0.93750000,0.40000000,0.56074766,0.76270247,0.54000000,0.62500000,0.20000000,0.30303030
30,0.47322854,0.82000000,0.73762376,0.99333333,0.84659091,0.77552611,0.52000000,0.51428571,0.72000000,0.60000000
31,0.68981880,0.57333333,1.00000000,0.14666667,0.25581395,0.92038757,0.56000000,1.00000000,0.12000000,0.21428571
