epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69230783,0.54000000,0.52362205,0.88666667,0.65841584,0.70776212,0.54000000,0.52325581,0.90000000,0.66176471
2,0.68058634,0.56333333,0.56737589,0.53333333,0.54982818,0.70061946,0.55000000,0.55555556,0.50000000,0.52631579
3,0.68012559,0.54333333,0.63265306,0.20666667,0.31155779,0.70506942,0.46000000,0.40000000,0.16000000,0.22857143
4,0.67412752,0.56000000,0.66666667,0.24000000,0.35294118,0.70427889,0.45000000,0.39130435,0.18000000,0.24657534
5,0.66505605,0.62333333,0.60109290,0.73333333,0.66066066,0.69923186,0.54000000,0.53030303,0.70000000,0.60344828
6,0.66645437,0.58000000,0.68181818,0.30000000,0.41666667,0.70399171,0.46000000,0.41666667,0.20000000,0.27027027
7,0.65936279,0.64666667,0.61224490,0.80000000,0.69364162,0.69545394,0.57000000,0.55072464,0.76000000,0.63865546
8,0.65371543,0.64333333,0.62573099,0.71333333,0.66666667,0.69322997,0.58000000,0.56250000,0.72000000,0.63157895
9,0.65548283,0.61666667,0.57641921,0.88000000,0.69656992,0.70272338,0.52000000,0.51315789,0.78000000,0.61904762
10,0.66210908,0.56000000,0.76470588,0.17333333,0.28260870,0.71170855,0.50000000,0.50000000,0.12000000,0.19354839
11,0.65502602,0.63000000,0.58297872,0.91333333,0.71168831,0.69436997,0.54000000,0.52631579,0.80000000,0.63492063
12,0.63857567,0.66000000,0.63953488,0.73333333,0.68322981,0.69519067,0.54000000,0.53125000,0.68000000,0.59649123
13,0.63494283,0.68666667,0.71538462,0.62000000,0.66428571,0.69212568,0.60000000,0.59259259,0.64000000,0.61538462
14,0.65257269,0.56000000,0.75000000,0.18000000,0.29032258,0.71505982,0.51000000,0.54545455,0.12000000,0.19672131
15,0.62530541,0.70333333,0.68944099,0.74000000,0.71382637,0.69150680,0.60000000,0.58064516,0.72000000,0.64285714
16,0.66704851,0.53333333,0.75000000,0.10000000,0.17647059,0.73538488,0.50000000,0.50000000,0.06000000,0.10714286
17,0.61970437,0.70333333,0.73643411,0.63333333,0.68100358,0.69727677,0.60000000,0.60000000,0.60000000,0.60000000
18,0.62105203,0.67333333,0.62871287,0.84666667,0.72159091,0.71225333,0.54000000,0.52941176,0.72000000,0.61016949
19,0.71350145,0.50666667,0.75000000,0.02000000,0.03896104,0.78872180,0.52000000,1.00000000,0.04000000,0.07692308
20,0.61272228,0.69666667,0.63849765,0.90666667,0.74931129,0.70159143,0.55000000,0.53521127,0.76000000,0.62809917
21,0.60601860,0.68333333,0.63546798,0.86000000,0.73087819,0.70323563,0.55000000,0.53623188,0.74000000,0.62184874
22,0.59987903,0.73000000,0.70658683,0.78666667,0.74447950,0.69306910,0.60000000,0.58064516,0.72000000,0.64285714
23,0.59736377,0.71666667,0.65853659,0.90000000,0.76056338,0.70051086,0.60000000,0.57352941,0.78000000,0.66101695
24,0.58595204,0.75333333,0.76760563,0.72666667,0.74657534,0.70063096,0.62000000,0.61111111,0.66000000,0.63461538
25,0.59685969,0.67000000,0.84931507,0.41333333,0.55605381,0.70373720,0.54000000,0.57142857,0.32000000,0.41025641
26,0.58557266,0.70000000,0.64705882,0.88000000,0.74576271,0.69559693,0.61000000,0.57971014,0.80000000,0.67226891
27,0.57891655,0.72000000,0.65865385,0.91333333,0.76536313,0.71502858,0.58000000,0.55555556,0.80000000,0.65573770
28,0.58133543,0.71666667,0.64840183,0.94666667,0.76964770,0.72117430,0.56000000,0.54054054,0.80000000,0.64516129
29,0.55858010,0.79333333,0.80136986,0.78000000,0.79054054,0.70135009,0.62000000,0.61111111,0.66000000,0.63461538
30,0.60193497,0.65666667,0.59437751,0.98666667,0.74185464,0.74404478,0.55000000,0.53086420,0.86000000,0.65648855
31,0.58127564,0.69000000,0.62337662,0.96000000,0.75590551,0.73049104,0.57000000,0.54666667,0.82000000,0.65600000
32,0.64209735,0.61333333,0.56488550,0.98666667,0.71844660,0.78381455,0.52000000,0.51136364,0.90000000,0.65217391
33,0.54125404,0.76666667,0.72222222,0.86666667,0.78787879,0.73118621,0.55000000,0.53968254,0.68000000,0.60176991
34,0.53138155,0.79000000,0.84800000,0.70666667,0.77090909,0.72011900,0.59000000,0.60000000,0.54000000,0.56842105
35,0.52159131,0.81333333,0.80921053,0.82000000,0.81456954,0.70796931,0.61000000,0.59649123,0.68000000,0.63551402
36,0.53050089,0.77333333,0.71134021,0.92000000,0.80232558,0.70858675,0.60000000,0.57352941,0.78000000,0.66101695
37,0.58022946,0.67000000,0.94736842,0.36000000,0.52173913,0.78327513,0.51000000,0.53846154,0.14000000,0.22222222
38,0.50918287,0.82666667,0.90163934,0.73333333,0.80882353,0.72121841,0.54000000,0.55263158,0.42000000,0.47727273
39,0.50436687,0.81666667,0.90598291,0.70666667,0.79400749,0.72755033,0.56000000,0.58333333,0.42000000,0.48837209
40,0.48883107,0.82666667,0.80625000,0.86000000,0.83225806,0.72211242,0.63000000,0.61403509,0.70000000,0.65420561
41,0.50101650,0.78000000,0.71000000,0.94666667,0.81142857,0.75342017,0.56000000,0.54411765,0.74000000,0.62711864
