epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68848866,0.54666667,0.52517986,0.97333333,0.68224299,0.68956715,0.53000000,0.51685393,0.92000000,0.66187050
2,0.68811446,0.50666667,0.75000000,0.02000000,0.03896104,0.69700897,0.50000000,0.50000000,0.02000000,0.03846154
3,0.68168259,0.56666667,0.66666667,0.26666667,0.38095238,0.69852066,0.50000000,0.50000000,0.28000000,0.35897436
4,0.68454003,0.53333333,0.77777778,0.09333333,0.16666667,0.69069701,0.56000000,0.87500000,0.14000000,0.24137931
5,0.67153889,0.58333333,0.55102041,0.90000000,0.68354430,0.69721019,0.49000000,0.49411765,0.84000000,0.62222222
6,0.66762227,0.61333333,0.57798165,0.84000000,0.68478261,0.71841949,0.52000000,0.51351351,0.76000000,0.61290323
7,0.67044538,0.54333333,0.66666667,0.17333333,0.27513228,0.70832229,0.49000000,0.47619048,0.20000000,0.28169014
8,0.65844119,0.57333333,0.84375000,0.18000000,0.29670330,0.69456249,0.52000000,0.57142857,0.16000000,0.25000000
9,0.67732614,0.52333333,0.88888889,0.05333333,0.10062893,0.71950889,0.53000000,1.00000000,0.06000000,0.11320755
10,0.65186441,0.59000000,0.86486486,0.21333333,0.34224599,0.72011048,0.57000000,0.68421053,0.26000000,0.37681159
11,0.64128429,0.66000000,0.79268293,0.43333333,0.56034483,0.70206314,0.54000000,0.56250000,0.36000000,0.43902439
12,0.61692953,0.71666667,0.72727273,0.69333333,0.70989761,0.71382207,0.52000000,0.51785714,0.58000000,0.54716981
13,0.60350335,0.73666667,0.70520231,0.81333333,0.75541796,0.71218055,0.51000000,0.50793651,0.64000000,0.56637168
14,0.62274575,0.66666667,0.77173913,0.47333333,0.58677686,0.70486313,0.55000000,0.56410256,0.44000000,0.49438202
15,0.65128410,0.53333333,1.00000000,0.06666667,0.12500000,0.76057744,0.54000000,1.00000000,0.08000000,0.14814815
16,0.75861788,0.51000000,1.00000000,0.02000000,0.03921569,0.86354458,0.51000000,1.00000000,0.02000000,0.03921569
17,0.62857616,0.64333333,0.85245902,0.34666667,0.49289100,0.79621869,0.52000000,0.54166667,0.26000000,0.35135135
18,0.57076848,0.73000000,0.66350711,0.93333333,0.77562327,0.74487472,0.52000000,0.51315789,0.78000000,0.61904762
19,0.62157989,0.57666667,0.92592593,0.16666667,0.28248588,0.73601884,0.54000000,0.70000000,0.14000000,0.23333333
20,0.52639139,0.79666667,0.82014388,0.76000000,0.78892734,0.73941857,0.52000000,0.51785714,0.58000000,0.54716981
21,0.56836987,0.72000000,0.65566038,0.92666667,0.76795580,0.73056245,0.50000000,0.50000000,0.76000000,0.60317460
22,0.58005303,0.69000000,0.96721311,0.39333333,0.55924171,0.81242847,0.54000000,0.60000000,0.24000000,0.34285714
23,0.57211721,0.69000000,0.62555066,0.94666667,0.75331565,0.79178494,0.52000000,0.51219512,0.84000000,0.63636364
24,0.51800978,0.79000000,0.74033149,0.89333333,0.80966767,0.74266607,0.51000000,0.50746269,0.68000000,0.58119658
25,0.59433633,0.73666667,0.67317073,0.92000000,0.77746479,0.71612018,0.48000000,0.48611111,0.70000000,0.57377049
26,0.51847190,0.75000000,0.92134831,0.54666667,0.68619247,0.75905186,0.54000000,0.56250000,0.36000000,0.43902439
27,0.51139873,0.75333333,0.68627451,0.93333333,0.79096045,0.85001904,0.49000000,0.49333333,0.74000000,0.59200000
