epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69275177,0.52000000,0.51094891,0.93333333,0.66037736,0.72361630,0.46000000,0.47777778,0.86000000,0.61428571
2,0.68430603,0.55000000,0.57894737,0.36666667,0.44897959,0.71837485,0.40000000,0.33333333,0.20000000,0.25000000
3,0.67937982,0.57333333,0.59016393,0.48000000,0.52941176,0.71933228,0.39000000,0.34285714,0.24000000,0.28235294
4,0.67997026,0.55000000,0.62711864,0.24666667,0.35406699,0.72021782,0.48000000,0.45000000,0.18000000,0.25714286
5,0.67450941,0.58000000,0.55940594,0.75333333,0.64204545,0.72215301,0.39000000,0.40983607,0.50000000,0.45045045
6,0.67076904,0.58666667,0.57926829,0.63333333,0.60509554,0.72260159,0.39000000,0.39622642,0.42000000,0.40776699
7,0.67109108,0.59000000,0.65882353,0.37333333,0.47659574,0.72407085,0.44000000,0.39285714,0.22000000,0.28205128
8,0.66546762,0.62666667,0.61585366,0.67333333,0.64331210,0.72449797,0.41000000,0.41818182,0.46000000,0.43809524
9,0.66255558,0.63666667,0.64748201,0.60000000,0.62283737,0.72534436,0.37000000,0.35555556,0.32000000,0.33684211
10,0.67025596,0.53666667,0.52029520,0.94000000,0.66983373,0.73510069,0.44000000,0.46511628,0.80000000,0.58823529
11,0.66129953,0.62333333,0.69892473,0.43333333,0.53497942,0.72332227,0.41000000,0.35483871,0.22000000,0.27160494
12,0.66868258,0.57000000,0.75609756,0.20666667,0.32460733,0.72945720,0.50000000,0.50000000,0.14000000,0.21875000
13,0.65424490,0.65333333,0.71698113,0.50666667,0.59375000,0.72707009,0.42000000,0.38235294,0.26000000,0.30952381
14,0.67582548,0.54000000,0.52097902,0.99333333,0.68348624,0.75261319,0.48000000,0.48888889,0.88000000,0.62857143
15,0.64808196,0.68000000,0.69565217,0.64000000,0.66666667,0.72462124,0.40000000,0.39583333,0.38000000,0.38775510
16,0.65719563,0.61333333,0.79310345,0.30666667,0.44230769,0.72957647,0.48000000,0.44444444,0.16000000,0.23529412
17,0.64494824,0.63333333,0.59259259,0.85333333,0.69945355,0.73330796,0.39000000,0.42253521,0.60000000,0.49586777
18,0.63971359,0.68666667,0.65555556,0.78666667,0.71515152,0.72914112,0.40000000,0.41379310,0.48000000,0.44444444
19,0.65591758,0.59666667,0.82222222,0.24666667,0.37948718,0.73669785,0.50000000,0.50000000,0.14000000,0.21875000
