epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69473404,0.51333333,0.52000000,0.34666667,0.41600000,0.68211043,0.52000000,0.53333333,0.32000000,0.40000000
2,0.68756437,0.56000000,0.55357143,0.62000000,0.58490566,0.68076956,0.55000000,0.54385965,0.62000000,0.57943925
3,0.68370914,0.56666667,0.54761905,0.76666667,0.63888889,0.68033463,0.57000000,0.54794521,0.80000000,0.65040650
4,0.67952889,0.56666667,0.55154639,0.71333333,0.62209302,0.68024337,0.59000000,0.57142857,0.72000000,0.63716814
5,0.67730892,0.59333333,0.62727273,0.46000000,0.53076923,0.68012601,0.53000000,0.54285714,0.38000000,0.44705882
6,0.68202651,0.53333333,0.65625000,0.14000000,0.23076923,0.68772322,0.48000000,0.42857143,0.12000000,0.18750000
7,0.67140979,0.58000000,0.66666667,0.32000000,0.43243243,0.68321449,0.52000000,0.54166667,0.26000000,0.35135135
8,0.67742729,0.54000000,0.71428571,0.13333333,0.22471910,0.69067717,0.48000000,0.42857143,0.12000000,0.18750000
9,0.68490517,0.52333333,0.51202749,0.99333333,0.67573696,0.70696169,0.54000000,0.52083333,1.00000000,0.68493151
10,0.65986836,0.62333333,0.70786517,0.42000000,0.52719665,0.68083727,0.52000000,0.52941176,0.36000000,0.42857143
11,0.65579271,0.65666667,0.73267327,0.49333333,0.58964143,0.68054879,0.53000000,0.54054054,0.40000000,0.45977011
12,0.67566496,0.54666667,0.52464789,0.99333333,0.68663594,0.70503134,0.55000000,0.52631579,1.00000000,0.68965517
13,0.66078305,0.59666667,0.55471698,0.98000000,0.70843373,0.69727492,0.53000000,0.51612903,0.96000000,0.67132867
14,0.64426303,0.69666667,0.74789916,0.59333333,0.66171004,0.67926466,0.52000000,0.52380952,0.44000000,0.47826087
15,0.64608002,0.62333333,0.74025974,0.38000000,0.50220264,0.68120569,0.54000000,0.57142857,0.32000000,0.41025641
16,0.64562714,0.62666667,0.83928571,0.31333333,0.45631068,0.68506545,0.53000000,0.56521739,0.26000000,0.35616438
17,0.63786215,0.63666667,0.58723404,0.92000000,0.71688312,0.68847919,0.59000000,0.55555556,0.90000000,0.68702290
18,0.62658185,0.72333333,0.72483221,0.72000000,0.72240803,0.67741114,0.56000000,0.55769231,0.58000000,0.56862745
19,0.63779032,0.63666667,0.58367347,0.95333333,0.72405063,0.69691467,0.57000000,0.54117647,0.92000000,0.68148148
20,0.62834615,0.65333333,0.82857143,0.38666667,0.52727273,0.68483573,0.54000000,0.57142857,0.32000000,0.41025641
21,0.64436704,0.57666667,0.87096774,0.18000000,0.29834254,0.69864410,0.51000000,0.53846154,0.14000000,0.22222222
22,0.63008237,0.62666667,0.91304348,0.28000000,0.42857143,0.69365096,0.55000000,0.63157895,0.24000000,0.34782609
23,0.61804855,0.67000000,0.60944206,0.94666667,0.74151436,0.70003021,0.58000000,0.55000000,0.88000000,0.67692308
24,0.60662842,0.70666667,0.64485981,0.92000000,0.75824176,0.69195920,0.57000000,0.54929577,0.78000000,0.64462810
25,0.66062182,0.55333333,0.52816901,1.00000000,0.69124424,0.74212438,0.52000000,0.51041667,0.98000000,0.67123288
26,0.59441108,0.77666667,0.84297521,0.68000000,0.75276753,0.68615967,0.48000000,0.47727273,0.42000000,0.44680851
27,0.59225655,0.75000000,0.70270270,0.86666667,0.77611940,0.69075727,0.54000000,0.53333333,0.64000000,0.58181818
28,0.58230919,0.76000000,0.76351351,0.75333333,0.75838926,0.69051820,0.49000000,0.48979592,0.48000000,0.48484848
29,0.58645326,0.72333333,0.65437788,0.94666667,0.77384196,0.69962096,0.56000000,0.54166667,0.78000000,0.63934426
30,0.57217652,0.81000000,0.79245283,0.84000000,0.81553398,0.69186282,0.54000000,0.53448276,0.62000000,0.57407407
31,0.65445334,0.55666667,0.94736842,0.12000000,0.21301775,0.74419439,0.51000000,0.55555556,0.10000000,0.16949153
