epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69224346,0.51666667,0.50996016,0.85333333,0.63840399,0.69119340,0.54000000,0.52500000,0.84000000,0.64615385
2,0.69512898,0.50333333,0.55555556,0.03333333,0.06289308,0.69602120,0.52000000,1.00000000,0.04000000,0.07692308
3,0.68246114,0.57666667,0.57615894,0.58000000,0.57807309,0.69070381,0.55000000,0.55102041,0.54000000,0.54545455
4,0.67952371,0.60333333,0.60689655,0.58666667,0.59661017,0.69088590,0.54000000,0.54166667,0.52000000,0.53061224
5,0.67721725,0.62000000,0.64754098,0.52666667,0.58088235,0.69128060,0.57000000,0.58536585,0.48000000,0.52747253
6,0.67582411,0.60666667,0.68604651,0.39333333,0.50000000,0.69205785,0.56000000,0.58823529,0.40000000,0.47619048
7,0.67362732,0.62666667,0.72619048,0.40666667,0.52136752,0.69289869,0.55000000,0.57142857,0.40000000,0.47058824
8,0.67185903,0.62000000,0.58653846,0.81333333,0.68156425,0.69314206,0.50000000,0.50000000,0.70000000,0.58333333
9,0.67123669,0.60000000,0.77777778,0.28000000,0.41176471,0.69418621,0.55000000,0.60869565,0.28000000,0.38356164
10,0.66735369,0.65000000,0.61904762,0.78000000,0.69026549,0.69263434,0.48000000,0.48437500,0.62000000,0.54385965
11,0.67658949,0.54000000,0.52158273,0.96666667,0.67757009,0.70115173,0.48000000,0.48913043,0.90000000,0.63380282
12,0.66747046,0.62666667,0.58050847,0.91333333,0.70984456,0.69611055,0.47000000,0.48148148,0.78000000,0.59541985
13,0.66169804,0.67666667,0.70542636,0.60666667,0.65232975,0.69311494,0.54000000,0.54347826,0.50000000,0.52083333
14,0.65992558,0.65333333,0.62234043,0.78000000,0.69230769,0.69480240,0.47000000,0.47619048,0.60000000,0.53097345
15,0.66671664,0.60333333,0.56031128,0.96000000,0.70761671,0.69943142,0.47000000,0.48275862,0.84000000,0.61313869
16,0.65581262,0.68333333,0.67515924,0.70666667,0.69055375,0.69477028,0.49000000,0.49152542,0.58000000,0.53211009
17,0.66311646,0.60666667,0.56299213,0.95333333,0.70792079,0.70255852,0.47000000,0.48275862,0.84000000,0.61313869
18,0.65133864,0.69333333,0.68125000,0.72666667,0.70322581,0.69591290,0.50000000,0.50000000,0.58000000,0.53703704
19,0.64926076,0.68000000,0.72500000,0.58000000,0.64444444,0.69664741,0.52000000,0.52272727,0.46000000,0.48936170
20,0.64668405,0.69666667,0.74789916,0.59333333,0.66171004,0.69737321,0.51000000,0.51111111,0.46000000,0.48421053
21,0.64373332,0.68666667,0.68666667,0.68666667,0.68666667,0.69773084,0.52000000,0.51785714,0.58000000,0.54716981
22,0.64319193,0.67000000,0.72972973,0.54000000,0.62068966,0.70077634,0.50000000,0.50000000,0.40000000,0.44444444
23,0.64263076,0.66000000,0.75531915,0.47333333,0.58196721,0.70132065,0.53000000,0.54285714,0.38000000,0.44705882
24,0.64420289,0.66000000,0.60526316,0.92000000,0.73015873,0.70682204,0.52000000,0.51282051,0.80000000,0.62500000
25,0.64642590,0.61666667,0.88888889,0.26666667,0.41025641,0.70586568,0.54000000,0.61111111,0.22000000,0.32352941
26,0.63866258,0.69000000,0.63255814,0.90666667,0.74520548,0.70315486,0.51000000,0.50704225,0.72000000,0.59504132
27,0.62908614,0.71000000,0.67027027,0.82666667,0.74029851,0.70219719,0.51000000,0.50746269,0.68000000,0.58119658
28,0.62663609,0.72333333,0.73103448,0.70666667,0.71864407,0.69886976,0.53000000,0.52830189,0.56000000,0.54368932
29,0.63533461,0.64666667,0.89285714,0.33333333,0.48543689,0.70757389,0.55000000,0.60869565,0.28000000,0.38356164
30,0.65413219,0.55333333,0.90000000,0.12000000,0.21176471,0.72318923,0.54000000,0.75000000,0.12000000,0.20689655
31,0.62184817,0.71000000,0.83157895,0.52666667,0.64489796,0.70673001,0.52000000,0.52631579,0.40000000,0.45454545
32,0.62868768,0.65000000,0.86885246,0.35333333,0.50236967,0.71128297,0.53000000,0.56521739,0.26000000,0.35616438
33,0.62662011,0.67333333,0.90625000,0.38666667,0.54205607,0.71443570,0.52000000,0.53846154,0.28000000,0.36842105
34,0.61740482,0.69666667,0.84705882,0.48000000,0.61276596,0.71275419,0.53000000,0.55172414,0.32000000,0.40506329
35,0.63457072,0.61666667,0.94871795,0.24666667,0.39153439,0.72306836,0.53000000,0.61538462,0.16000000,0.25396825
36,0.60838729,0.72333333,0.66834171,0.88666667,0.76217765,0.71278250,0.52000000,0.51428571,0.72000000,0.60000000
37,0.60226566,0.73000000,0.83495146,0.57333333,0.67984190,0.70921195,0.51000000,0.51351351,0.38000000,0.43678161
38,0.59590566,0.75666667,0.79389313,0.69333333,0.74021352,0.70572549,0.54000000,0.54166667,0.52000000,0.53061224
39,0.59366357,0.74666667,0.70108696,0.86000000,0.77245509,0.71526128,0.53000000,0.52238806,0.70000000,0.59829060
40,0.60531712,0.69666667,0.63228700,0.94000000,0.75603217,0.72185880,0.49000000,0.49367089,0.78000000,0.60465116
