epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68702483,0.55000000,0.54189944,0.64666667,0.58966565,0.69128436,0.52000000,0.51785714,0.58000000,0.54716981
2,0.68135530,0.55666667,0.58252427,0.40000000,0.47430830,0.69560957,0.54000000,0.56250000,0.36000000,0.43902439
3,0.67656517,0.58666667,0.59027778,0.56666667,0.57823129,0.69231969,0.52000000,0.52083333,0.50000000,0.51020408
4,0.67940968,0.55666667,0.66666667,0.22666667,0.33830846,0.70884401,0.48000000,0.42857143,0.12000000,0.18750000
5,0.66882873,0.61666667,0.59358289,0.74000000,0.65875371,0.69522613,0.48000000,0.48387097,0.60000000,0.53571429
6,0.66581249,0.60333333,0.56709957,0.87333333,0.68766404,0.70259875,0.49000000,0.49333333,0.74000000,0.59200000
7,0.66067594,0.59666667,0.71641791,0.32000000,0.44239631,0.70371324,0.54000000,0.58333333,0.28000000,0.37837838
8,0.65535635,0.69333333,0.65591398,0.81333333,0.72619048,0.69639969,0.50000000,0.50000000,0.60000000,0.54545455
9,0.65004772,0.68000000,0.64062500,0.82000000,0.71929825,0.69917709,0.47000000,0.47619048,0.60000000,0.53097345
10,0.64679563,0.65333333,0.64556962,0.68000000,0.66233766,0.70974165,0.48000000,0.48148148,0.52000000,0.50000000
11,0.63577801,0.69000000,0.69930070,0.66666667,0.68259386,0.70643198,0.57000000,0.57446809,0.54000000,0.55670103
12,0.62951058,0.74000000,0.70930233,0.81333333,0.75776398,0.70885706,0.52000000,0.51851852,0.56000000,0.53846154
13,0.64418560,0.61333333,0.56589147,0.97333333,0.71568627,0.72981828,0.50000000,0.50000000,0.88000000,0.63768116
14,0.65366232,0.56000000,1.00000000,0.12000000,0.21428571,0.75434989,0.51000000,0.60000000,0.06000000,0.10909091
15,0.61889452,0.66666667,0.86764706,0.39333333,0.54128440,0.72468978,0.52000000,0.55555556,0.20000000,0.29411765
