epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68589407,0.57333333,0.55140187,0.78666667,0.64835165,0.70232558,0.45000000,0.46268657,0.62000000,0.52991453
2,0.68212438,0.58333333,0.56756757,0.70000000,0.62686567,0.70212293,0.47000000,0.47619048,0.60000000,0.53097345
3,0.68827295,0.53666667,0.72000000,0.12000000,0.20571429,0.71081078,0.49000000,0.46666667,0.14000000,0.21538462
4,0.68312144,0.54000000,0.75000000,0.12000000,0.20689655,0.69725662,0.47000000,0.38461538,0.10000000,0.15873016
5,0.69326359,0.51666667,0.50847458,1.00000000,0.67415730,0.72899014,0.50000000,0.50000000,0.98000000,0.66216216
6,0.66889018,0.63000000,0.64885496,0.56666667,0.60498221,0.69708467,0.46000000,0.45000000,0.36000000,0.40000000
7,0.66515476,0.63666667,0.59903382,0.82666667,0.69467787,0.70049900,0.50000000,0.50000000,0.64000000,0.56140351
8,0.67064589,0.54333333,0.52296820,0.98666667,0.68360277,0.71074432,0.51000000,0.50526316,0.96000000,0.66206897
9,0.65016907,0.63666667,0.75308642,0.40666667,0.52813853,0.70033538,0.45000000,0.40000000,0.20000000,0.26666667
10,0.63684779,0.75000000,0.70491803,0.86000000,0.77477477,0.70895261,0.48000000,0.48333333,0.58000000,0.52727273
11,0.64977235,0.60000000,0.55597015,0.99333333,0.71291866,0.72631317,0.55000000,0.52808989,0.94000000,0.67625899
12,0.63315219,0.63000000,0.88235294,0.30000000,0.44776119,0.72113061,0.48000000,0.40000000,0.08000000,0.13333333
13,0.63062543,0.63333333,0.84482759,0.32666667,0.47115385,0.72082216,0.52000000,0.54545455,0.24000000,0.33333333
14,0.63011467,0.68000000,0.67088608,0.70666667,0.68831169,0.72132254,0.50000000,0.50000000,0.52000000,0.50980392
15,0.59786481,0.69333333,0.62946429,0.94000000,0.75401070,0.74198800,0.47000000,0.48000000,0.72000000,0.57600000
16,0.61795694,0.68000000,0.61739130,0.94666667,0.74736842,0.79228699,0.45000000,0.46666667,0.70000000,0.56000000
17,0.57392550,0.77000000,0.79136691,0.73333333,0.76124567,0.73566777,0.46000000,0.45833333,0.44000000,0.44897959
18,0.57089579,0.73666667,0.67317073,0.92000000,0.77746479,0.75284302,0.49000000,0.49206349,0.62000000,0.54867257
19,0.56131947,0.79666667,0.76969697,0.84666667,0.80634921,0.72616935,0.49000000,0.49056604,0.52000000,0.50485437
20,0.59285837,0.71000000,0.74418605,0.64000000,0.68817204,0.71752393,0.49000000,0.48837209,0.42000000,0.45161290
21,0.74638689,0.53000000,0.51557093,0.99333333,0.67881549,0.86296982,0.52000000,0.51041667,0.98000000,0.67123288
22,0.60289043,0.67000000,0.90476190,0.38000000,0.53521127,0.75676894,0.50000000,0.50000000,0.22000000,0.30555556
23,0.53662282,0.75333333,0.70212766,0.88000000,0.78106509,0.78187764,0.48000000,0.48214286,0.54000000,0.50943396
24,0.57221770,0.78000000,0.82812500,0.70666667,0.76258993,0.72898626,0.45000000,0.44444444,0.40000000,0.42105263
25,0.46724433,0.82000000,0.78915663,0.87333333,0.82911392,0.80984664,0.51000000,0.50909091,0.56000000,0.53333333
26,0.48022690,0.81000000,0.81208054,0.80666667,0.80936455,0.78034604,0.49000000,0.49056604,0.52000000,0.50485437
27,0.53931010,0.72333333,0.86021505,0.53333333,0.65843621,0.82997173,0.50000000,0.50000000,0.30000000,0.37500000
28,0.57985240,0.65333333,0.82857143,0.38666667,0.52727273,0.78993702,0.50000000,0.50000000,0.20000000,0.28571429
29,0.61263704,0.62666667,0.93181818,0.27333333,0.42268041,0.84550583,0.48000000,0.41666667,0.10000000,0.16129032
30,0.62540650,0.57000000,1.00000000,0.14000000,0.24561404,0.95452470,0.52000000,0.66666667,0.08000000,0.14285714
