epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69451159,0.52333333,0.52000000,0.60666667,0.56000000,0.68926787,0.59000000,0.57894737,0.66000000,0.61682243
2,0.68678874,0.56000000,0.56338028,0.53333333,0.54794521,0.69659239,0.49000000,0.48717949,0.38000000,0.42696629
3,0.67831260,0.58000000,0.56122449,0.73333333,0.63583815,0.69821846,0.47000000,0.47619048,0.60000000,0.53097345
4,0.67379272,0.61333333,0.62142857,0.58000000,0.60000000,0.69532943,0.50000000,0.50000000,0.52000000,0.50980392
5,0.67012584,0.59666667,0.70422535,0.33333333,0.45248869,0.69902891,0.55000000,0.60000000,0.30000000,0.40000000
6,0.66336966,0.65000000,0.65734266,0.62666667,0.64163823,0.69772196,0.49000000,0.49180328,0.60000000,0.54054054
7,0.65979290,0.65666667,0.63583815,0.73333333,0.68111455,0.69677752,0.51000000,0.50847458,0.60000000,0.55045872
8,0.65398377,0.67000000,0.69172932,0.61333333,0.65017668,0.70044237,0.55000000,0.54901961,0.56000000,0.55445545
9,0.64871305,0.68333333,0.70992366,0.62000000,0.66192171,0.70696396,0.50000000,0.50000000,0.48000000,0.48979592
10,0.66946095,0.56000000,0.53237410,0.98666667,0.69158879,0.71045768,0.51000000,0.50549451,0.92000000,0.65248227
11,0.64192563,0.66666667,0.62755102,0.82000000,0.71098266,0.70199633,0.51000000,0.50724638,0.70000000,0.58823529
12,0.64196306,0.61333333,0.72972973,0.36000000,0.48214286,0.72421145,0.53000000,0.55555556,0.30000000,0.38961039
13,0.64635056,0.60333333,0.81632653,0.26666667,0.40201005,0.73515874,0.50000000,0.50000000,0.18000000,0.26470588
14,0.62383515,0.69000000,0.72800000,0.60666667,0.66181818,0.71192718,0.54000000,0.54347826,0.50000000,0.52083333
15,0.64934897,0.56333333,0.95238095,0.13333333,0.23391813,0.74186355,0.51000000,0.57142857,0.08000000,0.14035088
16,0.64461797,0.57333333,0.86666667,0.17333333,0.28888889,0.74075389,0.53000000,0.66666667,0.12000000,0.20338983
17,0.60496873,0.71000000,0.75200000,0.62666667,0.68363636,0.72678643,0.52000000,0.52272727,0.46000000,0.48936170
18,0.61806893,0.67000000,0.61135371,0.93333333,0.73878628,0.71726859,0.50000000,0.50000000,0.78000000,0.60937500
19,0.61415333,0.65333333,0.59745763,0.94000000,0.73056995,0.72882646,0.50000000,0.50000000,0.78000000,0.60937500
20,0.58996195,0.71666667,0.77310924,0.61333333,0.68401487,0.73000252,0.50000000,0.50000000,0.44000000,0.46808511
21,0.59147584,0.72000000,0.66336634,0.89333333,0.76136364,0.72435790,0.57000000,0.55223881,0.74000000,0.63247863
22,0.61507112,0.64000000,0.58750000,0.94000000,0.72307692,0.72995681,0.51000000,0.50617284,0.82000000,0.62595420
23,0.58758831,0.69000000,0.63013699,0.92000000,0.74796748,0.74643743,0.51000000,0.50666667,0.76000000,0.60800000
24,0.56554121,0.78666667,0.78289474,0.79333333,0.78807947,0.73000741,0.52000000,0.52083333,0.50000000,0.51020408
25,0.55943704,0.75000000,0.68656716,0.92000000,0.78632479,0.74247497,0.57000000,0.55072464,0.76000000,0.63865546
26,0.57292360,0.68666667,0.91176471,0.41333333,0.56880734,0.79889464,0.52000000,0.54545455,0.24000000,0.33333333
27,0.54242778,0.73333333,0.67326733,0.90666667,0.77272727,0.75876427,0.53000000,0.52173913,0.72000000,0.60504202
28,0.56477249,0.68666667,0.92424242,0.40666667,0.56481481,0.81160659,0.48000000,0.45000000,0.18000000,0.25714286
29,0.52585948,0.80000000,0.75000000,0.90000000,0.81818182,0.74934858,0.57000000,0.55737705,0.68000000,0.61261261
30,0.61017972,0.59000000,1.00000000,0.18000000,0.30508475,0.81977808,0.50000000,0.50000000,0.06000000,0.10714286
31,0.49849537,0.79333333,0.77160494,0.83333333,0.80128205,0.77671951,0.49000000,0.49122807,0.56000000,0.52336449
32,0.54174560,0.68000000,0.93548387,0.38666667,0.54716981,0.81746900,0.46000000,0.38888889,0.14000000,0.20588235
33,0.64153135,0.58333333,0.96296296,0.17333333,0.29378531,0.95381004,0.50000000,0.50000000,0.10000000,0.16666667
