epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68715578,0.57000000,0.61290323,0.38000000,0.46913580,0.69108146,0.54000000,0.55882353,0.38000000,0.45238095
2,0.68375397,0.59333333,0.58750000,0.62666667,0.60645161,0.69018131,0.56000000,0.55000000,0.66000000,0.60000000
3,0.68116021,0.59333333,0.62500000,0.46666667,0.53435115,0.68980414,0.52000000,0.52500000,0.42000000,0.46666667
4,0.67865145,0.60000000,0.63157895,0.48000000,0.54545455,0.69012451,0.54000000,0.55263158,0.42000000,0.47727273
5,0.68147278,0.55666667,0.53359684,0.90000000,0.66997519,0.69150853,0.53000000,0.51724138,0.90000000,0.65693431
6,0.67603701,0.60000000,0.68292683,0.37333333,0.48275862,0.68785459,0.55000000,0.58064516,0.36000000,0.44444444
7,0.67167711,0.65000000,0.63473054,0.70666667,0.66876972,0.68860966,0.61000000,0.60000000,0.66000000,0.62857143
8,0.66988510,0.65000000,0.61780105,0.78666667,0.69208211,0.68687826,0.57000000,0.55072464,0.76000000,0.63865546
9,0.66645771,0.66333333,0.62827225,0.80000000,0.70381232,0.68476272,0.58000000,0.56451613,0.70000000,0.62500000
10,0.66451740,0.65666667,0.63128492,0.75333333,0.68693009,0.68469769,0.56000000,0.54838710,0.68000000,0.60714286
11,0.66057676,0.68000000,0.66071429,0.74000000,0.69811321,0.68387890,0.57000000,0.55932203,0.66000000,0.60550459
12,0.66101110,0.64666667,0.60784314,0.82666667,0.70056497,0.68421835,0.58000000,0.55405405,0.82000000,0.66129032
13,0.65609145,0.66000000,0.73076923,0.50666667,0.59842520,0.68579102,0.55000000,0.57142857,0.40000000,0.47058824
14,0.65194005,0.66000000,0.66438356,0.64666667,0.65540541,0.68377197,0.58000000,0.57692308,0.60000000,0.58823529
15,0.64697731,0.70333333,0.69182390,0.73333333,0.71197411,0.68340069,0.57000000,0.56603774,0.60000000,0.58252427
16,0.64921552,0.69000000,0.64039409,0.86666667,0.73654391,0.68623430,0.58000000,0.55263158,0.84000000,0.66666667
17,0.64152396,0.68333333,0.63546798,0.86000000,0.73087819,0.68429428,0.58000000,0.55555556,0.80000000,0.65573770
18,0.63543683,0.68000000,0.66875000,0.71333333,0.69032258,0.67905641,0.60000000,0.58620690,0.68000000,0.62962963
19,0.63054103,0.69333333,0.71014493,0.65333333,0.68055556,0.68082100,0.57000000,0.56603774,0.60000000,0.58252427
20,0.63350737,0.65333333,0.60176991,0.90666667,0.72340426,0.68772072,0.59000000,0.55696203,0.88000000,0.68217054
21,0.61959875,0.70333333,0.67630058,0.78000000,0.72445820,0.68478155,0.59000000,0.57377049,0.70000000,0.63063063
22,0.61856794,0.70000000,0.65151515,0.86000000,0.74137931,0.68807328,0.59000000,0.56521739,0.78000000,0.65546218
23,0.61480439,0.70000000,0.64563107,0.88666667,0.74719101,0.69116223,0.60000000,0.57142857,0.80000000,0.66666667
24,0.60421610,0.75666667,0.71270718,0.86000000,0.77945619,0.68247586,0.53000000,0.52380952,0.66000000,0.58407080
25,0.59982431,0.72333333,0.66341463,0.90666667,0.76619718,0.68695629,0.57000000,0.55072464,0.76000000,0.63865546
26,0.61302704,0.66666667,0.98076923,0.34000000,0.50495050,0.69950223,0.57000000,0.68421053,0.26000000,0.37681159
27,0.59874147,0.68000000,0.62053571,0.92666667,0.74331551,0.70035034,0.57000000,0.54320988,0.88000000,0.67175573
28,0.58765787,0.75333333,0.96341463,0.52666667,0.68103448,0.69189876,0.58000000,0.62500000,0.40000000,0.48780488
29,0.57825631,0.77000000,0.92631579,0.58666667,0.71836735,0.69071639,0.58000000,0.61111111,0.44000000,0.51162791
30,0.61568838,0.62000000,0.57031250,0.97333333,0.71921182,0.73013139,0.56000000,0.53488372,0.92000000,0.67647059
31,0.56098276,0.76333333,0.70899471,0.89333333,0.79056047,0.70069665,0.53000000,0.52238806,0.70000000,0.59829060
32,0.54733366,0.80666667,0.79113924,0.83333333,0.81168831,0.70131958,0.53000000,0.52542373,0.62000000,0.56880734
33,0.54578185,0.79000000,0.72307692,0.94000000,0.81739130,0.70163941,0.57000000,0.54794521,0.80000000,0.65040650
34,0.52680665,0.82666667,0.87692308,0.76000000,0.81428571,0.70258176,0.57000000,0.56603774,0.60000000,0.58252427
35,0.56479675,0.72333333,0.97183099,0.46000000,0.62443439,0.73034728,0.57000000,0.64000000,0.32000000,0.42666667
36,0.52920330,0.75333333,0.69000000,0.92000000,0.78857143,0.71270436,0.59000000,0.56338028,0.80000000,0.66115702
37,0.51694483,0.79000000,0.93069307,0.62666667,0.74900398,0.71415085,0.53000000,0.54285714,0.38000000,0.44705882
38,0.62842631,0.62000000,0.56976744,0.98000000,0.72058824,0.83690399,0.52000000,0.51111111,0.92000000,0.65714286
