epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69319898,0.53666667,0.52791878,0.69333333,0.59942363,0.70459020,0.44000000,0.45454545,0.60000000,0.51724138
2,0.68936461,0.53000000,0.51914894,0.81333333,0.63376623,0.70515549,0.50000000,0.50000000,0.80000000,0.61538462
3,0.68444520,0.56666667,0.61111111,0.36666667,0.45833333,0.70489836,0.44000000,0.41176471,0.28000000,0.33333333
4,0.68221772,0.56333333,0.54222222,0.81333333,0.65066667,0.70395339,0.51000000,0.50649351,0.78000000,0.61417323
5,0.68192214,0.57000000,0.54468085,0.85333333,0.66493506,0.70672613,0.49000000,0.49382716,0.80000000,0.61068702
6,0.68266195,0.56333333,0.53784861,0.90000000,0.67331671,0.70973015,0.53000000,0.51685393,0.92000000,0.66187050
7,0.67382932,0.59666667,0.66666667,0.38666667,0.48945148,0.70931017,0.46000000,0.43750000,0.28000000,0.34146341
8,0.66991585,0.63333333,0.63333333,0.63333333,0.63333333,0.70736957,0.42000000,0.42307692,0.44000000,0.43137255
9,0.66767347,0.62333333,0.59788360,0.75333333,0.66666667,0.70598900,0.44000000,0.45588235,0.62000000,0.52542373
10,0.67303735,0.57333333,0.76190476,0.21333333,0.33333333,0.71619397,0.48000000,0.44444444,0.16000000,0.23529412
11,0.66305161,0.60666667,0.57142857,0.85333333,0.68449198,0.71018767,0.48000000,0.48717949,0.76000000,0.59375000
12,0.65845448,0.64666667,0.75000000,0.44000000,0.55462185,0.71181357,0.46000000,0.44117647,0.30000000,0.35714286
13,0.65362579,0.67333333,0.65853659,0.72000000,0.68789809,0.71152228,0.45000000,0.45614035,0.52000000,0.48598131
14,0.65163481,0.68666667,0.66091954,0.76666667,0.70987654,0.70756102,0.46000000,0.46551724,0.54000000,0.50000000
15,0.64718831,0.68666667,0.73333333,0.58666667,0.65185185,0.71105593,0.45000000,0.43243243,0.32000000,0.36781609
16,0.65487617,0.59000000,0.80000000,0.24000000,0.36923077,0.72489840,0.45000000,0.39130435,0.18000000,0.24657534
17,0.64475685,0.64000000,0.76250000,0.40666667,0.53043478,0.72011095,0.50000000,0.50000000,0.30000000,0.37500000
18,0.63604206,0.69666667,0.74789916,0.59333333,0.66171004,0.71605825,0.48000000,0.47619048,0.40000000,0.43478261
19,0.63583326,0.69333333,0.64356436,0.86666667,0.73863636,0.71520019,0.49000000,0.49333333,0.74000000,0.59200000
20,0.62948352,0.70666667,0.75833333,0.60666667,0.67407407,0.71884584,0.47000000,0.46511628,0.40000000,0.43010753
21,0.63875592,0.61333333,0.77419355,0.32000000,0.45283019,0.72814989,0.49000000,0.48148148,0.26000000,0.33766234
22,0.63227445,0.64000000,0.59210526,0.90000000,0.71428571,0.72131884,0.51000000,0.50632911,0.80000000,0.62015504
23,0.64888579,0.60000000,0.55859375,0.95333333,0.70443350,0.74537820,0.53000000,0.51648352,0.94000000,0.66666667
24,0.61901480,0.69000000,0.64039409,0.86666667,0.73654391,0.72016281,0.52000000,0.51388889,0.74000000,0.60655738
25,0.62933713,0.63666667,0.58506224,0.94000000,0.72122762,0.72952288,0.53000000,0.51807229,0.86000000,0.64661654
26,0.61634654,0.67666667,0.61990950,0.91333333,0.73854447,0.72740436,0.51000000,0.50632911,0.80000000,0.62015504
27,0.60464239,0.73000000,0.67875648,0.87333333,0.76384840,0.72312546,0.52000000,0.51515152,0.68000000,0.58620690
28,0.60320634,0.72333333,0.67179487,0.87333333,0.75942029,0.72693360,0.52000000,0.51515152,0.68000000,0.58620690
29,0.59213251,0.75000000,0.70270270,0.86666667,0.77611940,0.72663516,0.50000000,0.50000000,0.64000000,0.56140351
30,0.59838724,0.72000000,0.66666667,0.88000000,0.75862069,0.73133653,0.54000000,0.52857143,0.74000000,0.61666667
31,0.58690143,0.74666667,0.69680851,0.87333333,0.77514793,0.72616410,0.54000000,0.53125000,0.68000000,0.59649123
32,0.57874501,0.76333333,0.83193277,0.66000000,0.73605948,0.73334312,0.45000000,0.43589744,0.34000000,0.38202247
33,0.57835954,0.75666667,0.88118812,0.59333333,0.70916335,0.74421769,0.47000000,0.45161290,0.28000000,0.34567901
34,0.66380465,0.55000000,1.00000000,0.10000000,0.18181818,0.81715548,0.51000000,0.57142857,0.08000000,0.14035088
35,0.55968887,0.80000000,0.78481013,0.82666667,0.80519481,0.72923476,0.43000000,0.42857143,0.42000000,0.42424242
36,0.60299736,0.63666667,0.90196078,0.30666667,0.45771144,0.77961653,0.49000000,0.47619048,0.20000000,0.28169014
37,0.63959676,0.60666667,0.56153846,0.97333333,0.71219512,0.80545241,0.51000000,0.50549451,0.92000000,0.65248227
38,0.55298704,0.74000000,0.68000000,0.90666667,0.77714286,0.74951637,0.55000000,0.53521127,0.76000000,0.62809917
39,0.56103283,0.73666667,0.94936709,0.50000000,0.65502183,0.76599962,0.48000000,0.46153846,0.24000000,0.31578947
40,0.54853553,0.76000000,0.93333333,0.56000000,0.70000000,0.75526613,0.45000000,0.41379310,0.24000000,0.30379747
41,0.56306231,0.68666667,0.62612613,0.92666667,0.74731183,0.77712035,0.52000000,0.51282051,0.80000000,0.62500000
42,0.63242400,0.61333333,0.56439394,0.99333333,0.71980676,0.83362877,0.52000000,0.51111111,0.92000000,0.65714286
43,0.50352287,0.82333333,0.81290323,0.84000000,0.82622951,0.75121206,0.43000000,0.42553191,0.40000000,0.41237113
44,0.53293139,0.74000000,0.67475728,0.92666667,0.78089888,0.77938658,0.54000000,0.52702703,0.78000000,0.62903226
45,0.54317361,0.71666667,0.90123457,0.48666667,0.63203463,0.79674423,0.48000000,0.45833333,0.22000000,0.29729730
46,0.51067406,0.78666667,0.73118280,0.90666667,0.80952381,0.76558036,0.51000000,0.50769231,0.66000000,0.57391304
47,0.55934054,0.68666667,0.61666667,0.98666667,0.75897436,0.81403536,0.55000000,0.52941176,0.90000000,0.66666667
48,0.47781727,0.82666667,0.79518072,0.88000000,0.83544304,0.77946508,0.45000000,0.45454545,0.50000000,0.47619048
49,0.58448881,0.65333333,0.59055118,1.00000000,0.74257426,0.85234404,0.53000000,0.51685393,0.92000000,0.66187050
50,0.46139973,0.85333333,0.84415584,0.86666667,0.85526316,0.77447701,0.42000000,0.42000000,0.42000000,0.42000000
51,0.57070506,0.67000000,0.60408163,0.98666667,0.74936709,0.86433440,0.56000000,0.53488372,0.92000000,0.67647059
52,0.61365682,0.60666667,0.55970149,1.00000000,0.71770335,0.87384707,0.54000000,0.52222222,0.94000000,0.67142857
53,0.44127473,0.86000000,0.85064935,0.87333333,0.86184211,0.78053755,0.46000000,0.46153846,0.48000000,0.47058824
54,0.69248813,0.58666667,0.54744526,1.00000000,0.70754717,0.96603674,0.51000000,0.50537634,0.94000000,0.65734266
55,0.74316835,0.56666667,0.53571429,1.00000000,0.69767442,1.01389456,0.49000000,0.49473684,0.94000000,0.64827586
56,0.47313568,0.80666667,0.96938776,0.63333333,0.76612903,0.82763064,0.44000000,0.39285714,0.22000000,0.28205128
57,0.48371288,0.75666667,0.67906977,0.97333333,0.80000000,0.83748126,0.57000000,0.54666667,0.82000000,0.65600000
58,0.42006007,0.89000000,0.90344828,0.87333333,0.88813559,0.78560549,0.45000000,0.43902439,0.36000000,0.39560440
59,0.43859375,0.82666667,0.76923077,0.93333333,0.84337349,0.81528836,0.52000000,0.51562500,0.66000000,0.57894737
60,0.40877789,0.88666667,0.87179487,0.90666667,0.88888889,0.80452162,0.43000000,0.43137255,0.44000000,0.43564356
61,0.40763229,0.88666667,0.94615385,0.82000000,0.87857143,0.82020402,0.47000000,0.46153846,0.36000000,0.40449438
62,0.41640073,0.86666667,0.97413793,0.75333333,0.84962406,0.83262271,0.46000000,0.43750000,0.28000000,0.34146341
63,0.52279145,0.71666667,0.63829787,1.00000000,0.77922078,0.86912674,0.53000000,0.51851852,0.84000000,0.64122137
64,0.38367736,0.88333333,0.86624204,0.90666667,0.88599349,0.82635587,0.46000000,0.45833333,0.44000000,0.44897959
65,0.38493332,0.88333333,0.90780142,0.85333333,0.87972509,0.81994921,0.49000000,0.48717949,0.38000000,0.42696629
66,0.72829711,0.59333333,0.55147059,1.00000000,0.71090047,1.03521407,0.51000000,0.50537634,0.94000000,0.65734266
67,0.39898208,0.88666667,0.98333333,0.78666667,0.87407407,0.83386302,0.48000000,0.46666667,0.28000000,0.35000000
68,0.37255582,0.88000000,0.85625000,0.91333333,0.88387097,0.82185942,0.47000000,0.47169811,0.50000000,0.48543689
69,0.36382353,0.87333333,0.85000000,0.90666667,0.87741935,0.85264093,0.46000000,0.46153846,0.48000000,0.47058824
70,0.36752188,0.87333333,0.84146341,0.92000000,0.87898089,0.86368144,0.45000000,0.45454545,0.50000000,0.47619048
71,0.58436960,0.66000000,0.59523810,1.00000000,0.74626866,0.94693041,0.53000000,0.51685393,0.92000000,0.66187050
72,0.42578414,0.82666667,0.75257732,0.97333333,0.84883721,0.79495001,0.53000000,0.52173913,0.72000000,0.60504202
73,0.36576670,0.88333333,0.89115646,0.87333333,0.88215488,0.85866010,0.48000000,0.47727273,0.42000000,0.44680851
74,0.34974173,0.89333333,0.89864865,0.88666667,0.89261745,0.87449354,0.48000000,0.47727273,0.42000000,0.44680851
75,0.37797120,0.84666667,0.99056604,0.70000000,0.82031250,0.90627271,0.50000000,0.50000000,0.28000000,0.35897436
76,0.72029418,0.61000000,0.56179775,1.00000000,0.71942446,1.12954652,0.52000000,0.51086957,0.94000000,0.66197183
