epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68480575,0.56333333,0.60919540,0.35333333,0.44725738,0.69499922,0.52000000,0.53846154,0.28000000,0.36842105
2,0.67681247,0.62666667,0.64179104,0.57333333,0.60563380,0.69284177,0.59000000,0.58181818,0.64000000,0.60952381
3,0.67249101,0.63666667,0.63576159,0.64000000,0.63787375,0.69187957,0.57000000,0.56140351,0.64000000,0.59813084
4,0.66970867,0.63000000,0.62580645,0.64666667,0.63606557,0.69106507,0.55000000,0.54237288,0.64000000,0.58715596
5,0.67084181,0.58666667,0.55118110,0.93333333,0.69306931,0.69772804,0.52000000,0.51136364,0.90000000,0.65217391
6,0.66454679,0.60666667,0.57207207,0.84666667,0.68279570,0.69195127,0.54000000,0.52702703,0.78000000,0.62903226
7,0.65749425,0.66666667,0.67857143,0.63333333,0.65517241,0.69489616,0.55000000,0.54545455,0.60000000,0.57142857
8,0.65355814,0.68666667,0.68666667,0.68666667,0.68666667,0.69912153,0.51000000,0.50847458,0.60000000,0.55045872
9,0.65094090,0.66000000,0.61764706,0.84000000,0.71186441,0.70004362,0.51000000,0.50684932,0.74000000,0.60162602
10,0.65185142,0.60333333,0.56378601,0.91333333,0.69720102,0.70882130,0.51000000,0.50602410,0.84000000,0.63157895
11,0.64129174,0.66666667,0.61904762,0.86666667,0.72222222,0.71036607,0.52000000,0.51388889,0.74000000,0.60655738
12,0.63385284,0.69333333,0.66666667,0.77333333,0.71604938,0.70678681,0.51000000,0.50793651,0.64000000,0.56637168
13,0.63931358,0.63666667,0.58649789,0.92666667,0.71834625,0.71600056,0.48000000,0.48750000,0.78000000,0.60000000
14,0.68187225,0.55000000,0.94117647,0.10666667,0.19161677,0.75670195,0.48000000,0.33333333,0.04000000,0.07142857
15,0.61965609,0.70666667,0.66315789,0.84000000,0.74117647,0.71265244,0.48000000,0.48529412,0.66000000,0.55932203
16,0.61517847,0.69333333,0.74166667,0.59333333,0.65925926,0.71442455,0.47000000,0.46808511,0.44000000,0.45360825
17,0.61309654,0.70000000,0.78846154,0.54666667,0.64566929,0.71697235,0.51000000,0.51428571,0.36000000,0.42352941
18,0.60376906,0.74333333,0.73856209,0.75333333,0.74587459,0.71032131,0.49000000,0.49056604,0.52000000,0.50485437
19,0.60482180,0.69333333,0.63942308,0.88666667,0.74301676,0.71216100,0.51000000,0.50704225,0.72000000,0.59504132
20,0.68392473,0.53666667,1.00000000,0.07333333,0.13664596,0.78902787,0.50000000,0.50000000,0.04000000,0.07407407
21,0.66966408,0.54333333,1.00000000,0.08666667,0.15950920,0.79668850,0.50000000,0.50000000,0.06000000,0.10714286
22,0.57209808,0.76333333,0.73939394,0.81333333,0.77460317,0.73571807,0.47000000,0.47540984,0.58000000,0.52252252
23,0.60945332,0.62000000,0.56976744,0.98000000,0.72058824,0.76748610,0.50000000,0.50000000,0.88000000,0.63768116
24,0.57753956,0.72000000,0.93421053,0.47333333,0.62831858,0.74758011,0.51000000,0.52000000,0.26000000,0.34666667
25,0.58354902,0.67666667,0.93442623,0.38000000,0.54028436,0.76474380,0.52000000,0.54545455,0.24000000,0.33333333
26,0.54030120,0.83333333,0.84246575,0.82000000,0.83108108,0.74271542,0.47000000,0.47058824,0.48000000,0.47524752
27,0.53248751,0.81000000,0.86614173,0.73333333,0.79422383,0.75873762,0.45000000,0.45098039,0.46000000,0.45544554
28,0.53753734,0.78333333,0.90476190,0.63333333,0.74509804,0.75274658,0.52000000,0.52941176,0.36000000,0.42857143
29,0.57953185,0.65666667,0.97959184,0.32000000,0.48241206,0.79790086,0.51000000,0.52941176,0.18000000,0.26865672
30,0.54049015,0.72666667,0.65044248,0.98000000,0.78191489,0.78963178,0.48000000,0.48648649,0.72000000,0.58064516
31,0.60960138,0.60333333,0.55849057,0.98666667,0.71325301,0.84543598,0.50000000,0.50000000,0.94000000,0.65277778
32,0.49339330,0.83333333,0.89682540,0.75333333,0.81884058,0.76809812,0.45000000,0.44680851,0.42000000,0.43298969
33,0.55271077,0.68666667,0.61764706,0.98000000,0.75773196,0.76409703,0.52000000,0.51219512,0.84000000,0.63636364
34,0.48164877,0.81666667,0.75956284,0.92666667,0.83483483,0.75883383,0.49000000,0.49253731,0.66000000,0.56410256
35,0.46854383,0.86666667,0.81976744,0.94000000,0.87577640,0.78077757,0.48000000,0.48484848,0.64000000,0.55172414
36,0.53657931,0.68333333,0.98245614,0.37333333,0.54106280,0.84702861,0.54000000,0.64285714,0.18000000,0.28125000
37,0.45344383,0.85000000,0.80346821,0.92666667,0.86068111,0.81735367,0.44000000,0.45312500,0.58000000,0.50877193
