epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69900692,0.51000000,0.57894737,0.07333333,0.13017751,0.69588506,0.54000000,0.83333333,0.10000000,0.17857143
2,0.69471222,0.51333333,0.70000000,0.04666667,0.08750000,0.68926758,0.55000000,1.00000000,0.10000000,0.18181818
3,0.68370515,0.54333333,0.55462185,0.44000000,0.49070632,0.67356002,0.59000000,0.62857143,0.44000000,0.51764706
4,0.68538374,0.50333333,0.50769231,0.22000000,0.30697674,0.69092786,0.50000000,0.50000000,0.22000000,0.30555556
5,0.68090445,0.59000000,0.64516129,0.40000000,0.49382716,0.68579084,0.57000000,0.61290323,0.38000000,0.46913580
6,0.67510724,0.61333333,0.66037736,0.46666667,0.54687500,0.69098717,0.57000000,0.62068966,0.36000000,0.45569620
7,0.68410927,0.52000000,0.65000000,0.08666667,0.15294118,0.69496614,0.48000000,0.37500000,0.06000000,0.10344828
8,0.73467553,0.50333333,1.00000000,0.00666667,0.01324503,0.74610901,0.50000000,0.50000000,0.02000000,0.03846154
9,0.67522889,0.64000000,0.60396040,0.81333333,0.69318182,0.68416220,0.57000000,0.55555556,0.70000000,0.61946903
10,0.65975273,0.60000000,0.67441860,0.38666667,0.49152542,0.68458331,0.59000000,0.66666667,0.36000000,0.46753247
11,0.67949861,0.54666667,0.88888889,0.10666667,0.19047619,0.68914217,0.50000000,0.50000000,0.04000000,0.07407407
12,0.66027886,0.61666667,0.56862745,0.96666667,0.71604938,0.70176017,0.48000000,0.48863636,0.86000000,0.62318841
13,0.64810312,0.62000000,0.57563025,0.91333333,0.70618557,0.70874941,0.48000000,0.48750000,0.78000000,0.60000000
14,0.65540713,0.64333333,0.68067227,0.54000000,0.60223048,0.68977308,0.56000000,0.58823529,0.40000000,0.47619048
15,0.65798664,0.54333333,0.84210526,0.10666667,0.18934911,0.70316511,0.47000000,0.00000000,0.00000000,0.00000000
16,0.70736194,0.52000000,1.00000000,0.04000000,0.07692308,0.77232420,0.52000000,0.75000000,0.06000000,0.11111111
17,0.62995726,0.67666667,0.61674009,0.93333333,0.74270557,0.69345611,0.57000000,0.54430380,0.86000000,0.66666667
18,0.60403442,0.70000000,0.74590164,0.60666667,0.66911765,0.70105141,0.59000000,0.60465116,0.52000000,0.55913978
19,0.62478286,0.70000000,0.70833333,0.68000000,0.69387755,0.70091939,0.51000000,0.51020408,0.50000000,0.50505051
20,0.58972567,0.70000000,0.83333333,0.50000000,0.62500000,0.72614288,0.53000000,0.54545455,0.36000000,0.43373494
21,0.60976827,0.68666667,0.85000000,0.45333333,0.59130435,0.69821382,0.54000000,0.58333333,0.28000000,0.37837838
22,0.61435312,0.62333333,0.89361702,0.28000000,0.42639594,0.69894701,0.55000000,0.69230769,0.18000000,0.28571429
23,0.62342227,0.65666667,0.60000000,0.94000000,0.73246753,0.75542569,0.54000000,0.52439024,0.86000000,0.65151515
24,0.65259606,0.58333333,0.54578755,0.99333333,0.70449173,0.72737890,0.51000000,0.50561798,0.90000000,0.64748201
25,0.65049070,0.62333333,0.57034221,1.00000000,0.72639225,0.76711524,0.49000000,0.49438202,0.88000000,0.63309353
