epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69198316,0.51000000,0.51162791,0.44000000,0.47311828,0.69221115,0.60000000,0.61363636,0.54000000,0.57446809
2,0.68960011,0.54333333,0.52789700,0.82000000,0.64229765,0.69434887,0.49000000,0.49315068,0.72000000,0.58536585
3,0.68323487,0.54333333,0.58024691,0.31333333,0.40692641,0.69704527,0.51000000,0.51724138,0.30000000,0.37974684
4,0.67905378,0.58333333,0.56218905,0.75333333,0.64387464,0.69606537,0.54000000,0.53125000,0.68000000,0.59649123
5,0.67648792,0.59333333,0.56140351,0.85333333,0.67724868,0.69855541,0.51000000,0.50684932,0.74000000,0.60162602
6,0.67799950,0.53000000,0.63636364,0.14000000,0.22950820,0.70800221,0.52000000,0.57142857,0.16000000,0.25000000
7,0.67137676,0.57333333,0.71153846,0.24666667,0.36633663,0.70480055,0.52000000,0.57142857,0.16000000,0.25000000
8,0.66517204,0.62333333,0.59585492,0.76666667,0.67055394,0.70290190,0.48000000,0.48437500,0.62000000,0.54385965
9,0.67192155,0.59666667,0.55642023,0.95333333,0.70270270,0.71063721,0.49000000,0.49425287,0.86000000,0.62773723
10,0.66077608,0.62000000,0.70454545,0.41333333,0.52100840,0.70395833,0.52000000,0.53125000,0.34000000,0.41463415
11,0.67432880,0.52666667,0.72222222,0.08666667,0.15476190,0.71716750,0.49000000,0.42857143,0.06000000,0.10526316
12,0.65783370,0.59666667,0.73770492,0.30000000,0.42654028,0.70753914,0.49000000,0.47619048,0.20000000,0.28169014
13,0.66549844,0.56000000,0.80000000,0.16000000,0.26666667,0.71461129,0.50000000,0.50000000,0.10000000,0.16666667
14,0.65399998,0.59333333,0.74137931,0.28666667,0.41346154,0.70970899,0.50000000,0.50000000,0.22000000,0.30555556
15,0.64548278,0.66666667,0.65432099,0.70666667,0.67948718,0.70912904,0.52000000,0.51785714,0.58000000,0.54716981
16,0.64117098,0.68000000,0.70149254,0.62666667,0.66197183,0.70890981,0.54000000,0.54347826,0.50000000,0.52083333
17,0.64331079,0.66000000,0.60526316,0.92000000,0.73015873,0.71335858,0.53000000,0.52054795,0.76000000,0.61788618
18,0.63518029,0.70333333,0.68944099,0.74000000,0.71382637,0.70917660,0.51000000,0.50943396,0.54000000,0.52427184
19,0.63377720,0.69000000,0.63380282,0.90000000,0.74380165,0.71555340,0.48000000,0.48484848,0.64000000,0.55172414
20,0.62739182,0.70333333,0.70469799,0.70000000,0.70234114,0.71183372,0.51000000,0.50980392,0.52000000,0.51485149
21,0.62633157,0.71666667,0.66666667,0.86666667,0.75362319,0.71366161,0.50000000,0.50000000,0.62000000,0.55357143
22,0.62264854,0.69333333,0.75892857,0.56666667,0.64885496,0.71266109,0.53000000,0.54285714,0.38000000,0.44705882
23,0.65346467,0.57666667,0.54181818,0.99333333,0.70117647,0.74169630,0.50000000,0.50000000,0.88000000,0.63768116
24,0.61615467,0.72000000,0.66836735,0.87333333,0.75722543,0.71397156,0.48000000,0.48437500,0.62000000,0.54385965
25,0.65081269,0.54666667,0.85000000,0.11333333,0.20000000,0.74270278,0.51000000,0.54545455,0.12000000,0.19672131
26,0.62176180,0.63666667,0.84745763,0.33333333,0.47846890,0.72618467,0.50000000,0.50000000,0.24000000,0.32432432
27,0.60874462,0.70333333,0.79047619,0.55333333,0.65098039,0.71939319,0.49000000,0.48648649,0.36000000,0.41379310
28,0.60521376,0.72000000,0.66019417,0.90666667,0.76404494,0.72359711,0.50000000,0.50000000,0.68000000,0.57627119
29,0.59792536,0.74000000,0.68181818,0.90000000,0.77586207,0.72198796,0.46000000,0.46774194,0.58000000,0.51785714
30,0.59108001,0.76333333,0.71823204,0.86666667,0.78549849,0.71897793,0.49000000,0.49152542,0.58000000,0.53211009
31,0.63123316,0.58000000,0.90000000,0.18000000,0.30000000,0.75231308,0.51000000,0.53846154,0.14000000,0.22222222
32,0.59734082,0.69666667,0.62995595,0.95333333,0.75862069,0.73676151,0.52000000,0.51351351,0.76000000,0.61290323
33,0.59781456,0.67333333,0.88235294,0.40000000,0.55045872,0.73560321,0.51000000,0.52173913,0.24000000,0.32876712
34,0.58553874,0.74666667,0.68137255,0.92666667,0.78531073,0.73567230,0.53000000,0.52238806,0.70000000,0.59829060
35,0.57424885,0.74666667,0.82456140,0.62666667,0.71212121,0.72846586,0.46000000,0.44444444,0.32000000,0.37209302
36,0.56662101,0.77000000,0.81889764,0.69333333,0.75090253,0.72720307,0.46000000,0.45652174,0.42000000,0.43750000
