epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68690407,0.51333333,0.57692308,0.10000000,0.17045455,0.69376349,0.54000000,0.64285714,0.18000000,0.28125000
2,0.68453735,0.51333333,0.75000000,0.04000000,0.07594937,0.68897659,0.51000000,0.60000000,0.06000000,0.10909091
3,0.68578678,0.53666667,0.56179775,0.33333333,0.41841004,0.68485928,0.54000000,0.57692308,0.30000000,0.39473684
4,0.67478138,0.64333333,0.59641256,0.88666667,0.71313673,0.68614364,0.58000000,0.55405405,0.82000000,0.66129032
5,0.67948163,0.61000000,0.58128079,0.78666667,0.66855524,0.68417495,0.58000000,0.56250000,0.72000000,0.63157895
6,0.67935312,0.56333333,0.53380783,1.00000000,0.69605568,0.68749177,0.55000000,0.52747253,0.96000000,0.68085106
7,0.65842450,0.63000000,0.70103093,0.45333333,0.55060729,0.69154477,0.56000000,0.60000000,0.36000000,0.45000000
8,0.65784246,0.67333333,0.65476190,0.73333333,0.69182390,0.68329877,0.56000000,0.55769231,0.58000000,0.56862745
9,0.66307688,0.60333333,0.55893536,0.98000000,0.71186441,0.68721724,0.53000000,0.51724138,0.90000000,0.65693431
10,0.65650940,0.60000000,0.55681818,0.98000000,0.71014493,0.69958198,0.54000000,0.52325581,0.90000000,0.66176471
11,0.64078146,0.69666667,0.68789809,0.72000000,0.70358306,0.68954527,0.53000000,0.52727273,0.58000000,0.55238095
12,0.62242329,0.70333333,0.67630058,0.78000000,0.72445820,0.68467987,0.54000000,0.53448276,0.62000000,0.57407407
13,0.68916017,0.54333333,0.52264808,1.00000000,0.68649886,0.71192455,0.51000000,0.50515464,0.98000000,0.66666667
14,0.84086752,0.51000000,1.00000000,0.02000000,0.03921569,0.89110601,0.50000000,0.50000000,0.02000000,0.03846154
15,0.62598455,0.71666667,0.65402844,0.92000000,0.76454294,0.68293083,0.61000000,0.57746479,0.82000000,0.67768595
16,0.59728211,0.73000000,0.73154362,0.72666667,0.72909699,0.68825215,0.56000000,0.56818182,0.50000000,0.53191489
17,0.63835901,0.58666667,0.80952381,0.22666667,0.35416667,0.72057801,0.50000000,0.50000000,0.14000000,0.21875000
18,0.60089678,0.74333333,0.79674797,0.65333333,0.71794872,0.69141048,0.50000000,0.50000000,0.36000000,0.41860465
19,0.57007873,0.74666667,0.69473684,0.88000000,0.77647059,0.70414960,0.52000000,0.51612903,0.64000000,0.57142857
20,0.83740753,0.50666667,1.00000000,0.01333333,0.02631579,0.91460323,0.50000000,0.00000000,0.00000000,0.00000000
21,0.62082171,0.62000000,0.83333333,0.30000000,0.44117647,0.73196638,0.53000000,0.58823529,0.20000000,0.29850746
22,0.58395672,0.69666667,0.62770563,0.96666667,0.76115486,0.73458260,0.55000000,0.53246753,0.82000000,0.64566929
23,0.66327941,0.59666667,0.55390335,0.99333333,0.71121718,0.79671043,0.52000000,0.51111111,0.92000000,0.65714286
24,0.60809600,0.65666667,0.83098592,0.39333333,0.53393665,0.71610135,0.52000000,0.53571429,0.30000000,0.38461538
25,0.65959322,0.56000000,0.90909091,0.13333333,0.23255814,0.80453080,0.51000000,0.60000000,0.06000000,0.10909091
26,0.52853137,0.74666667,0.67788462,0.94000000,0.78770950,0.73398483,0.59000000,0.56164384,0.82000000,0.66666667
27,0.51778507,0.79000000,0.79194631,0.78666667,0.78929766,0.76631826,0.54000000,0.54000000,0.54000000,0.54000000
28,0.48516399,0.79000000,0.82222222,0.74000000,0.77894737,0.78942931,0.54000000,0.54761905,0.46000000,0.50000000
29,0.68674779,0.62333333,0.81355932,0.32000000,0.45933014,0.94606197,0.51000000,0.52173913,0.24000000,0.32876712
30,0.55212605,0.70666667,0.63135593,0.99333333,0.77202073,0.85601068,0.53000000,0.51948052,0.80000000,0.62992126
31,0.58075136,0.65666667,0.59437751,0.98666667,0.74185464,0.75917000,0.53000000,0.51764706,0.88000000,0.65185185
32,0.50922465,0.74666667,0.69270833,0.88666667,0.77777778,0.82101500,0.55000000,0.53731343,0.72000000,0.61538462
33,0.62774175,0.64666667,0.58943089,0.96666667,0.73232323,0.70632392,0.54000000,0.52500000,0.84000000,0.64615385
