epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.71230382,0.50000000,0.50000000,0.04000000,0.07407407,0.71985275,0.51000000,0.57142857,0.08000000,0.14035088
2,0.68657476,0.52333333,0.51372549,0.87333333,0.64691358,0.70722950,0.53000000,0.51685393,0.92000000,0.66187050
3,0.68030643,0.54000000,0.52564103,0.82000000,0.64062500,0.70329392,0.52000000,0.51190476,0.86000000,0.64179104
4,0.67578256,0.60000000,0.67857143,0.38000000,0.48717949,0.70183104,0.49000000,0.48571429,0.34000000,0.40000000
5,0.67450827,0.61000000,0.75384615,0.32666667,0.45581395,0.70134246,0.49000000,0.48275862,0.28000000,0.35443038
6,0.67157757,0.58000000,0.75000000,0.24000000,0.36363636,0.70257556,0.49000000,0.47826087,0.22000000,0.30136986
7,0.66676557,0.59333333,0.55982906,0.87333333,0.68229167,0.70598519,0.49000000,0.49397590,0.82000000,0.61654135
8,0.67121214,0.54666667,0.71875000,0.15333333,0.25274725,0.71016830,0.51000000,0.53333333,0.16000000,0.24615385
9,0.67325169,0.53000000,0.73684211,0.09333333,0.16568047,0.71293455,0.53000000,0.66666667,0.12000000,0.20338983
10,0.67051703,0.56333333,0.53612167,0.94000000,0.68280872,0.71854264,0.54000000,0.52173913,0.96000000,0.67605634
11,0.65604699,0.59333333,0.70588235,0.32000000,0.44036697,0.70399427,0.51000000,0.51851852,0.28000000,0.36363636
12,0.64633548,0.68333333,0.69230769,0.66000000,0.67576792,0.69770682,0.51000000,0.50909091,0.56000000,0.53333333
13,0.64380497,0.67666667,0.72649573,0.56666667,0.63670412,0.69863707,0.47000000,0.46511628,0.40000000,0.43010753
14,0.69944215,0.52000000,1.00000000,0.04000000,0.07692308,0.74362671,0.49000000,0.33333333,0.02000000,0.03773585
15,0.68393874,0.53333333,0.51736111,0.99333333,0.68036530,0.74275970,0.51000000,0.50526316,0.96000000,0.66206897
16,0.64470500,0.61333333,0.82692308,0.28666667,0.42574257,0.70346707,0.51000000,0.52173913,0.24000000,0.32876712
17,0.64146721,0.62333333,0.57551020,0.94000000,0.71392405,0.71097589,0.54000000,0.52325581,0.90000000,0.66176471
18,0.62738264,0.70333333,0.67428571,0.78666667,0.72615385,0.70188510,0.52000000,0.51470588,0.70000000,0.59322034
19,0.63698781,0.61666667,0.81818182,0.30000000,0.43902439,0.70665258,0.49000000,0.47826087,0.22000000,0.30136986
20,0.62965405,0.65000000,0.82608696,0.38000000,0.52054795,0.70724332,0.51000000,0.51724138,0.30000000,0.37974684
21,0.62193120,0.68000000,0.62735849,0.88666667,0.73480663,0.70975280,0.51000000,0.50632911,0.80000000,0.62015504
22,0.61707127,0.67000000,0.80722892,0.44666667,0.57510730,0.70239294,0.53000000,0.54545455,0.36000000,0.43373494
23,0.61785603,0.66333333,0.82666667,0.41333333,0.55111111,0.70639634,0.52000000,0.53125000,0.34000000,0.41463415
24,0.60387367,0.73666667,0.70285714,0.82000000,0.75692308,0.70280880,0.51000000,0.50769231,0.66000000,0.57391304
25,0.60567319,0.71000000,0.66321244,0.85333333,0.74635569,0.70454907,0.52000000,0.51351351,0.76000000,0.61290323
26,0.65293378,0.60000000,0.55597015,0.99333333,0.71291866,0.75468034,0.51000000,0.50549451,0.92000000,0.65248227
27,0.62596786,0.62666667,0.57364341,0.98666667,0.72549020,0.73126477,0.52000000,0.51111111,0.92000000,0.65714286
28,0.59496266,0.71333333,0.66494845,0.86000000,0.75000000,0.70527035,0.50000000,0.50000000,0.74000000,0.59677419
29,0.59455329,0.70000000,0.81914894,0.51333333,0.63114754,0.70198035,0.53000000,0.54545455,0.36000000,0.43373494
30,0.61034304,0.65000000,0.59109312,0.97333333,0.73551637,0.73103529,0.51000000,0.50561798,0.90000000,0.64748201
31,0.66621268,0.53666667,1.00000000,0.07333333,0.13664596,0.76851088,0.53000000,0.80000000,0.08000000,0.14545455
32,0.68188399,0.53000000,1.00000000,0.06000000,0.11320755,0.78064132,0.53000000,0.80000000,0.08000000,0.14545455
