epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.70101351,0.50333333,0.50167224,1.00000000,0.66815145,0.70641255,0.50000000,0.50000000,1.00000000,0.66666667
2,0.68222690,0.58333333,0.61261261,0.45333333,0.52107280,0.69628257,0.45000000,0.44186047,0.38000000,0.40860215
3,0.69535571,0.50333333,1.00000000,0.00666667,0.01324503,0.70654100,0.50000000,0.00000000,0.00000000,0.00000000
4,0.68150449,0.54666667,0.81818182,0.12000000,0.20930233,0.69875795,0.48000000,0.33333333,0.04000000,0.07142857
5,0.69200504,0.51333333,1.00000000,0.02666667,0.05194805,0.71051866,0.50000000,0.00000000,0.00000000,0.00000000
6,0.69295728,0.51000000,0.50505051,1.00000000,0.67114094,0.70771760,0.51000000,0.50515464,0.98000000,0.66666667
7,0.66811043,0.57666667,0.71698113,0.25333333,0.37438424,0.70122528,0.47000000,0.42105263,0.16000000,0.23188406
8,0.66592288,0.62333333,0.62758621,0.60666667,0.61694915,0.69354051,0.49000000,0.49090909,0.54000000,0.51428571
9,0.71801943,0.51000000,1.00000000,0.02000000,0.03921569,0.75021064,0.50000000,0.00000000,0.00000000,0.00000000
10,0.64629626,0.68333333,0.70992366,0.62000000,0.66192171,0.70461595,0.50000000,0.50000000,0.50000000,0.50000000
11,0.65105677,0.61000000,0.77966102,0.30666667,0.44019139,0.70779085,0.53000000,0.56521739,0.26000000,0.35616438
12,0.74270886,0.50333333,1.00000000,0.00666667,0.01324503,0.79207110,0.51000000,1.00000000,0.02000000,0.03921569
13,0.65781385,0.57333333,0.54135338,0.96000000,0.69230769,0.71658784,0.51000000,0.50537634,0.94000000,0.65734266
14,0.63883924,0.60000000,0.89473684,0.22666667,0.36170213,0.71243042,0.53000000,0.57894737,0.22000000,0.31884058
15,0.65157616,0.58000000,0.74000000,0.24666667,0.37000000,0.73923492,0.52000000,0.54166667,0.26000000,0.35135135
16,0.64396638,0.57000000,0.92000000,0.15333333,0.26285714,0.71621382,0.52000000,0.62500000,0.10000000,0.17241379
17,0.60274178,0.69333333,0.64500000,0.86000000,0.73714286,0.71226823,0.51000000,0.50724638,0.70000000,0.58823529
18,0.59248656,0.69000000,0.63636364,0.88666667,0.74094708,0.73024690,0.52000000,0.51428571,0.72000000,0.60000000
