epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69185603,0.56333333,0.54377880,0.78666667,0.64305177,0.70863849,0.50000000,0.50000000,0.74000000,0.59677419
2,0.68221456,0.59666667,0.61983471,0.50000000,0.55350554,0.69976205,0.45000000,0.44680851,0.42000000,0.43298969
3,0.68471628,0.52333333,0.61290323,0.12666667,0.20994475,0.70529294,0.48000000,0.43750000,0.14000000,0.21212121
4,0.67793804,0.56666667,0.66666667,0.26666667,0.38095238,0.70338452,0.47000000,0.44444444,0.24000000,0.31168831
5,0.68577296,0.51000000,0.80000000,0.02666667,0.05161290,0.70970452,0.51000000,0.57142857,0.08000000,0.14035088
6,0.66998214,0.63666667,0.60000000,0.82000000,0.69295775,0.70411760,0.49000000,0.49295775,0.70000000,0.57851240
7,0.66641855,0.62666667,0.69791667,0.44666667,0.54471545,0.70298958,0.43000000,0.40540541,0.30000000,0.34482759
8,0.67090356,0.60333333,0.56224900,0.93333333,0.70175439,0.70967156,0.56000000,0.53571429,0.90000000,0.67164179
9,0.66292638,0.60333333,0.70666667,0.35333333,0.47111111,0.69800580,0.47000000,0.45945946,0.34000000,0.39080460
10,0.65475595,0.68000000,0.70769231,0.61333333,0.65714286,0.70372373,0.44000000,0.43750000,0.42000000,0.42857143
11,0.65169322,0.66666667,0.71186441,0.56000000,0.62686567,0.70156056,0.45000000,0.44444444,0.40000000,0.42105263
12,0.65037858,0.66333333,0.74747475,0.49333333,0.59437751,0.70149308,0.48000000,0.47500000,0.38000000,0.42222222
13,0.64368260,0.69000000,0.65079365,0.82000000,0.72566372,0.70725143,0.49000000,0.49206349,0.62000000,0.54867257
14,0.63803822,0.71666667,0.72727273,0.69333333,0.70989761,0.70782810,0.49000000,0.48979592,0.48000000,0.48484848
15,0.63747793,0.68000000,0.72131148,0.58666667,0.64705882,0.71128446,0.49000000,0.48936170,0.46000000,0.47422680
16,0.64502472,0.60333333,0.80392157,0.27333333,0.40796020,0.71617597,0.47000000,0.44000000,0.22000000,0.29333333
17,0.62755954,0.72333333,0.70552147,0.76666667,0.73482428,0.70585358,0.55000000,0.54545455,0.60000000,0.57142857
18,0.63693917,0.66333333,0.60606061,0.93333333,0.73490814,0.71793240,0.54000000,0.52500000,0.84000000,0.64615385
19,0.62716258,0.65000000,0.83582090,0.37333333,0.51612903,0.72370464,0.46000000,0.43333333,0.26000000,0.32500000
20,0.60726637,0.76666667,0.75000000,0.80000000,0.77419355,0.71491361,0.52000000,0.51724138,0.60000000,0.55555556
21,0.61174709,0.66666667,0.80487805,0.44000000,0.56896552,0.72335470,0.50000000,0.50000000,0.32000000,0.39024390
22,0.61533326,0.64000000,0.82812500,0.35333333,0.49532710,0.73714298,0.48000000,0.46428571,0.26000000,0.33333333
23,0.60187340,0.67333333,0.82500000,0.44000000,0.57391304,0.72299314,0.52000000,0.53125000,0.34000000,0.41463415
24,0.58372802,0.78333333,0.74011299,0.87333333,0.80122324,0.72664046,0.52000000,0.51666667,0.62000000,0.56363636
25,0.60108095,0.65333333,0.85937500,0.36666667,0.51401869,0.74532270,0.50000000,0.50000000,0.24000000,0.32432432
26,0.57749933,0.76000000,0.69897959,0.91333333,0.79190751,0.72259772,0.59000000,0.56716418,0.76000000,0.64957265
27,0.56687742,0.77333333,0.72777778,0.87333333,0.79393939,0.71760237,0.56000000,0.54687500,0.70000000,0.61403509
28,0.55699807,0.79666667,0.74316940,0.90666667,0.81681682,0.74015981,0.54000000,0.53333333,0.64000000,0.58181818
29,0.56478345,0.75333333,0.69000000,0.92000000,0.78857143,0.72643995,0.59000000,0.56923077,0.74000000,0.64347826
