epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68935490,0.53666667,0.52820513,0.68666667,0.59710145,0.69079739,0.51000000,0.50704225,0.72000000,0.59504132
2,0.68642682,0.55666667,0.54228856,0.72666667,0.62108262,0.68986571,0.52000000,0.51428571,0.72000000,0.60000000
3,0.68316478,0.55666667,0.56692913,0.48000000,0.51985560,0.68903565,0.50000000,0.50000000,0.50000000,0.50000000
4,0.68029642,0.57333333,0.55789474,0.70666667,0.62352941,0.68878043,0.52000000,0.51470588,0.70000000,0.59322034
5,0.67805856,0.58000000,0.56122449,0.73333333,0.63583815,0.68921131,0.53000000,0.52173913,0.72000000,0.60504202
6,0.67923194,0.56333333,0.53877551,0.88000000,0.66835443,0.69095933,0.54000000,0.52325581,0.90000000,0.66176471
7,0.67233878,0.61666667,0.64000000,0.53333333,0.58181818,0.68846703,0.51000000,0.51111111,0.46000000,0.48421053
8,0.67047375,0.62666667,0.64393939,0.56666667,0.60283688,0.68922079,0.54000000,0.54000000,0.54000000,0.54000000
9,0.66813385,0.61666667,0.59887006,0.70666667,0.64831804,0.68845838,0.53000000,0.52380952,0.66000000,0.58407080
10,0.66982222,0.61666667,0.74647887,0.35333333,0.47963801,0.69268781,0.55000000,0.59259259,0.32000000,0.41558442
11,0.66443491,0.64333333,0.61497326,0.76666667,0.68249258,0.68940556,0.51000000,0.50769231,0.66000000,0.57391304
12,0.66307873,0.63333333,0.71739130,0.44000000,0.54545455,0.69216681,0.55000000,0.58064516,0.36000000,0.44444444
13,0.65977609,0.65000000,0.67716535,0.57333333,0.62093863,0.69122130,0.52000000,0.52083333,0.50000000,0.51020408
14,0.65858430,0.65333333,0.64375000,0.68666667,0.66451613,0.68916947,0.51000000,0.50877193,0.58000000,0.54205607
15,0.65579957,0.67000000,0.71428571,0.56666667,0.63197026,0.69178563,0.51000000,0.51111111,0.46000000,0.48421053
16,0.66106409,0.60666667,0.75000000,0.32000000,0.44859813,0.69979382,0.51000000,0.52380952,0.22000000,0.30985915
17,0.65242052,0.65000000,0.73195876,0.47333333,0.57489879,0.69477189,0.52000000,0.52941176,0.36000000,0.42857143
