epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68729359,0.52666667,0.54651163,0.31333333,0.39830508,0.69041497,0.51000000,0.52380952,0.22000000,0.30985915
2,0.68445504,0.54666667,0.61666667,0.24666667,0.35238095,0.69143677,0.52000000,0.58333333,0.14000000,0.22580645
3,0.68145090,0.60000000,0.58426966,0.69333333,0.63414634,0.68987423,0.53000000,0.52830189,0.56000000,0.54368932
4,0.67934817,0.60000000,0.56880734,0.82666667,0.67391304,0.68913078,0.51000000,0.50847458,0.60000000,0.55045872
5,0.67786956,0.60000000,0.56250000,0.90000000,0.69230769,0.68904954,0.55000000,0.53731343,0.72000000,0.61538462
6,0.67612565,0.60000000,0.56302521,0.89333333,0.69072165,0.68926072,0.57000000,0.54929577,0.78000000,0.64462810
7,0.67271507,0.63333333,0.60638298,0.76000000,0.67455621,0.68975067,0.53000000,0.52631579,0.60000000,0.56074766
8,0.67191356,0.62000000,0.68000000,0.45333333,0.54400000,0.69122589,0.52000000,0.53571429,0.30000000,0.38461538
9,0.66961533,0.64000000,0.59375000,0.88666667,0.71122995,0.69020504,0.53000000,0.52238806,0.70000000,0.59829060
10,0.66824448,0.65333333,0.60267857,0.90000000,0.72192513,0.68917125,0.55000000,0.53731343,0.72000000,0.61538462
11,0.66533744,0.63000000,0.63448276,0.61333333,0.62372881,0.69064069,0.54000000,0.54545455,0.48000000,0.51063830
12,0.66335076,0.64666667,0.65942029,0.60666667,0.63194444,0.68904614,0.55000000,0.55813953,0.48000000,0.51612903
13,0.66041565,0.67666667,0.65317919,0.75333333,0.69969040,0.68817723,0.56000000,0.55555556,0.60000000,0.57692308
14,0.65924001,0.67000000,0.61434978,0.91333333,0.73458445,0.68834293,0.54000000,0.52857143,0.74000000,0.61666667
15,0.65913349,0.65333333,0.76744186,0.44000000,0.55932203,0.69237107,0.50000000,0.50000000,0.22000000,0.30555556
16,0.65797132,0.61666667,0.57085020,0.94000000,0.71032746,0.68943828,0.54000000,0.52439024,0.86000000,0.65151515
17,0.65071476,0.66666667,0.61904762,0.86666667,0.72222222,0.68806517,0.53000000,0.52307692,0.68000000,0.59130435
18,0.65278965,0.65333333,0.77380952,0.43333333,0.55555556,0.69327813,0.51000000,0.52380952,0.22000000,0.30985915
19,0.64592391,0.68000000,0.62857143,0.88000000,0.73333333,0.69093174,0.50000000,0.50000000,0.66000000,0.56896552
20,0.64882600,0.63000000,0.57959184,0.94666667,0.71898734,0.69096673,0.54000000,0.52439024,0.86000000,0.65151515
21,0.63945204,0.69333333,0.66666667,0.77333333,0.71604938,0.69089288,0.55000000,0.54716981,0.58000000,0.56310680
22,0.63773632,0.69000000,0.63255814,0.90666667,0.74520548,0.68967658,0.52000000,0.51470588,0.70000000,0.59322034
23,0.63574827,0.72666667,0.72972973,0.72000000,0.72483221,0.68916655,0.56000000,0.56818182,0.50000000,0.53191489
24,0.63435680,0.72333333,0.78151261,0.62000000,0.69144981,0.69364196,0.56000000,0.58823529,0.40000000,0.47619048
25,0.62916178,0.73000000,0.73793103,0.71333333,0.72542373,0.69094163,0.58000000,0.59090909,0.52000000,0.55319149
26,0.62790155,0.71000000,0.76033058,0.61333333,0.67896679,0.69219434,0.59000000,0.62162162,0.46000000,0.52873563
27,0.62299013,0.72666667,0.67000000,0.89333333,0.76571429,0.69199055,0.57000000,0.55555556,0.70000000,0.61946903
28,0.62555003,0.65333333,0.59913793,0.92666667,0.72774869,0.69451827,0.51000000,0.50649351,0.78000000,0.61417323
29,0.61574548,0.74000000,0.75000000,0.72000000,0.73469388,0.68920714,0.57000000,0.58139535,0.50000000,0.53763441
30,0.61333758,0.72666667,0.67525773,0.87333333,0.76162791,0.69060737,0.56000000,0.54838710,0.68000000,0.60714286
31,0.61997682,0.65333333,0.59663866,0.94666667,0.73195876,0.69906187,0.52000000,0.51282051,0.80000000,0.62500000
32,0.60782748,0.76333333,0.78014184,0.73333333,0.75601375,0.69205976,0.55000000,0.55555556,0.50000000,0.52631579
33,0.60251153,0.76000000,0.74074074,0.80000000,0.76923077,0.69199729,0.54000000,0.53846154,0.56000000,0.54901961
34,0.61277866,0.65000000,0.59414226,0.94666667,0.73007712,0.70029813,0.56000000,0.53947368,0.82000000,0.65079365
35,0.60055774,0.73333333,0.83653846,0.58000000,0.68503937,0.69667846,0.58000000,0.62500000,0.40000000,0.48780488
36,0.59100509,0.77000000,0.76129032,0.78666667,0.77377049,0.69296944,0.57000000,0.57142857,0.56000000,0.56565657
37,0.63034707,0.61666667,0.56704981,0.98666667,0.72019465,0.71992689,0.50000000,0.50000000,0.90000000,0.64285714
38,0.58762968,0.76000000,0.83050847,0.65333333,0.73134328,0.69536620,0.61000000,0.64864865,0.48000000,0.55172414
39,0.62379104,0.63000000,0.57587549,0.98666667,0.72727273,0.72536480,0.50000000,0.50000000,0.88000000,0.63768116
40,0.57635409,0.77666667,0.72928177,0.88000000,0.79758308,0.69418365,0.53000000,0.52459016,0.64000000,0.57657658
41,0.57828075,0.73000000,0.66666667,0.92000000,0.77310924,0.69989866,0.54000000,0.52857143,0.74000000,0.61666667
42,0.57841271,0.71333333,0.64814815,0.93333333,0.76502732,0.70161712,0.55000000,0.53424658,0.78000000,0.63414634
43,0.56706935,0.76333333,0.70466321,0.90666667,0.79300292,0.70227432,0.54000000,0.52941176,0.72000000,0.61016949
44,0.55881101,0.80333333,0.76923077,0.86666667,0.81504702,0.69965720,0.52000000,0.51724138,0.60000000,0.55555556
45,0.55877495,0.77000000,0.78321678,0.74666667,0.76450512,0.70151120,0.59000000,0.60000000,0.54000000,0.56842105
46,0.57378632,0.75000000,0.76595745,0.72000000,0.74226804,0.69088805,0.59000000,0.60465116,0.52000000,0.55913978
47,0.56084770,0.75333333,0.88000000,0.58666667,0.70400000,0.71023774,0.59000000,0.65517241,0.38000000,0.48101266
48,0.60254622,0.64666667,0.58730159,0.98666667,0.73631841,0.74258244,0.52000000,0.51162791,0.88000000,0.64705882
49,0.54625154,0.76000000,0.69897959,0.91333333,0.79190751,0.71157706,0.51000000,0.50724638,0.70000000,0.58823529
50,0.57929486,0.69333333,0.93939394,0.41333333,0.57407407,0.74550599,0.56000000,0.71428571,0.20000000,0.31250000
51,0.53162700,0.81000000,0.80392157,0.82000000,0.81188119,0.70528281,0.57000000,0.56862745,0.58000000,0.57425743
52,0.58669841,0.66333333,0.60000000,0.98000000,0.74430380,0.74523038,0.54000000,0.52439024,0.86000000,0.65151515
53,0.54312164,0.74666667,0.67452830,0.95333333,0.79005525,0.72151351,0.55000000,0.53521127,0.76000000,0.62809917
54,0.68585837,0.54000000,1.00000000,0.08000000,0.14814815,0.84800327,0.50000000,0.50000000,0.02000000,0.03846154
