epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69969678,0.52666667,0.51398601,0.98000000,0.67431193,0.69709903,0.50000000,0.50000000,0.96000000,0.65753425
2,0.68635494,0.59333333,0.57142857,0.74666667,0.64739884,0.69610763,0.46000000,0.46774194,0.58000000,0.51785714
3,0.67989099,0.58666667,0.55158730,0.92666667,0.69154229,0.69827390,0.54000000,0.52380952,0.88000000,0.65671642
4,0.67423576,0.65000000,0.72277228,0.48666667,0.58167331,0.69870251,0.50000000,0.50000000,0.30000000,0.37500000
5,0.67090040,0.62000000,0.87500000,0.28000000,0.42424242,0.69999868,0.48000000,0.41666667,0.10000000,0.16129032
6,0.65981799,0.71000000,0.65989848,0.86666667,0.74927954,0.69664651,0.56000000,0.54687500,0.70000000,0.61403509
7,0.65655214,0.67333333,0.61711712,0.91333333,0.73655914,0.69952804,0.50000000,0.50000000,0.72000000,0.59016393
8,0.65398484,0.63666667,0.58167331,0.97333333,0.72817955,0.70185041,0.54000000,0.52564103,0.82000000,0.64062500
9,0.64274728,0.71333333,0.69047619,0.77333333,0.72955975,0.69953060,0.50000000,0.50000000,0.60000000,0.54545455
10,0.66350657,0.54333333,0.93333333,0.09333333,0.16969697,0.72085005,0.49000000,0.40000000,0.04000000,0.07272727
11,0.63459313,0.71333333,0.66666667,0.85333333,0.74853801,0.70068777,0.53000000,0.52307692,0.68000000,0.59130435
12,0.62335294,0.75666667,0.74522293,0.78000000,0.76221498,0.70200282,0.52000000,0.52000000,0.52000000,0.52000000
13,0.61746848,0.73666667,0.66985646,0.93333333,0.77994429,0.70804936,0.49000000,0.49253731,0.66000000,0.56410256
14,0.61046946,0.75000000,0.80487805,0.66000000,0.72527473,0.70771718,0.53000000,0.53846154,0.42000000,0.47191011
15,0.60102469,0.76666667,0.76315789,0.77333333,0.76821192,0.70782697,0.51000000,0.51063830,0.48000000,0.49484536
16,0.62038583,0.66000000,0.90000000,0.36000000,0.51428571,0.72852302,0.54000000,0.61111111,0.22000000,0.32352941
17,0.62020880,0.61000000,0.90243902,0.24666667,0.38743455,0.74035048,0.56000000,0.68750000,0.22000000,0.33333333
18,0.58507383,0.77000000,0.77551020,0.76000000,0.76767677,0.71902096,0.51000000,0.51162791,0.44000000,0.47311828
19,0.59528899,0.70333333,0.63090129,0.98000000,0.76762402,0.72638839,0.53000000,0.51948052,0.80000000,0.62992126
20,0.56257576,0.76333333,0.73939394,0.81333333,0.77460317,0.73036259,0.50000000,0.50000000,0.56000000,0.52830189
21,0.59245312,0.65000000,0.94117647,0.32000000,0.47761194,0.74938244,0.56000000,0.68750000,0.22000000,0.33333333
22,0.57650638,0.71666667,0.82178218,0.55333333,0.66135458,0.74721444,0.54000000,0.55555556,0.40000000,0.46511628
23,0.58318281,0.68666667,0.61965812,0.96666667,0.75520833,0.77149802,0.52000000,0.51315789,0.78000000,0.61904762
24,0.56201857,0.77000000,0.88571429,0.62000000,0.72941176,0.73636752,0.52000000,0.53333333,0.32000000,0.40000000
25,0.59199750,0.66000000,0.59600000,0.99333333,0.74500000,0.77197862,0.53000000,0.51764706,0.88000000,0.65185185
26,0.53004253,0.83333333,0.85211268,0.80666667,0.82876712,0.72953391,0.55000000,0.55319149,0.52000000,0.53608247
27,0.55211896,0.71000000,0.94366197,0.44666667,0.60633484,0.77199203,0.54000000,0.60000000,0.24000000,0.34285714
28,0.51064324,0.77000000,0.70351759,0.93333333,0.80229226,0.77137464,0.46000000,0.47058824,0.64000000,0.54237288
29,0.50997257,0.84333333,0.88721805,0.78666667,0.83392226,0.74762142,0.53000000,0.53488372,0.46000000,0.49462366
30,0.53558081,0.72000000,0.93421053,0.47333333,0.62831858,0.77651584,0.52000000,0.54545455,0.24000000,0.33333333
31,0.51154011,0.75666667,0.68421053,0.95333333,0.79665738,0.77616990,0.49000000,0.49295775,0.70000000,0.57851240
32,0.52265954,0.74666667,0.66818182,0.98000000,0.79459459,0.79503810,0.52000000,0.51315789,0.78000000,0.61904762
33,0.55036837,0.67666667,0.93442623,0.38000000,0.54028436,0.85424572,0.53000000,0.58823529,0.20000000,0.29850746
34,0.50626659,0.77000000,0.68663594,0.99333333,0.81198910,0.81444728,0.54000000,0.52631579,0.80000000,0.63492063
35,0.45844886,0.86333333,0.90370370,0.81333333,0.85614035,0.76339763,0.53000000,0.53488372,0.46000000,0.49462366
36,0.46018419,0.85666667,0.89629630,0.80666667,0.84912281,0.77582479,0.56000000,0.57894737,0.44000000,0.50000000
37,0.45171547,0.86333333,0.92248062,0.79333333,0.85304659,0.76465040,0.55000000,0.56097561,0.46000000,0.50549451
38,0.51373821,0.71000000,0.98461538,0.42666667,0.59534884,0.88863188,0.54000000,0.61111111,0.22000000,0.32352941
39,0.53987330,0.68000000,1.00000000,0.36000000,0.52941176,0.91760212,0.54000000,0.64285714,0.18000000,0.28125000
40,0.43445355,0.82333333,0.74871795,0.97333333,0.84637681,0.83575058,0.48000000,0.48437500,0.62000000,0.54385965
41,0.53647846,0.67666667,0.98181818,0.36000000,0.52682927,0.94218200,0.54000000,0.64285714,0.18000000,0.28125000
