epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68948978,0.56000000,0.54591837,0.71333333,0.61849711,0.69543654,0.49000000,0.49230769,0.64000000,0.55652174
2,0.69111872,0.50666667,0.50335570,1.00000000,0.66964286,0.70199233,0.52000000,0.51020408,1.00000000,0.67567568
3,0.68622476,0.54000000,0.53409091,0.62666667,0.57668712,0.69004452,0.55000000,0.53846154,0.70000000,0.60869565
4,0.68438226,0.52000000,0.87500000,0.04666667,0.08860759,0.69796741,0.52000000,0.66666667,0.08000000,0.14285714
5,0.67975402,0.56666667,0.53816794,0.94000000,0.68446602,0.69524336,0.51000000,0.50574713,0.88000000,0.64233577
6,0.68404037,0.51666667,0.50847458,1.00000000,0.67415730,0.70183706,0.51000000,0.50515464,0.98000000,0.66666667
7,0.67859006,0.56000000,0.53846154,0.84000000,0.65625000,0.69794148,0.49000000,0.49350649,0.76000000,0.59842520
8,0.67681825,0.65000000,0.76470588,0.43333333,0.55319149,0.69677448,0.49000000,0.48780488,0.40000000,0.43956044
9,0.68995428,0.51333333,0.50675676,1.00000000,0.67264574,0.71398407,0.49000000,0.49484536,0.96000000,0.65306122
10,0.67405146,0.60333333,0.55984556,0.96666667,0.70904645,0.70252448,0.49000000,0.49425287,0.86000000,0.62773723
11,0.69666260,0.50333333,1.00000000,0.00666667,0.01324503,0.74282771,0.48000000,0.25000000,0.02000000,0.03703704
12,0.67109299,0.57000000,0.95652174,0.14666667,0.25433526,0.71840012,0.48000000,0.41666667,0.10000000,0.16129032
13,0.64715660,0.65666667,0.65161290,0.67333333,0.66229508,0.72016323,0.42000000,0.42307692,0.44000000,0.43137255
14,0.64662606,0.63666667,0.59192825,0.88000000,0.70777480,0.72815990,0.46000000,0.47435897,0.74000000,0.57812500
15,0.67667329,0.54333333,0.68571429,0.16000000,0.25945946,0.73867935,0.45000000,0.36842105,0.14000000,0.20289855
16,0.63165969,0.66333333,0.76923077,0.46666667,0.58091286,0.71852559,0.44000000,0.40000000,0.24000000,0.30000000
17,0.62961781,0.72333333,0.72789116,0.71333333,0.72053872,0.69594043,0.54000000,0.54000000,0.54000000,0.54000000
18,0.69302499,0.55333333,0.52816901,1.00000000,0.69124424,0.79501051,0.48000000,0.48936170,0.92000000,0.63888889
19,0.60970688,0.70000000,0.70833333,0.68000000,0.69387755,0.71632475,0.49000000,0.48936170,0.46000000,0.47422680
20,0.63384634,0.63333333,0.57751938,0.99333333,0.73039216,0.72980422,0.52000000,0.51136364,0.90000000,0.65217391
21,0.60448396,0.69666667,0.63348416,0.93333333,0.75471698,0.73251617,0.52000000,0.51282051,0.80000000,0.62500000
22,0.57399362,0.76000000,0.79545455,0.70000000,0.74468085,0.75743592,0.45000000,0.44897959,0.44000000,0.44444444
23,0.64183897,0.59333333,0.93750000,0.20000000,0.32967033,0.81219792,0.51000000,0.55555556,0.10000000,0.16949153
24,0.55848861,0.79666667,0.76969697,0.84666667,0.80634921,0.73973602,0.49000000,0.49180328,0.60000000,0.54054054
25,0.53996277,0.76333333,0.81600000,0.68000000,0.74181818,0.75307548,0.52000000,0.52941176,0.36000000,0.42857143
26,0.60467941,0.65333333,1.00000000,0.30666667,0.46938776,0.87517637,0.53000000,0.60000000,0.18000000,0.27692308
27,0.74719745,0.60000000,0.55555556,1.00000000,0.71428571,0.98767102,0.51000000,0.50574713,0.88000000,0.64233577
28,0.63976210,0.67000000,0.61643836,0.90000000,0.73170732,0.70319539,0.50000000,0.50000000,0.72000000,0.59016393
29,0.57431155,0.71000000,0.64651163,0.92666667,0.76164384,0.73994994,0.48000000,0.48648649,0.72000000,0.58064516
30,0.64727271,0.62666667,0.57307692,0.99333333,0.72682927,0.93060893,0.51000000,0.50537634,0.94000000,0.65734266
31,0.52714962,0.78666667,0.78289474,0.79333333,0.78807947,0.77391517,0.47000000,0.47169811,0.50000000,0.48543689
32,0.55425417,0.70333333,0.63090129,0.98000000,0.76762402,0.87910247,0.53000000,0.51807229,0.86000000,0.64661654
33,0.48157808,0.77000000,0.69950739,0.94666667,0.80453258,0.84605908,0.49000000,0.49315068,0.72000000,0.58536585
34,0.54678100,0.70333333,0.91780822,0.44666667,0.60089686,0.84750724,0.50000000,0.50000000,0.16000000,0.24242424
35,0.56631982,0.74333333,0.69312169,0.87333333,0.77286136,0.76629436,0.46000000,0.47058824,0.64000000,0.54237288
36,0.47573248,0.78000000,0.77631579,0.78666667,0.78145695,0.76513416,0.53000000,0.53191489,0.50000000,0.51546392
37,0.43514350,0.82000000,0.74489796,0.97333333,0.84393064,0.84196883,0.47000000,0.47945205,0.70000000,0.56910569
38,0.45629466,0.83666667,0.84353741,0.82666667,0.83501684,0.83887482,0.50000000,0.50000000,0.54000000,0.51923077
