epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69806623,0.51666667,0.64705882,0.07333333,0.13173653,0.72055203,0.48000000,0.40000000,0.08000000,0.13333333
2,0.68139207,0.57000000,0.59292035,0.44666667,0.50950570,0.71176392,0.45000000,0.44186047,0.38000000,0.40860215
3,0.68455404,0.54333333,0.52346570,0.96666667,0.67915691,0.72296810,0.45000000,0.47126437,0.82000000,0.59854015
4,0.67536724,0.58333333,0.69841270,0.29333333,0.41314554,0.71600330,0.49000000,0.48275862,0.28000000,0.35443038
5,0.66951329,0.57666667,0.54618474,0.90666667,0.68170426,0.71848136,0.46000000,0.47500000,0.76000000,0.58461538
6,0.67782879,0.54666667,0.85000000,0.11333333,0.20000000,0.72235990,0.47000000,0.33333333,0.06000000,0.10169492
7,0.66103750,0.62333333,0.57805907,0.91333333,0.70801034,0.71829665,0.49000000,0.49382716,0.80000000,0.61068702
8,0.65646553,0.65666667,0.77011494,0.44666667,0.56540084,0.71700650,0.48000000,0.46875000,0.30000000,0.36585366
9,0.64758998,0.69000000,0.67272727,0.74000000,0.70476190,0.71581817,0.43000000,0.43396226,0.46000000,0.44660194
10,0.64602596,0.68333333,0.78947368,0.50000000,0.61224490,0.72044218,0.45000000,0.42857143,0.30000000,0.35294118
11,0.63790995,0.71666667,0.66169154,0.88666667,0.75783476,0.71985549,0.43000000,0.44615385,0.58000000,0.50434783
12,0.63430005,0.65666667,0.60444444,0.90666667,0.72533333,0.72830212,0.50000000,0.50000000,0.78000000,0.60937500
13,0.62301421,0.70666667,0.69620253,0.73333333,0.71428571,0.72554624,0.41000000,0.41818182,0.46000000,0.43809524
14,0.62130702,0.74000000,0.75714286,0.70666667,0.73103448,0.72451162,0.42000000,0.41666667,0.40000000,0.40816327
15,0.61480105,0.71333333,0.75806452,0.62666667,0.68613139,0.72601515,0.48000000,0.47727273,0.42000000,0.44680851
16,0.66193867,0.54000000,0.52097902,0.99333333,0.68348624,0.76894957,0.49000000,0.49473684,0.94000000,0.64827586
17,0.61469090,0.63666667,0.58436214,0.94666667,0.72264631,0.75162107,0.48000000,0.48780488,0.80000000,0.60606061
18,0.59159636,0.74666667,0.72560976,0.79333333,0.75796178,0.73106736,0.45000000,0.45762712,0.54000000,0.49541284
19,0.58718485,0.76333333,0.72316384,0.85333333,0.78287462,0.73122102,0.47000000,0.47540984,0.58000000,0.52252252
20,0.57911330,0.76000000,0.71195652,0.87333333,0.78443114,0.73735154,0.48000000,0.48437500,0.62000000,0.54385965
21,0.56806695,0.74666667,0.72560976,0.79333333,0.75796178,0.74669129,0.43000000,0.43859649,0.50000000,0.46728972
22,0.56026381,0.76666667,0.71276596,0.89333333,0.79289941,0.74953687,0.47000000,0.47692308,0.62000000,0.53913043
23,0.55342132,0.78666667,0.78289474,0.79333333,0.78807947,0.75144148,0.47000000,0.47169811,0.50000000,0.48543689
24,0.56862307,0.70666667,0.63478261,0.97333333,0.76842105,0.77788937,0.50000000,0.50000000,0.80000000,0.61538462
25,0.57282543,0.68000000,0.61157025,0.98666667,0.75510204,0.79164732,0.50000000,0.50000000,0.82000000,0.62121212
26,0.62778258,0.60333333,1.00000000,0.20666667,0.34254144,0.81648469,0.51000000,0.55555556,0.10000000,0.16949153
27,0.52560812,0.79333333,0.73404255,0.92000000,0.81656805,0.76533931,0.48000000,0.48484848,0.64000000,0.55172414
28,0.52430737,0.81666667,0.89915966,0.71333333,0.79553903,0.75700134,0.48000000,0.47368421,0.36000000,0.40909091
29,0.52845341,0.76000000,0.89000000,0.59333333,0.71200000,0.77885079,0.51000000,0.51515152,0.34000000,0.40963855
30,0.49763367,0.83666667,0.80606061,0.88666667,0.84444444,0.76359493,0.48000000,0.48148148,0.52000000,0.50000000
