epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.70130980,0.46666667,0.45833333,0.36666667,0.40740741,0.70961046,0.49000000,0.48780488,0.40000000,0.43956044
2,0.69127011,0.52000000,0.51293103,0.79333333,0.62303665,0.70472699,0.53000000,0.52054795,0.76000000,0.61788618
3,0.68527335,0.55333333,0.53883495,0.74000000,0.62359551,0.70466697,0.48000000,0.48484848,0.64000000,0.55172414
4,0.68131113,0.57000000,0.54468085,0.85333333,0.66493506,0.70885444,0.49000000,0.49275362,0.68000000,0.57142857
5,0.68354899,0.55333333,0.52836879,0.99333333,0.68981481,0.71933204,0.48000000,0.48863636,0.86000000,0.62318841
6,0.67078501,0.63000000,0.64028777,0.59333333,0.61591696,0.71059066,0.47000000,0.46341463,0.38000000,0.41758242
7,0.66691262,0.63333333,0.60638298,0.76000000,0.67455621,0.71404648,0.48000000,0.48333333,0.58000000,0.52727273
8,0.66269970,0.65000000,0.64516129,0.66666667,0.65573770,0.71577644,0.46000000,0.45652174,0.42000000,0.43750000
9,0.65971053,0.60666667,0.69047619,0.38666667,0.49572650,0.71691322,0.45000000,0.42857143,0.30000000,0.35294118
10,0.65372550,0.65333333,0.61979167,0.79333333,0.69590643,0.72272491,0.50000000,0.50000000,0.60000000,0.54545455
11,0.65267414,0.64666667,0.60000000,0.88000000,0.71351351,0.72891116,0.47000000,0.47826087,0.66000000,0.55462185
12,0.72376609,0.50000000,0.00000000,0.00000000,0.00000000,0.78085828,0.50000000,0.00000000,0.00000000,0.00000000
13,0.68682444,0.51333333,1.00000000,0.02666667,0.05194805,0.75882936,0.46000000,0.00000000,0.00000000,0.00000000
14,0.64019626,0.67333333,0.62380952,0.87333333,0.72777778,0.73140198,0.49000000,0.49180328,0.60000000,0.54054054
15,0.63061732,0.73333333,0.69444444,0.83333333,0.75757576,0.73175454,0.49000000,0.49056604,0.52000000,0.50485437
16,0.63492268,0.64000000,0.58606557,0.95333333,0.72588832,0.73282731,0.49000000,0.49350649,0.76000000,0.59842520
17,0.61841393,0.75333333,0.78358209,0.70000000,0.73943662,0.72801775,0.51000000,0.51219512,0.42000000,0.46153846
18,0.63281161,0.64000000,0.58467742,0.96666667,0.72864322,0.74948865,0.50000000,0.50000000,0.78000000,0.60937500
19,0.64255583,0.61666667,0.56653992,0.99333333,0.72154964,0.76859725,0.51000000,0.50602410,0.84000000,0.63157895
20,0.64483041,0.56333333,1.00000000,0.12666667,0.22485207,0.76308912,0.46000000,0.33333333,0.08000000,0.12903226
21,0.62697339,0.63333333,0.57812500,0.98666667,0.72906404,0.76249069,0.52000000,0.51250000,0.82000000,0.63076923
22,0.71612161,0.50666667,1.00000000,0.01333333,0.02631579,0.83859134,0.50000000,0.00000000,0.00000000,0.00000000
23,0.60484123,0.65000000,0.92452830,0.32666667,0.48275862,0.75796402,0.46000000,0.40000000,0.16000000,0.22857143
24,0.64776939,0.60000000,0.55597015,0.99333333,0.71291866,0.80531418,0.45000000,0.47191011,0.84000000,0.60431655
25,0.60747260,0.63666667,1.00000000,0.27333333,0.42931937,0.77708328,0.45000000,0.33333333,0.10000000,0.15384615
26,0.59943682,0.63333333,0.95454545,0.28000000,0.43298969,0.78085375,0.43000000,0.31578947,0.12000000,0.17391304
27,0.57966858,0.71000000,0.63876652,0.96666667,0.76923077,0.77272612,0.51000000,0.50666667,0.76000000,0.60800000
28,0.54864538,0.82333333,0.81699346,0.83333333,0.82508251,0.75767589,0.55000000,0.55555556,0.50000000,0.52631579
29,0.54482621,0.82000000,0.82000000,0.82000000,0.82000000,0.76079881,0.55000000,0.55319149,0.52000000,0.53608247
30,0.53910971,0.82666667,0.86567164,0.77333333,0.81690141,0.77008986,0.49000000,0.48648649,0.36000000,0.41379310
31,0.56025195,0.75333333,0.67924528,0.96000000,0.79558011,0.77961135,0.50000000,0.50000000,0.70000000,0.58333333
32,0.59055042,0.62333333,1.00000000,0.24666667,0.39572193,0.80893707,0.48000000,0.42857143,0.12000000,0.18750000
33,0.52518064,0.80666667,0.73958333,0.94666667,0.83040936,0.78919411,0.52000000,0.51562500,0.66000000,0.57894737
34,0.52326721,0.83000000,0.87786260,0.76666667,0.81850534,0.76314318,0.51000000,0.51162791,0.44000000,0.47311828
35,0.53266180,0.76333333,0.68899522,0.96000000,0.80222841,0.80466795,0.52000000,0.51470588,0.70000000,0.59322034
36,0.69750905,0.55666667,0.53003534,1.00000000,0.69284065,0.93314439,0.46000000,0.47826087,0.88000000,0.61971831
37,0.61285669,0.58000000,1.00000000,0.16000000,0.27586207,0.86885339,0.48000000,0.40000000,0.08000000,0.13333333
38,0.50455701,0.79666667,0.92380952,0.64666667,0.76078431,0.78494269,0.49000000,0.48484848,0.32000000,0.38554217
39,0.57916069,0.62000000,1.00000000,0.24000000,0.38709677,0.86143404,0.46000000,0.35714286,0.10000000,0.15625000
40,0.49028859,0.80333333,0.74331551,0.92666667,0.82492582,0.81940109,0.56000000,0.55000000,0.66000000,0.60000000
41,0.57149953,0.68333333,0.61224490,1.00000000,0.75949367,0.88276219,0.47000000,0.48148148,0.78000000,0.59541985
42,0.58140481,0.67000000,0.60240964,1.00000000,0.75187970,0.90665728,0.51000000,0.50602410,0.84000000,0.63157895
43,0.48229864,0.81666667,0.91304348,0.70000000,0.79245283,0.80140424,0.50000000,0.50000000,0.32000000,0.39024390
44,0.53661346,0.66666667,0.98076923,0.34000000,0.50495050,0.86761779,0.48000000,0.43750000,0.14000000,0.21212121
45,0.50500774,0.73666667,0.65638767,0.99333333,0.79045093,0.85393983,0.52000000,0.51351351,0.76000000,0.61290323
46,0.61517274,0.60000000,1.00000000,0.20000000,0.33333333,0.95550019,0.47000000,0.33333333,0.06000000,0.10169492
47,0.65630662,0.56000000,1.00000000,0.12000000,0.21428571,0.98728776,0.50000000,0.50000000,0.04000000,0.07407407
48,0.55097908,0.66333333,1.00000000,0.32666667,0.49246231,0.87814605,0.47000000,0.38461538,0.10000000,0.15873016
49,0.55469429,0.69000000,0.61728395,1.00000000,0.76335878,0.92785245,0.50000000,0.50000000,0.80000000,0.61538462
50,0.41827065,0.88333333,0.87581699,0.89333333,0.88448845,0.82565057,0.51000000,0.51063830,0.48000000,0.49484536
51,0.41422415,0.88000000,0.83928571,0.94000000,0.88679245,0.85470140,0.52000000,0.51923077,0.54000000,0.52941176
52,0.81434232,0.52000000,1.00000000,0.04000000,0.07692308,1.19220650,0.51000000,1.00000000,0.02000000,0.03921569
53,0.63803822,0.63333333,0.57692308,1.00000000,0.73170732,0.99987048,0.47000000,0.48351648,0.88000000,0.62411348
54,0.43331686,0.85000000,0.94117647,0.74666667,0.83271375,0.85637999,0.44000000,0.40625000,0.26000000,0.31707317
55,0.84755635,0.54000000,0.52083333,1.00000000,0.68493151,1.16804767,0.49000000,0.49473684,0.94000000,0.64827586
