epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68949574,0.49333333,0.49019608,0.33333333,0.39682540,0.69243467,0.54000000,0.55263158,0.42000000,0.47727273
2,0.68939584,0.52000000,0.51041667,0.98000000,0.67123288,0.69332719,0.49000000,0.49473684,0.94000000,0.64827586
3,0.68642032,0.55000000,0.53112033,0.85333333,0.65473146,0.68846816,0.55000000,0.53164557,0.84000000,0.65116279
4,0.68342775,0.56333333,0.53667954,0.92666667,0.67970660,0.69317138,0.54000000,0.52325581,0.90000000,0.66176471
5,0.67139560,0.59666667,0.57435897,0.74666667,0.64927536,0.68877244,0.57000000,0.55223881,0.74000000,0.63247863
6,0.68237174,0.50666667,0.57142857,0.05333333,0.09756098,0.70741928,0.52000000,0.66666667,0.08000000,0.14285714
7,0.67340505,0.53666667,0.61702128,0.19333333,0.29441624,0.70755261,0.49000000,0.47619048,0.20000000,0.28169014
8,0.66179579,0.67000000,0.66037736,0.70000000,0.67961165,0.69127142,0.51000000,0.50877193,0.58000000,0.54205607
9,0.67118847,0.60333333,0.55805243,0.99333333,0.71462830,0.70394939,0.49000000,0.49438202,0.88000000,0.63309353
10,0.65360689,0.60333333,0.66315789,0.42000000,0.51428571,0.70699620,0.48000000,0.47058824,0.32000000,0.38095238
11,0.71030694,0.52333333,1.00000000,0.04666667,0.08917197,0.77071697,0.49000000,0.40000000,0.04000000,0.07272727
12,0.63460511,0.63000000,0.67256637,0.50666667,0.57794677,0.70872140,0.49000000,0.48648649,0.36000000,0.41379310
13,0.65029621,0.57333333,0.70370370,0.25333333,0.37254902,0.71680647,0.53000000,0.56521739,0.26000000,0.35616438
14,0.64247441,0.56333333,0.67924528,0.24000000,0.35467980,0.72451019,0.53000000,0.57142857,0.24000000,0.33802817
15,0.63019520,0.66000000,0.60000000,0.96000000,0.73846154,0.70863587,0.56000000,0.53947368,0.82000000,0.65079365
16,0.62158042,0.62666667,0.66101695,0.52000000,0.58208955,0.73218048,0.44000000,0.43478261,0.40000000,0.41666667
17,0.63931596,0.62666667,0.57364341,0.98666667,0.72549020,0.71710479,0.50000000,0.50000000,0.86000000,0.63235294
18,0.61457378,0.69333333,0.69078947,0.70000000,0.69536424,0.72394073,0.50000000,0.50000000,0.54000000,0.51923077
19,0.65680867,0.59333333,0.55185185,0.99333333,0.70952381,0.76514691,0.48000000,0.48888889,0.88000000,0.62857143
20,0.58289993,0.73333333,0.69021739,0.84666667,0.76047904,0.71932107,0.51000000,0.50877193,0.58000000,0.54205607
21,0.61471099,0.65666667,0.59437751,0.98666667,0.74185464,0.75182396,0.54000000,0.52380952,0.88000000,0.65671642
22,0.60746431,0.62666667,0.73170732,0.40000000,0.51724138,0.77299815,0.50000000,0.50000000,0.36000000,0.41860465
23,0.73124206,0.55333333,0.52816901,1.00000000,0.69124424,0.86643291,0.48000000,0.48913043,0.90000000,0.63380282
24,0.57386112,0.70333333,0.63926941,0.93333333,0.75880759,0.73453003,0.52000000,0.51388889,0.74000000,0.60655738
25,0.82720298,0.51666667,1.00000000,0.03333333,0.06451613,1.01346886,0.53000000,1.00000000,0.06000000,0.11320755
26,0.55505818,0.71333333,0.84782609,0.52000000,0.64462810,0.76485521,0.49000000,0.48148148,0.26000000,0.33766234
27,0.58275533,0.69666667,0.87341772,0.46000000,0.60262009,0.81444830,0.52000000,0.54545455,0.24000000,0.33333333
28,0.56171221,0.71666667,0.63829787,1.00000000,0.77922078,0.76221871,0.55000000,0.53333333,0.80000000,0.64000000
29,0.61824471,0.65000000,0.59183673,0.96666667,0.73417722,0.88960195,0.53000000,0.51851852,0.84000000,0.64122137
30,0.48947257,0.82000000,0.82432432,0.81333333,0.81879195,0.77944130,0.52000000,0.52000000,0.52000000,0.52000000
31,0.57845157,0.63666667,0.91836735,0.30000000,0.45226131,0.80138713,0.53000000,0.63636364,0.14000000,0.22950820
32,0.56972587,0.68333333,0.61506276,0.98000000,0.75578406,0.76054817,0.54000000,0.52439024,0.86000000,0.65151515
33,0.52032399,0.71333333,0.92105263,0.46666667,0.61946903,0.86013103,0.52000000,0.54166667,0.26000000,0.35135135
34,0.48664868,0.80000000,0.78481013,0.82666667,0.80519481,0.81106156,0.53000000,0.52459016,0.64000000,0.57657658
35,0.53304869,0.81333333,0.76111111,0.91333333,0.83030303,0.74783248,0.47000000,0.47368421,0.54000000,0.50467290
36,0.48722672,0.80000000,0.72727273,0.96000000,0.82758621,0.80856335,0.53000000,0.52307692,0.68000000,0.59130435
37,0.82674968,0.54333333,1.00000000,0.08666667,0.15950920,1.23291373,0.53000000,0.80000000,0.08000000,0.14545455
