epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68524790,0.57666667,0.57718121,0.57333333,0.57525084,0.69597226,0.48000000,0.47916667,0.46000000,0.46938776
2,0.73447311,0.50333333,0.50167224,1.00000000,0.66815145,0.75287747,0.50000000,0.50000000,1.00000000,0.66666667
3,0.67894447,0.58333333,0.55230126,0.88000000,0.67866324,0.69479913,0.53000000,0.51807229,0.86000000,0.64661654
4,0.68069416,0.54666667,0.52482270,0.98666667,0.68518519,0.70217437,0.48000000,0.48958333,0.94000000,0.64383562
5,0.66988343,0.62000000,0.57692308,0.90000000,0.70312500,0.70039165,0.51000000,0.50617284,0.82000000,0.62595420
6,0.66441303,0.64666667,0.60476190,0.84666667,0.70555556,0.69845891,0.55000000,0.53521127,0.76000000,0.62809917
7,0.67416883,0.54666667,0.52482270,0.98666667,0.68518519,0.70750660,0.49000000,0.49473684,0.94000000,0.64827586
8,0.66640586,0.58666667,0.54887218,0.97333333,0.70192308,0.70886350,0.50000000,0.50000000,0.92000000,0.64788732
9,0.67434531,0.56666667,0.53623188,0.98666667,0.69483568,0.71582526,0.48000000,0.48936170,0.92000000,0.63888889
10,0.67919815,0.51000000,1.00000000,0.02000000,0.03921569,0.73238003,0.52000000,1.00000000,0.04000000,0.07692308
11,0.63947713,0.65333333,0.64743590,0.67333333,0.66013072,0.70930791,0.46000000,0.46774194,0.58000000,0.51785714
12,0.63406461,0.72000000,0.67187500,0.86000000,0.75438596,0.70582241,0.53000000,0.52238806,0.70000000,0.59829060
13,0.67633343,0.54333333,1.00000000,0.08666667,0.15950920,0.75479352,0.46000000,0.00000000,0.00000000,0.00000000
14,0.66739368,0.54666667,0.52464789,0.99333333,0.68663594,0.73848110,0.50000000,0.50000000,0.94000000,0.65277778
15,0.64635491,0.57000000,0.92000000,0.15333333,0.26285714,0.73917496,0.49000000,0.45454545,0.10000000,0.16393443
16,0.62219381,0.76000000,0.76712329,0.74666667,0.75675676,0.70473599,0.54000000,0.54000000,0.54000000,0.54000000
17,0.59582388,0.76333333,0.71823204,0.86666667,0.78549849,0.71832871,0.51000000,0.50819672,0.62000000,0.55855856
18,0.62633049,0.61666667,0.78688525,0.32000000,0.45497630,0.77032125,0.54000000,0.60000000,0.24000000,0.34285714
19,0.60567254,0.67666667,0.61373391,0.95333333,0.74673629,0.73391050,0.51000000,0.50632911,0.80000000,0.62015504
20,0.60486799,0.64666667,0.92307692,0.32000000,0.47524752,0.75131619,0.53000000,0.57142857,0.24000000,0.33802817
21,0.72104311,0.52000000,0.87500000,0.04666667,0.08860759,0.83388746,0.50000000,0.50000000,0.04000000,0.07407407
22,0.58324820,0.70333333,0.64593301,0.90000000,0.75208914,0.78208280,0.49000000,0.49295775,0.70000000,0.57851240
23,0.63637441,0.61000000,0.56273764,0.98666667,0.71670702,0.75551754,0.54000000,0.52272727,0.92000000,0.66666667
24,0.60074759,0.69333333,0.69863014,0.68000000,0.68918919,0.70863521,0.59000000,0.58823529,0.60000000,0.59405941
25,0.54966623,0.74000000,0.74324324,0.73333333,0.73825503,0.81124502,0.48000000,0.48387097,0.60000000,0.53571429
26,0.57596684,0.62666667,0.89583333,0.28666667,0.43434343,0.81124938,0.49000000,0.46153846,0.12000000,0.19047619
27,0.55194175,0.74333333,0.84112150,0.60000000,0.70038911,0.75412995,0.49000000,0.48571429,0.34000000,0.40000000
28,0.52258813,0.77333333,0.84745763,0.66666667,0.74626866,0.79273331,0.49000000,0.48837209,0.42000000,0.45161290
29,0.57615411,0.67666667,0.60905350,0.98666667,0.75318066,0.86754006,0.50000000,0.50000000,0.84000000,0.62686567
30,0.52532554,0.78000000,0.73333333,0.88000000,0.80000000,0.76332271,0.50000000,0.50000000,0.58000000,0.53703704
31,0.49220115,0.80666667,0.86507937,0.72666667,0.78985507,0.80654740,0.51000000,0.51162791,0.44000000,0.47311828
32,0.70011944,0.62000000,0.57142857,0.96000000,0.71641791,0.81822693,0.56000000,0.53658537,0.88000000,0.66666667
33,0.53669733,0.68333333,0.89855072,0.41333333,0.56621005,0.90349168,0.48000000,0.45000000,0.18000000,0.25714286
34,0.57965696,0.67666667,0.60728745,1.00000000,0.75566751,0.86251938,0.52000000,0.51136364,0.90000000,0.65217391
35,0.52201140,0.71666667,0.64069264,0.98666667,0.77690289,0.86917478,0.56000000,0.53947368,0.82000000,0.65079365
36,0.46366659,0.83000000,0.93043478,0.71333333,0.80754717,0.84592044,0.49000000,0.48387097,0.30000000,0.37037037
37,0.62545735,0.62666667,0.91304348,0.28000000,0.42857143,0.88085097,0.53000000,0.58823529,0.20000000,0.29850746
38,0.66638583,0.58333333,0.93103448,0.18000000,0.30167598,1.09614229,0.52000000,0.66666667,0.08000000,0.14285714
39,0.39894605,0.86333333,0.84276730,0.89333333,0.86731392,0.86078095,0.50000000,0.50000000,0.48000000,0.48979592
40,0.55887491,0.73666667,0.66210046,0.96666667,0.78590786,0.73728943,0.58000000,0.55405405,0.82000000,0.66129032
41,0.40570596,0.81666667,0.74869110,0.95333333,0.83870968,0.94354010,0.52000000,0.51562500,0.66000000,0.57894737
42,0.90580744,0.51333333,1.00000000,0.02666667,0.05194805,1.33057642,0.52000000,1.00000000,0.04000000,0.07692308
