epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69113266,0.50666667,0.52500000,0.14000000,0.22105263,0.69293457,0.50000000,0.50000000,0.14000000,0.21875000
2,0.68397427,0.56333333,0.53974895,0.86000000,0.66323907,0.69926125,0.50000000,0.50000000,0.76000000,0.60317460
3,0.68196410,0.53000000,0.62857143,0.14666667,0.23783784,0.69694597,0.48000000,0.40000000,0.08000000,0.13333333
4,0.68956840,0.56000000,0.53358209,0.95333333,0.68421053,0.71112043,0.52000000,0.51136364,0.90000000,0.65217391
5,0.68443221,0.51666667,0.77777778,0.04666667,0.08805031,0.70526838,0.49000000,0.00000000,0.00000000,0.00000000
6,0.67085737,0.56000000,0.76470588,0.17333333,0.28260870,0.70834869,0.43000000,0.23076923,0.06000000,0.09523810
7,0.66402161,0.66000000,0.63793103,0.74000000,0.68518519,0.69022614,0.62000000,0.60714286,0.68000000,0.64150943
8,0.66394204,0.68000000,0.65000000,0.78000000,0.70909091,0.69646925,0.48000000,0.48000000,0.48000000,0.48000000
9,0.65537292,0.58666667,0.75000000,0.26000000,0.38613861,0.70531607,0.44000000,0.28571429,0.08000000,0.12500000
10,0.68868524,0.51666667,1.00000000,0.03333333,0.06451613,0.69652873,0.51000000,0.66666667,0.04000000,0.07547170
11,0.66533661,0.72000000,0.74264706,0.67333333,0.70629371,0.68967253,0.57000000,0.58139535,0.50000000,0.53763441
12,0.66222757,0.65000000,0.59414226,0.94666667,0.73007712,0.71100342,0.49000000,0.49382716,0.80000000,0.61068702
13,0.64328206,0.65333333,0.59829060,0.93333333,0.72916667,0.71208966,0.51000000,0.50684932,0.74000000,0.60162602
14,0.64397871,0.60666667,0.66000000,0.44000000,0.52800000,0.73290533,0.53000000,0.53488372,0.46000000,0.49462366
15,0.65776402,0.64333333,0.58565737,0.98000000,0.73316708,0.69553417,0.60000000,0.56410256,0.88000000,0.68750000
16,0.62054783,0.73666667,0.69189189,0.85333333,0.76417910,0.69299793,0.57000000,0.55932203,0.66000000,0.60550459
17,0.62213206,0.65000000,0.86885246,0.35333333,0.50236967,0.70289755,0.52000000,0.55555556,0.20000000,0.29411765
18,0.62551993,0.64333333,0.58498024,0.98666667,0.73449132,0.72479284,0.51000000,0.50602410,0.84000000,0.63157895
19,0.65220869,0.54666667,1.00000000,0.09333333,0.17073171,0.77268523,0.49000000,0.33333333,0.02000000,0.03773585
20,0.61711365,0.68666667,0.62500000,0.93333333,0.74866310,0.72122633,0.58000000,0.55555556,0.80000000,0.65573770
21,0.58154458,0.74333333,0.75524476,0.72000000,0.73720137,0.72361761,0.59000000,0.60000000,0.54000000,0.56842105
22,0.55869550,0.79333333,0.74719101,0.88666667,0.81097561,0.69905204,0.61000000,0.60784314,0.62000000,0.61386139
23,0.54216826,0.76000000,0.74074074,0.80000000,0.76923077,0.75426006,0.54000000,0.54000000,0.54000000,0.54000000
24,0.64571410,0.59333333,0.55185185,0.99333333,0.70952381,0.73528999,0.53000000,0.51648352,0.94000000,0.66666667
25,0.91454268,0.51000000,0.50505051,1.00000000,0.67114094,1.07757998,0.49000000,0.49494949,0.98000000,0.65771812
26,0.67570275,0.58666667,0.54850746,0.98000000,0.70334928,0.81716734,0.54000000,0.52272727,0.92000000,0.66666667
27,0.49217439,0.81000000,0.81208054,0.80666667,0.80936455,0.75795871,0.56000000,0.56250000,0.54000000,0.55102041
28,0.52509642,0.78333333,0.78523490,0.78000000,0.78260870,0.71480185,0.57000000,0.57142857,0.56000000,0.56565657
29,0.55390853,0.74000000,0.66666667,0.96000000,0.78688525,0.71302956,0.61000000,0.58461538,0.76000000,0.66086957
30,0.47167447,0.84666667,0.82500000,0.88000000,0.85161290,0.76728714,0.61000000,0.61224490,0.60000000,0.60606061
31,0.51394439,0.79000000,0.76047904,0.84666667,0.80126183,0.71948147,0.55000000,0.54716981,0.58000000,0.56310680
32,0.47728741,0.82000000,0.82432432,0.81333333,0.81879195,0.76924896,0.59000000,0.60000000,0.54000000,0.56842105
33,0.53066707,0.76333333,0.70050761,0.92000000,0.79538905,0.78201705,0.59000000,0.57142857,0.72000000,0.63716814
34,0.49217677,0.77333333,0.70707071,0.93333333,0.80459770,0.81270909,0.56000000,0.55000000,0.66000000,0.60000000
35,0.50793713,0.76000000,0.92391304,0.56666667,0.70247934,0.77617538,0.54000000,0.57142857,0.32000000,0.41025641
36,0.56559253,0.69000000,0.86075949,0.45333333,0.59388646,0.90878975,0.57000000,0.62962963,0.34000000,0.44155844
37,0.43775442,0.82666667,0.75789474,0.96000000,0.84705882,0.78045529,0.58000000,0.56666667,0.68000000,0.61818182
38,0.54048067,0.74000000,0.66071429,0.98666667,0.79144385,0.89288449,0.56000000,0.53947368,0.82000000,0.65079365
39,0.39896777,0.85000000,0.88321168,0.80666667,0.84320557,0.91660368,0.56000000,0.57894737,0.44000000,0.50000000
40,0.37908134,0.86000000,0.83333333,0.90000000,0.86538462,0.84372926,0.58000000,0.57692308,0.60000000,0.58823529
41,0.46345907,0.80333333,0.78980892,0.82666667,0.80781759,0.80111080,0.56000000,0.56250000,0.54000000,0.55102041
42,0.38721919,0.90000000,0.88961039,0.91333333,0.90131579,0.82888061,0.54000000,0.54347826,0.50000000,0.52083333
