epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69233781,0.50000000,0.50000000,0.02000000,0.03846154,0.69497758,0.50000000,0.50000000,0.08000000,0.13793103
2,0.68447161,0.55666667,0.56390977,0.50000000,0.53003534,0.68948579,0.56000000,0.57500000,0.46000000,0.51111111
3,0.68284756,0.57666667,0.55021834,0.84000000,0.66490765,0.69254208,0.47000000,0.47945205,0.70000000,0.56910569
4,0.68044430,0.60000000,0.65957447,0.41333333,0.50819672,0.69107354,0.58000000,0.61764706,0.42000000,0.50000000
5,0.67835510,0.57666667,0.55251142,0.80666667,0.65582656,0.69032520,0.51000000,0.50704225,0.72000000,0.59504132
6,0.67537963,0.66000000,0.68750000,0.58666667,0.63309353,0.69063443,0.58000000,0.60000000,0.48000000,0.53333333
7,0.67325950,0.60666667,0.57920792,0.78000000,0.66477273,0.69268584,0.49000000,0.49275362,0.68000000,0.57142857
8,0.67030609,0.64333333,0.69369369,0.51333333,0.59003831,0.69242096,0.59000000,0.62162162,0.46000000,0.52873563
9,0.67073780,0.61000000,0.86666667,0.26000000,0.40000000,0.69370502,0.56000000,0.63636364,0.28000000,0.38888889
10,0.67333770,0.55666667,0.53136531,0.96000000,0.68408551,0.69927603,0.52000000,0.51111111,0.92000000,0.65714286
11,0.66295850,0.67000000,0.71428571,0.56666667,0.63197026,0.69451475,0.49000000,0.48979592,0.48000000,0.48484848
12,0.65977949,0.68000000,0.66463415,0.72666667,0.69426752,0.69350660,0.50000000,0.50000000,0.58000000,0.53703704
13,0.65577340,0.68666667,0.68666667,0.68666667,0.68666667,0.69461060,0.50000000,0.50000000,0.56000000,0.52830189
14,0.66685891,0.56333333,0.95238095,0.13333333,0.23391813,0.70475310,0.56000000,0.80000000,0.16000000,0.26666667
15,0.65697867,0.59000000,0.55212355,0.95333333,0.69926650,0.70310634,0.50000000,0.50000000,0.86000000,0.63235294
16,0.64961869,0.65666667,0.88524590,0.36000000,0.51184834,0.70102912,0.53000000,0.55555556,0.30000000,0.38961039
17,0.64278579,0.68333333,0.63285024,0.87333333,0.73389356,0.69844222,0.53000000,0.52054795,0.76000000,0.61788618
18,0.63603437,0.66666667,0.76595745,0.48000000,0.59016393,0.70012730,0.51000000,0.51428571,0.36000000,0.42352941
19,0.63633293,0.67333333,0.86111111,0.41333333,0.55855856,0.70684558,0.49000000,0.48387097,0.30000000,0.37037037
20,0.63449800,0.65666667,0.86153846,0.37333333,0.52093023,0.70892775,0.50000000,0.50000000,0.26000000,0.34210526
21,0.62738210,0.66666667,0.61261261,0.90666667,0.73118280,0.71407330,0.50000000,0.50000000,0.80000000,0.61538462
22,0.61561859,0.70000000,0.80000000,0.53333333,0.64000000,0.70644695,0.50000000,0.50000000,0.40000000,0.44444444
23,0.61887574,0.67666667,0.87323944,0.41333333,0.56108597,0.71394181,0.51000000,0.51612903,0.32000000,0.39506173
24,0.60086000,0.74333333,0.71597633,0.80666667,0.75862069,0.71521455,0.56000000,0.54687500,0.70000000,0.61403509
25,0.59406281,0.74333333,0.76258993,0.70666667,0.73356401,0.70867550,0.56000000,0.55555556,0.60000000,0.57692308
26,0.62338388,0.63333333,0.57812500,0.98666667,0.72906404,0.74099439,0.51000000,0.50588235,0.86000000,0.63703704
27,0.59323156,0.70666667,0.64903846,0.90000000,0.75418994,0.72297645,0.53000000,0.52054795,0.76000000,0.61788618
28,0.57206786,0.78000000,0.76582278,0.80666667,0.78571429,0.71309608,0.58000000,0.56250000,0.72000000,0.63157895
29,0.57124424,0.74000000,0.78125000,0.66666667,0.71942446,0.72316015,0.52000000,0.52000000,0.52000000,0.52000000
30,0.57880431,0.71333333,0.64545455,0.94666667,0.76756757,0.74189466,0.52000000,0.51282051,0.80000000,0.62500000
31,0.62304789,0.60000000,0.87500000,0.23333333,0.36842105,0.77370650,0.52000000,0.55555556,0.20000000,0.29411765
32,0.63345784,0.58666667,1.00000000,0.17333333,0.29545455,0.78728104,0.54000000,0.75000000,0.12000000,0.20689655
33,0.60639185,0.62333333,0.95121951,0.26000000,0.40837696,0.78806698,0.55000000,0.66666667,0.20000000,0.30769231
34,0.55656719,0.71000000,0.63876652,0.96666667,0.76923077,0.77849424,0.52000000,0.51282051,0.80000000,0.62500000
35,0.51807898,0.78666667,0.86440678,0.68000000,0.76119403,0.73849434,0.56000000,0.57142857,0.48000000,0.52173913
36,0.57404995,0.67000000,0.93220339,0.36666667,0.52631579,0.78183746,0.53000000,0.57142857,0.24000000,0.33802817
37,0.50178558,0.84666667,0.82911392,0.87333333,0.85064935,0.73509204,0.57000000,0.55555556,0.70000000,0.61946903
38,0.55536062,0.68666667,0.96666667,0.38666667,0.55238095,0.79512948,0.52000000,0.54545455,0.24000000,0.33333333
39,0.49602196,0.81666667,0.90598291,0.70666667,0.79400749,0.73111343,0.54000000,0.55000000,0.44000000,0.48888889
40,0.56253600,0.67000000,0.96363636,0.35333333,0.51707317,0.82429612,0.55000000,0.64705882,0.22000000,0.32835821
41,0.49102661,0.80333333,0.89565217,0.68666667,0.77735849,0.75579816,0.56000000,0.57500000,0.46000000,0.51111111
42,0.52408552,0.72333333,0.98550725,0.45333333,0.62100457,0.80025375,0.50000000,0.50000000,0.22000000,0.30555556
43,0.46445894,0.82333333,0.93693694,0.69333333,0.79693487,0.79243374,0.54000000,0.55882353,0.38000000,0.45238095
