epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.71867728,0.50000000,0.00000000,0.00000000,0.00000000,0.73248476,0.50000000,0.00000000,0.00000000,0.00000000
2,0.68326557,0.53000000,0.73684211,0.09333333,0.16568047,0.70003808,0.47000000,0.28571429,0.04000000,0.07017544
3,0.68430603,0.55666667,0.53113553,0.96666667,0.68557920,0.70347887,0.50000000,0.50000000,0.90000000,0.64285714
4,0.67700094,0.61000000,0.59649123,0.68000000,0.63551402,0.69544441,0.50000000,0.50000000,0.58000000,0.53703704
5,0.66911417,0.61000000,0.59322034,0.70000000,0.64220183,0.71023268,0.40000000,0.41666667,0.50000000,0.45454545
6,0.66520333,0.63333333,0.64492754,0.59333333,0.61805556,0.70238405,0.49000000,0.48979592,0.48000000,0.48484848
7,0.67038792,0.59333333,0.55343511,0.96666667,0.70388350,0.71445984,0.51000000,0.50574713,0.88000000,0.64233577
8,0.65074402,0.66000000,0.64814815,0.70000000,0.67307692,0.69697869,0.52000000,0.51562500,0.66000000,0.57894737
9,0.65580732,0.66333333,0.66442953,0.66000000,0.66220736,0.68918663,0.55000000,0.55102041,0.54000000,0.54545455
10,0.65921628,0.55000000,0.75862069,0.14666667,0.24581006,0.72130173,0.53000000,0.61538462,0.16000000,0.25396825
11,0.69091403,0.53000000,0.80000000,0.08000000,0.14545455,0.78524607,0.48000000,0.37500000,0.06000000,0.10344828
12,0.68785900,0.52666667,0.90000000,0.06000000,0.11250000,0.77453798,0.52000000,0.66666667,0.08000000,0.14285714
13,0.62219697,0.67666667,0.74311927,0.54000000,0.62548263,0.70390719,0.50000000,0.50000000,0.36000000,0.41860465
14,0.63741875,0.59666667,0.70422535,0.33333333,0.45248869,0.71274096,0.52000000,0.53571429,0.30000000,0.38461538
15,0.63393754,0.68000000,0.65000000,0.78000000,0.70909091,0.68760771,0.60000000,0.58064516,0.72000000,0.64285714
16,0.60032600,0.74000000,0.74000000,0.74000000,0.74000000,0.70889318,0.61000000,0.61702128,0.58000000,0.59793814
17,0.89914215,0.50000000,0.50000000,1.00000000,0.66666667,0.89731336,0.51000000,0.50505051,1.00000000,0.67114094
18,0.65889204,0.58666667,0.84210526,0.21333333,0.34042553,0.68928564,0.57000000,0.88888889,0.16000000,0.27118644
19,0.61858112,0.66666667,0.75510204,0.49333333,0.59677419,0.69621336,0.57000000,0.61290323,0.38000000,0.46913580
20,0.62070996,0.67666667,0.63451777,0.83333333,0.72046110,0.69968152,0.57000000,0.55384615,0.72000000,0.62608696
21,0.60286528,0.66000000,0.82432432,0.40666667,0.54464286,0.74298835,0.59000000,0.68000000,0.34000000,0.45333333
22,0.59578705,0.73000000,0.72549020,0.74000000,0.73267327,0.72453398,0.52000000,0.52272727,0.46000000,0.48936170
23,0.57555991,0.68333333,0.66272189,0.74666667,0.70219436,0.80165118,0.43000000,0.43859649,0.50000000,0.46728972
24,0.57069623,0.75000000,0.76595745,0.72000000,0.74226804,0.70926255,0.56000000,0.56000000,0.56000000,0.56000000
25,0.68242043,0.53000000,1.00000000,0.06000000,0.11320755,0.86712921,0.54000000,1.00000000,0.08000000,0.14814815
26,0.70299929,0.54000000,1.00000000,0.08000000,0.14814815,0.91350389,0.54000000,1.00000000,0.08000000,0.14814815
27,0.49928197,0.78000000,0.74137931,0.86000000,0.79629630,0.73487180,0.63000000,0.61403509,0.70000000,0.65420561
28,0.64922142,0.57666667,0.87096774,0.18000000,0.29834254,0.79388368,0.54000000,0.66666667,0.16000000,0.25806452
29,0.68093735,0.51000000,1.00000000,0.02000000,0.03921569,0.83909929,0.50000000,0.00000000,0.00000000,0.00000000
30,0.57459301,0.70666667,0.63596491,0.96666667,0.76719577,0.75049365,0.55000000,0.53424658,0.78000000,0.63414634
31,0.52253354,0.75666667,0.70370370,0.88666667,0.78466077,0.72974157,0.55000000,0.54098361,0.66000000,0.59459459
32,0.52690327,0.80666667,0.79113924,0.83333333,0.81168831,0.70373976,0.56000000,0.55769231,0.58000000,0.56862745
33,0.50925118,0.79333333,0.86666667,0.69333333,0.77037037,0.72339582,0.56000000,0.56818182,0.50000000,0.53191489
34,0.85451108,0.52666667,1.00000000,0.05333333,0.10126582,1.18940043,0.56000000,1.00000000,0.12000000,0.21428571
35,0.54605436,0.70666667,0.90789474,0.46000000,0.61061947,0.78905141,0.56000000,0.63636364,0.28000000,0.38888889
36,0.52307928,0.72666667,0.86956522,0.53333333,0.66115702,0.88456315,0.50000000,0.50000000,0.30000000,0.37500000
37,0.47437572,0.77666667,0.71727749,0.91333333,0.80351906,0.77923876,0.54000000,0.53333333,0.64000000,0.58181818
38,0.71691775,0.55000000,0.94117647,0.10666667,0.19161677,1.08716965,0.57000000,0.88888889,0.16000000,0.27118644
39,0.63910502,0.63666667,0.57915058,1.00000000,0.73349633,0.95120287,0.50000000,0.50000000,0.92000000,0.64788732
40,0.53987783,0.72333333,0.71069182,0.75333333,0.73139159,0.76853526,0.56000000,0.55555556,0.60000000,0.57692308
41,0.42357820,0.81333333,0.92727273,0.68000000,0.78461538,0.86012053,0.52000000,0.53125000,0.34000000,0.41463415
42,0.66588336,0.64000000,0.83870968,0.34666667,0.49056604,1.03333426,0.51000000,0.52941176,0.18000000,0.26865672
