epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69962686,0.50333333,1.00000000,0.00666667,0.01324503,0.70837486,0.47000000,0.00000000,0.00000000,0.00000000
2,0.68676615,0.57000000,0.57446809,0.54000000,0.55670103,0.69475460,0.50000000,0.50000000,0.50000000,0.50000000
3,0.68480927,0.58000000,0.55309735,0.83333333,0.66489362,0.69891834,0.52000000,0.51282051,0.80000000,0.62500000
4,0.68354249,0.58000000,0.58695652,0.54000000,0.56250000,0.70033783,0.43000000,0.43137255,0.44000000,0.43564356
5,0.68537927,0.57666667,0.55251142,0.80666667,0.65582656,0.69533247,0.50000000,0.50000000,0.74000000,0.59677419
6,0.67747301,0.62666667,0.61445783,0.68000000,0.64556962,0.69738418,0.45000000,0.45762712,0.54000000,0.49541284
7,0.67280728,0.64333333,0.59907834,0.86666667,0.70844687,0.69566125,0.46000000,0.47058824,0.64000000,0.54237288
8,0.67813241,0.54333333,0.70967742,0.14666667,0.24309392,0.70895034,0.45000000,0.22222222,0.04000000,0.06779661
9,0.67410296,0.52333333,0.81818182,0.06000000,0.11180124,0.70326626,0.47000000,0.00000000,0.00000000,0.00000000
10,0.67171836,0.59000000,0.55094340,0.97333333,0.70361446,0.70974851,0.49000000,0.49450549,0.90000000,0.63829787
11,0.66445458,0.58666667,0.73214286,0.27333333,0.39805825,0.71921581,0.43000000,0.29411765,0.10000000,0.14925373
12,0.65819991,0.64666667,0.60476190,0.84666667,0.70555556,0.70126152,0.47000000,0.47692308,0.62000000,0.53913043
13,0.64879048,0.65000000,0.59911894,0.90666667,0.72148541,0.70417953,0.46000000,0.47142857,0.66000000,0.55000000
14,0.71105152,0.50666667,1.00000000,0.01333333,0.02631579,0.77257842,0.50000000,0.00000000,0.00000000,0.00000000
15,0.70376486,0.53666667,0.51903114,1.00000000,0.68337130,0.76212692,0.49000000,0.49484536,0.96000000,0.65306122
16,0.63471389,0.61333333,0.85416667,0.27333333,0.41414141,0.72948265,0.49000000,0.47058824,0.16000000,0.23880597
17,0.63572389,0.61666667,0.56756757,0.98000000,0.71882641,0.72548473,0.51000000,0.50549451,0.92000000,0.65248227
18,0.60644108,0.71666667,0.81553398,0.56000000,0.66403162,0.73230070,0.47000000,0.46341463,0.38000000,0.41758242
19,0.62009209,0.62333333,0.79365079,0.33333333,0.46948357,0.75581801,0.51000000,0.52000000,0.26000000,0.34666667
20,0.59438407,0.76000000,0.80952381,0.68000000,0.73913043,0.71765685,0.52000000,0.52631579,0.40000000,0.45454545
21,0.59549481,0.68333333,0.61802575,0.96000000,0.75195822,0.76443005,0.50000000,0.50000000,0.82000000,0.62121212
22,0.62613696,0.62666667,0.83928571,0.31333333,0.45631068,0.79808080,0.46000000,0.37500000,0.12000000,0.18181818
23,0.57252282,0.72333333,0.88505747,0.51333333,0.64978903,0.75396681,0.50000000,0.50000000,0.28000000,0.35897436
24,0.56865615,0.72666667,0.84693878,0.55333333,0.66935484,0.76576620,0.47000000,0.45714286,0.32000000,0.37647059
25,0.57224292,0.72000000,0.65000000,0.95333333,0.77297297,0.75325918,0.53000000,0.52000000,0.78000000,0.62400000
26,0.51602358,0.81666667,0.75956284,0.92666667,0.83483483,0.74665642,0.52000000,0.51666667,0.62000000,0.56363636
27,0.61328524,0.64666667,0.58730159,0.98666667,0.73631841,0.81283873,0.49000000,0.49438202,0.88000000,0.63309353
28,0.56065524,0.68666667,0.62068966,0.96000000,0.75392670,0.78727531,0.52000000,0.51282051,0.80000000,0.62500000
29,0.53682351,0.79666667,0.82962963,0.74666667,0.78596491,0.76188046,0.49000000,0.48837209,0.42000000,0.45161290
30,0.51958156,0.71333333,0.63913043,0.98000000,0.77368421,0.81689262,0.51000000,0.50617284,0.82000000,0.62595420
31,0.67275959,0.53666667,1.00000000,0.07333333,0.13664596,0.93409622,0.51000000,0.60000000,0.06000000,0.10909091
32,0.70393503,0.58333333,1.00000000,0.16666667,0.28571429,0.96860653,0.52000000,0.60000000,0.12000000,0.20000000
33,0.54936159,0.68666667,0.93750000,0.40000000,0.56074766,0.88567358,0.50000000,0.50000000,0.14000000,0.21875000
34,0.52619958,0.76000000,0.68224299,0.97333333,0.80219780,0.81110090,0.50000000,0.50000000,0.74000000,0.59677419
35,0.45673001,0.87333333,0.87333333,0.87333333,0.87333333,0.77004147,0.49000000,0.48888889,0.44000000,0.46315789
36,0.65124017,0.62333333,0.91111111,0.27333333,0.42051282,0.97792846,0.50000000,0.50000000,0.08000000,0.13793103
37,0.43188092,0.79666667,0.72361809,0.96000000,0.82521490,0.82014084,0.51000000,0.50746269,0.68000000,0.58119658
38,0.41639131,0.85666667,0.93495935,0.76666667,0.84249084,0.83397353,0.49000000,0.48648649,0.36000000,0.41379310
39,0.41974705,0.84333333,0.95575221,0.72000000,0.82129278,0.84419799,0.50000000,0.50000000,0.36000000,0.41860465
40,0.43202955,0.82000000,0.95283019,0.67333333,0.78906250,0.90643036,0.52000000,0.53846154,0.28000000,0.36842105
41,0.43014547,0.85000000,0.88888889,0.80000000,0.84210526,0.85231614,0.52000000,0.52500000,0.42000000,0.46666667
42,0.60032535,0.63333333,0.97619048,0.27333333,0.42708333,1.00837815,0.53000000,0.61538462,0.16000000,0.25396825
43,0.46718863,0.75666667,1.00000000,0.51333333,0.67841410,1.00955713,0.50000000,0.50000000,0.14000000,0.21875000
44,0.38941500,0.84000000,0.95535714,0.71333333,0.81679389,0.93599927,0.49000000,0.48275862,0.28000000,0.35443038
45,0.46164513,0.79000000,0.88495575,0.66666667,0.76045627,0.89841902,0.45000000,0.43243243,0.32000000,0.36781609
46,0.38156515,0.84666667,0.90625000,0.77333333,0.83453237,0.89601207,0.50000000,0.50000000,0.44000000,0.46808511
47,0.47094482,0.76666667,0.68691589,0.98000000,0.80769231,0.80560672,0.51000000,0.50649351,0.78000000,0.61417323
48,1.32558227,0.51333333,1.00000000,0.02666667,0.05194805,1.57434583,0.50000000,0.00000000,0.00000000,0.00000000
