epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69032425,0.55000000,0.53138075,0.84666667,0.65295630,0.70869070,0.48000000,0.48750000,0.78000000,0.60000000
2,0.69243532,0.51666667,0.57575758,0.12666667,0.20765027,0.71317106,0.46000000,0.40000000,0.16000000,0.22857143
3,0.68531853,0.54333333,0.56565657,0.37333333,0.44979920,0.70919234,0.42000000,0.39473684,0.30000000,0.34090909
4,0.68310505,0.55666667,0.57264957,0.44666667,0.50187266,0.70860332,0.39000000,0.37209302,0.32000000,0.34408602
5,0.68112659,0.61666667,0.58454106,0.80666667,0.67787115,0.70796895,0.50000000,0.50000000,0.70000000,0.58333333
6,0.68020654,0.57000000,0.54430380,0.86000000,0.66666667,0.71140403,0.53000000,0.51851852,0.84000000,0.64122137
7,0.67675740,0.62666667,0.60000000,0.76000000,0.67058824,0.71091813,0.45000000,0.46031746,0.58000000,0.51327434
8,0.67645663,0.58333333,0.62626263,0.41333333,0.49799197,0.71168411,0.44000000,0.41666667,0.30000000,0.34883721
9,0.67528188,0.58000000,0.65789474,0.33333333,0.44247788,0.71353066,0.42000000,0.36666667,0.22000000,0.27500000
10,0.67143381,0.62000000,0.65789474,0.50000000,0.56818182,0.71185195,0.43000000,0.41463415,0.34000000,0.37362637
11,0.66847724,0.63000000,0.64233577,0.58666667,0.61324042,0.71184444,0.45000000,0.45098039,0.46000000,0.45544554
12,0.66605389,0.64333333,0.62146893,0.73333333,0.67278287,0.71165609,0.45000000,0.45762712,0.54000000,0.49541284
13,0.66440004,0.63666667,0.60846561,0.76666667,0.67846608,0.71337837,0.43000000,0.44927536,0.62000000,0.52100840
14,0.66239977,0.62666667,0.65573770,0.53333333,0.58823529,0.71370029,0.40000000,0.39130435,0.36000000,0.37500000
15,0.67257112,0.55000000,0.82608696,0.12666667,0.21965318,0.72321594,0.45000000,0.33333333,0.10000000,0.15384615
16,0.68003666,0.52000000,0.80000000,0.05333333,0.10000000,0.73273647,0.48000000,0.37500000,0.06000000,0.10344828
17,0.65837288,0.64666667,0.72916667,0.46666667,0.56910569,0.71596879,0.42000000,0.38888889,0.28000000,0.32558140
18,0.65408272,0.65000000,0.64331210,0.67333333,0.65798046,0.71684569,0.44000000,0.44827586,0.52000000,0.48148148
19,0.66505980,0.57333333,0.84375000,0.18000000,0.29670330,0.72634900,0.44000000,0.31250000,0.10000000,0.15151515
20,0.65034914,0.66333333,0.65408805,0.69333333,0.67313916,0.71641791,0.45000000,0.45614035,0.52000000,0.48598131
21,0.65489322,0.61333333,0.56910569,0.93333333,0.70707071,0.72344273,0.50000000,0.50000000,0.82000000,0.62121212
22,0.64751220,0.67000000,0.63350785,0.80666667,0.70967742,0.71743912,0.45000000,0.46268657,0.62000000,0.52991453
23,0.64626920,0.65666667,0.61137441,0.86000000,0.71468144,0.72094923,0.48000000,0.48611111,0.70000000,0.57377049
24,0.64435810,0.66666667,0.61904762,0.86666667,0.72222222,0.72217757,0.49000000,0.49315068,0.72000000,0.58536585
25,0.64695680,0.65333333,0.81944444,0.39333333,0.53153153,0.72457588,0.42000000,0.35714286,0.20000000,0.25641026
26,0.64626068,0.63333333,0.82258065,0.34000000,0.48113208,0.72775251,0.44000000,0.37500000,0.18000000,0.24324324
27,0.64004701,0.64666667,0.59649123,0.90666667,0.71957672,0.72779554,0.48000000,0.48717949,0.76000000,0.59375000
28,0.63362396,0.69666667,0.68789809,0.72000000,0.70358306,0.72240627,0.45000000,0.45454545,0.50000000,0.47619048
29,0.63572919,0.69666667,0.81720430,0.50666667,0.62551440,0.72845155,0.42000000,0.37500000,0.24000000,0.29268293
30,0.63062906,0.70666667,0.68023256,0.78000000,0.72670807,0.72543371,0.44000000,0.44827586,0.52000000,0.48148148
31,0.62760490,0.72666667,0.76984127,0.64666667,0.70289855,0.72692478,0.43000000,0.42553191,0.40000000,0.41237113
32,0.63382262,0.62333333,0.57613169,0.93333333,0.71246819,0.73713982,0.49000000,0.49382716,0.80000000,0.61068702
33,0.65578890,0.55666667,0.90476190,0.12666667,0.22222222,0.75301260,0.49000000,0.44444444,0.08000000,0.13559322
