epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69224226,0.52333333,0.58139535,0.16666667,0.25906736,0.70252651,0.44000000,0.36363636,0.16000000,0.22222222
2,0.68710250,0.55333333,0.62903226,0.26000000,0.36792453,0.70116621,0.41000000,0.33333333,0.18000000,0.23376623
3,0.68640655,0.53666667,0.66666667,0.14666667,0.24043716,0.70391166,0.49000000,0.46153846,0.12000000,0.19047619
4,0.68364990,0.54333333,0.69696970,0.15333333,0.25136612,0.70411664,0.46000000,0.35714286,0.10000000,0.15625000
5,0.67870700,0.58000000,0.70000000,0.28000000,0.40000000,0.70189238,0.43000000,0.37037037,0.20000000,0.25974026
6,0.67654145,0.59333333,0.55511811,0.94000000,0.69801980,0.70207900,0.46000000,0.47777778,0.86000000,0.61428571
7,0.67213690,0.64333333,0.59907834,0.86666667,0.70844687,0.70272666,0.43000000,0.45569620,0.72000000,0.55813953
8,0.66926795,0.65333333,0.63068182,0.74000000,0.68098160,0.69893295,0.44000000,0.45588235,0.62000000,0.52542373
9,0.66596425,0.63666667,0.67826087,0.52000000,0.58867925,0.70161176,0.50000000,0.50000000,0.48000000,0.48979592
10,0.66291767,0.65000000,0.66666667,0.60000000,0.63157895,0.70096219,0.46000000,0.46296296,0.50000000,0.48076923
11,0.67261505,0.55333333,0.52857143,0.98666667,0.68837209,0.71132195,0.50000000,0.50000000,0.94000000,0.65277778
12,0.65585697,0.68666667,0.66666667,0.74666667,0.70440252,0.70123494,0.48000000,0.48387097,0.60000000,0.53571429
13,0.65326828,0.67000000,0.63492063,0.80000000,0.70796460,0.70255804,0.47000000,0.47826087,0.66000000,0.55462185
14,0.65505385,0.63666667,0.58649789,0.92666667,0.71834625,0.70612580,0.47000000,0.48148148,0.78000000,0.59541985
15,0.64675856,0.70333333,0.69934641,0.71333333,0.70627063,0.70004177,0.47000000,0.47368421,0.54000000,0.50467290
16,0.64183718,0.70000000,0.67647059,0.76666667,0.71875000,0.69958478,0.50000000,0.50000000,0.64000000,0.56140351
17,0.64237076,0.66666667,0.81250000,0.43333333,0.56521739,0.70271379,0.52000000,0.53125000,0.34000000,0.41463415
18,0.64351130,0.64000000,0.92000000,0.30666667,0.46000000,0.70815891,0.51000000,0.52173913,0.24000000,0.32876712
19,0.67265922,0.54333333,0.52264808,1.00000000,0.68649886,0.73727673,0.49000000,0.49473684,0.94000000,0.64827586
20,0.65244770,0.58333333,1.00000000,0.16666667,0.28571429,0.72373337,0.51000000,0.53846154,0.14000000,0.22222222
21,0.62614179,0.68666667,0.85897436,0.44666667,0.58771930,0.71244401,0.52000000,0.53125000,0.34000000,0.41463415
22,0.62671590,0.65666667,0.94339623,0.33333333,0.49261084,0.71530819,0.51000000,0.52173913,0.24000000,0.32876712
23,0.62308872,0.66666667,0.96296296,0.34666667,0.50980392,0.71292156,0.48000000,0.46153846,0.24000000,0.31578947
24,0.61246264,0.69666667,0.92753623,0.42666667,0.58447489,0.71292359,0.52000000,0.53333333,0.32000000,0.40000000
25,0.60470086,0.71000000,0.64253394,0.94666667,0.76549865,0.71614563,0.49000000,0.49333333,0.74000000,0.59200000
26,0.58993381,0.74333333,0.73856209,0.75333333,0.74587459,0.70903271,0.51000000,0.50877193,0.58000000,0.54205607
27,0.58403468,0.72666667,0.67000000,0.89333333,0.76571429,0.71883678,0.50000000,0.50000000,0.72000000,0.59016393
28,0.58204406,0.71666667,0.65258216,0.92666667,0.76584022,0.72477418,0.50000000,0.50000000,0.76000000,0.60317460
29,0.57003516,0.77333333,0.73563218,0.85333333,0.79012346,0.72396392,0.49000000,0.49206349,0.62000000,0.54867257
30,0.58941871,0.67666667,0.98181818,0.36000000,0.52682927,0.73192471,0.50000000,0.50000000,0.22000000,0.30555556
31,0.55082971,0.80666667,0.80263158,0.81333333,0.80794702,0.72280294,0.50000000,0.50000000,0.58000000,0.53703704
32,0.63073832,0.56333333,1.00000000,0.12666667,0.22485207,0.77145845,0.51000000,0.57142857,0.08000000,0.14035088
33,0.55301684,0.73666667,0.66210046,0.96666667,0.78590786,0.74293303,0.52000000,0.51282051,0.80000000,0.62500000
34,0.58029157,0.65333333,0.97916667,0.31333333,0.47474747,0.76214790,0.50000000,0.50000000,0.22000000,0.30555556
35,0.78810048,0.51000000,1.00000000,0.02000000,0.03921569,0.91276121,0.49000000,0.00000000,0.00000000,0.00000000
