epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69273055,0.48666667,0.43333333,0.08666667,0.14444444,0.70034409,0.47000000,0.38461538,0.10000000,0.15873016
2,0.68734580,0.54000000,0.53157895,0.67333333,0.59411765,0.69644576,0.51000000,0.50943396,0.54000000,0.52427184
3,0.68654227,0.56666667,0.54065041,0.88666667,0.67171717,0.69724226,0.47000000,0.48000000,0.72000000,0.57600000
4,0.68200785,0.58333333,0.55813953,0.80000000,0.65753425,0.69613761,0.52000000,0.51562500,0.66000000,0.57894737
5,0.68185884,0.57000000,0.70588235,0.24000000,0.35820896,0.69860786,0.45000000,0.30769231,0.08000000,0.12698413
6,0.67862976,0.59000000,0.68000000,0.34000000,0.45333333,0.69822007,0.44000000,0.38461538,0.20000000,0.26315789
7,0.67510498,0.60666667,0.59195402,0.68666667,0.63580247,0.69582075,0.50000000,0.50000000,0.54000000,0.51923077
8,0.67350137,0.63000000,0.60209424,0.76666667,0.67448680,0.69553632,0.50000000,0.50000000,0.64000000,0.56140351
9,0.67199320,0.62666667,0.68269231,0.47333333,0.55905512,0.69617349,0.47000000,0.45714286,0.32000000,0.37647059
10,0.66936100,0.62666667,0.65573770,0.53333333,0.58823529,0.69527858,0.48000000,0.47619048,0.40000000,0.43478261
11,0.66851145,0.64333333,0.60093897,0.85333333,0.70523416,0.69503593,0.52000000,0.51470588,0.70000000,0.59322034
12,0.66542411,0.66333333,0.64000000,0.74666667,0.68923077,0.69393063,0.50000000,0.50000000,0.58000000,0.53703704
13,0.66312885,0.67666667,0.65680473,0.74000000,0.69592476,0.69438428,0.52000000,0.51851852,0.56000000,0.53846154
14,0.66145426,0.67333333,0.65662651,0.72666667,0.68987342,0.69448960,0.51000000,0.50943396,0.54000000,0.52427184
15,0.66166472,0.65333333,0.60454545,0.88666667,0.71891892,0.69704086,0.50000000,0.50000000,0.70000000,0.58333333
16,0.66663903,0.58333333,0.54940711,0.92666667,0.68982630,0.70360118,0.53000000,0.51851852,0.84000000,0.64122137
17,0.65480268,0.69000000,0.70212766,0.66000000,0.68041237,0.69638175,0.50000000,0.50000000,0.48000000,0.48979592
18,0.65514070,0.65000000,0.60000000,0.90000000,0.72000000,0.69900948,0.53000000,0.52112676,0.74000000,0.61157025
19,0.65184724,0.66000000,0.60810811,0.90000000,0.72580645,0.69932580,0.52000000,0.51428571,0.72000000,0.60000000
20,0.64665955,0.70666667,0.81000000,0.54000000,0.64800000,0.69988281,0.46000000,0.45000000,0.36000000,0.40000000
21,0.65096450,0.63666667,0.58798283,0.91333333,0.71540470,0.70590591,0.53000000,0.52054795,0.76000000,0.61788618
22,0.63934499,0.73333333,0.73333333,0.73333333,0.73333333,0.69983816,0.49000000,0.48979592,0.48000000,0.48484848
23,0.64082807,0.71666667,0.80952381,0.56666667,0.66666667,0.70420659,0.44000000,0.42105263,0.32000000,0.36363636
24,0.63792360,0.70000000,0.64285714,0.90000000,0.75000000,0.70770538,0.50000000,0.50000000,0.66000000,0.56896552
25,0.65199780,0.54333333,0.78260870,0.12000000,0.20809249,0.71798950,0.49000000,0.44444444,0.08000000,0.13559322
26,0.72183830,0.50000000,0.00000000,0.00000000,0.00000000,0.77187687,0.50000000,0.00000000,0.00000000,0.00000000
27,0.62701595,0.71000000,0.66153846,0.86000000,0.74782609,0.70892715,0.49000000,0.49230769,0.64000000,0.55652174
28,0.63304037,0.64000000,0.85000000,0.34000000,0.48571429,0.71523601,0.49000000,0.47826087,0.22000000,0.30136986
29,0.63283318,0.61000000,0.88372093,0.25333333,0.39378238,0.71768248,0.50000000,0.50000000,0.20000000,0.28571429
30,0.61705077,0.72333333,0.67179487,0.87333333,0.75942029,0.71167904,0.51000000,0.50793651,0.64000000,0.56637168
31,0.62674290,0.65000000,0.59740260,0.92000000,0.72440945,0.72288901,0.51000000,0.50684932,0.74000000,0.60162602
32,0.61357391,0.70333333,0.64454976,0.90666667,0.75346260,0.71718365,0.50000000,0.50000000,0.68000000,0.57627119
33,0.61100227,0.69000000,0.84337349,0.46666667,0.60085837,0.71491200,0.50000000,0.50000000,0.32000000,0.39024390
34,0.60434234,0.71000000,0.65829146,0.87333333,0.75071633,0.72144163,0.50000000,0.50000000,0.66000000,0.56896552
35,0.62007487,0.62000000,0.87500000,0.28000000,0.42424242,0.72916800,0.48000000,0.45000000,0.18000000,0.25714286
36,0.59124976,0.74333333,0.69518717,0.86666667,0.77151335,0.71791810,0.49000000,0.49152542,0.58000000,0.53211009
37,0.58709240,0.75000000,0.69841270,0.88000000,0.77876106,0.72036088,0.50000000,0.50000000,0.60000000,0.54545455
38,0.64672709,0.58333333,0.90322581,0.18666667,0.30939227,0.75085324,0.50000000,0.50000000,0.14000000,0.21875000
