epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.74732190,0.50000000,0.00000000,0.00000000,0.00000000,0.73457909,0.50000000,0.00000000,0.00000000,0.00000000
2,0.68159729,0.53666667,0.55238095,0.38666667,0.45490196,0.69124651,0.54000000,0.55000000,0.44000000,0.48888889
3,0.70138907,0.53666667,0.51903114,1.00000000,0.68337130,0.71138364,0.50000000,0.50000000,0.96000000,0.65753425
4,0.67337000,0.59333333,0.67073171,0.36666667,0.47413793,0.69412810,0.55000000,0.57575758,0.38000000,0.45783133
5,0.69117147,0.52000000,0.51041667,0.98000000,0.67123288,0.72348738,0.53000000,0.51578947,0.98000000,0.67586207
6,0.66062909,0.62000000,0.57692308,0.90000000,0.70312500,0.69854838,0.47000000,0.48000000,0.72000000,0.57600000
7,0.67012322,0.54333333,0.72413793,0.14000000,0.23463687,0.72684771,0.53000000,0.63636364,0.14000000,0.22950820
8,0.68497348,0.57000000,0.53818182,0.98666667,0.69647059,0.75421524,0.49000000,0.49450549,0.90000000,0.63829787
9,0.66671586,0.61000000,0.70370370,0.38000000,0.49350649,0.69329119,0.57000000,0.62962963,0.34000000,0.44155844
10,0.67830759,0.54666667,0.52447552,1.00000000,0.68807339,0.72073960,0.48000000,0.48913043,0.90000000,0.63380282
11,0.64610881,0.61000000,0.86666667,0.26000000,0.40000000,0.70707655,0.55000000,0.69230769,0.18000000,0.28571429
12,0.70249629,0.50666667,0.62500000,0.03333333,0.06329114,0.74810076,0.49000000,0.00000000,0.00000000,0.00000000
13,0.63250965,0.70000000,0.68292683,0.74666667,0.71337580,0.69719237,0.55000000,0.54901961,0.56000000,0.55445545
14,0.61886841,0.70333333,0.75206612,0.60666667,0.67158672,0.72151232,0.53000000,0.53488372,0.46000000,0.49462366
15,0.64299268,0.70000000,0.73076923,0.63333333,0.67857143,0.70591718,0.56000000,0.56818182,0.50000000,0.53191489
16,0.64339948,0.64000000,0.58750000,0.94000000,0.72307692,0.70352262,0.55000000,0.53333333,0.80000000,0.64000000
17,0.60276186,0.70000000,0.65306122,0.85333333,0.73988439,0.71929651,0.53000000,0.52380952,0.66000000,0.58407080
18,0.60816824,0.66333333,0.71304348,0.54666667,0.61886792,0.79502785,0.53000000,0.53488372,0.46000000,0.49462366
19,0.59293002,0.72666667,0.78333333,0.62666667,0.69629630,0.74594992,0.53000000,0.53488372,0.46000000,0.49462366
20,0.58729917,0.70666667,0.64485981,0.92000000,0.75824176,0.72824800,0.54000000,0.52857143,0.74000000,0.61666667
21,0.60719705,0.74333333,0.70165746,0.84666667,0.76737160,0.68910754,0.57000000,0.56363636,0.62000000,0.59047619
22,0.58088458,0.69000000,0.62337662,0.96000000,0.75590551,0.73322368,0.54000000,0.52702703,0.78000000,0.62903226
23,0.52906436,0.79333333,0.75287356,0.87333333,0.80864198,0.74613035,0.52000000,0.52000000,0.52000000,0.52000000
24,0.53872579,0.77666667,0.74556213,0.84000000,0.78996865,0.73631579,0.57000000,0.56603774,0.60000000,0.58252427
25,0.55078638,0.73333333,0.72151899,0.76000000,0.74025974,0.75171018,0.57000000,0.56140351,0.64000000,0.59813084
26,0.56619972,0.71000000,0.63876652,0.96666667,0.76923077,0.74795550,0.56000000,0.54054054,0.80000000,0.64516129
27,0.62497050,0.57666667,0.92592593,0.16666667,0.28248588,0.71886081,0.51000000,1.00000000,0.02000000,0.03921569
28,0.76503283,0.54000000,0.92857143,0.08666667,0.15853659,1.01927304,0.53000000,0.71428571,0.10000000,0.17543860
29,0.61614382,0.68666667,0.70588235,0.64000000,0.67132867,0.71587342,0.45000000,0.44444444,0.40000000,0.42105263
30,0.64121920,0.59333333,0.55185185,0.99333333,0.70952381,0.82059568,0.51000000,0.50561798,0.90000000,0.64748201
31,0.54173940,0.74000000,0.72784810,0.76666667,0.74675325,0.75930548,0.54000000,0.54166667,0.52000000,0.53061224
32,0.76842272,0.54666667,0.52447552,1.00000000,0.68807339,0.91443956,0.48000000,0.48958333,0.94000000,0.64383562
33,0.68157655,0.57666667,0.92592593,0.16666667,0.28248588,0.89261127,0.55000000,0.77777778,0.14000000,0.23728814
34,0.54991752,0.69000000,0.62025316,0.98000000,0.75968992,0.81808746,0.55000000,0.53164557,0.84000000,0.65116279
35,0.52844256,0.74000000,0.66363636,0.97333333,0.78918919,0.79724592,0.55000000,0.53333333,0.80000000,0.64000000
