epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.70704299,0.50000000,0.50000000,1.00000000,0.66666667,0.72434872,0.50000000,0.50000000,1.00000000,0.66666667
2,0.67509454,0.64000000,0.60500000,0.80666667,0.69142857,0.69718260,0.51000000,0.50746269,0.68000000,0.58119658
3,0.69527620,0.50666667,1.00000000,0.01333333,0.02631579,0.71527123,0.50000000,0.00000000,0.00000000,0.00000000
4,0.67810923,0.54333333,0.93333333,0.09333333,0.16969697,0.70406812,0.49000000,0.40000000,0.04000000,0.07272727
5,0.69850147,0.50000000,0.00000000,0.00000000,0.00000000,0.72221249,0.50000000,0.00000000,0.00000000,0.00000000
6,0.67346931,0.54666667,0.52447552,1.00000000,0.68807339,0.71688378,0.50000000,0.50000000,0.98000000,0.66216216
7,0.65945792,0.56666667,0.91666667,0.14666667,0.25287356,0.71109754,0.47000000,0.28571429,0.04000000,0.07017544
8,0.65736490,0.63333333,0.58196721,0.94666667,0.72081218,0.70824718,0.51000000,0.50588235,0.86000000,0.63703704
9,0.82589918,0.50333333,1.00000000,0.00666667,0.01324503,0.87835038,0.49000000,0.00000000,0.00000000,0.00000000
10,0.63879043,0.68666667,0.76923077,0.53333333,0.62992126,0.70262647,0.48000000,0.47222222,0.34000000,0.39534884
11,0.64312667,0.65333333,0.81944444,0.39333333,0.53153153,0.70053035,0.53000000,0.56000000,0.28000000,0.37333333
12,0.72386169,0.50333333,1.00000000,0.00666667,0.01324503,0.78967941,0.50000000,0.00000000,0.00000000,0.00000000
13,0.63195062,0.64666667,0.58593750,1.00000000,0.73891626,0.72250944,0.49000000,0.49438202,0.88000000,0.63309353
14,0.62410003,0.65000000,0.85714286,0.36000000,0.50704225,0.70484418,0.49000000,0.46153846,0.12000000,0.19047619
15,0.62289345,0.61666667,0.97297297,0.24000000,0.38502674,0.74409729,0.55000000,0.77777778,0.14000000,0.23728814
16,0.63560426,0.55666667,0.94736842,0.12000000,0.21301775,0.73261762,0.50000000,0.50000000,0.04000000,0.07407407
17,0.59723365,0.67666667,0.62100457,0.90666667,0.73712737,0.71155381,0.50000000,0.50000000,0.80000000,0.61538462
18,0.56805414,0.74333333,0.68341709,0.90666667,0.77936963,0.73758000,0.47000000,0.47945205,0.70000000,0.56910569
19,0.63970548,0.59666667,0.91428571,0.21333333,0.34594595,0.72643405,0.49000000,0.42857143,0.06000000,0.10526316
20,0.52703393,0.81333333,0.78313253,0.86666667,0.82278481,0.73886365,0.51000000,0.50793651,0.64000000,0.56637168
21,0.53505892,0.77000000,0.72625698,0.86666667,0.79027356,0.73856187,0.52000000,0.51562500,0.66000000,0.57894737
22,0.56632477,0.69666667,0.91549296,0.43333333,0.58823529,0.76504868,0.51000000,0.52380952,0.22000000,0.30985915
23,0.56227177,0.70666667,0.91891892,0.45333333,0.60714286,0.77005887,0.55000000,0.60869565,0.28000000,0.38356164
24,0.52171892,0.79333333,0.78947368,0.80000000,0.79470199,0.78468710,0.43000000,0.43636364,0.48000000,0.45714286
25,0.54411310,0.71000000,0.94366197,0.44666667,0.60633484,0.76041520,0.49000000,0.47058824,0.16000000,0.23880597
26,0.51687169,0.78333333,0.72020725,0.92666667,0.81049563,0.75792909,0.49000000,0.49275362,0.68000000,0.57142857
27,0.61737692,0.64000000,0.93750000,0.30000000,0.45454545,0.87602735,0.48000000,0.41666667,0.10000000,0.16129032
28,0.50849110,0.75000000,0.68472906,0.92666667,0.78753541,0.78692287,0.47000000,0.48000000,0.72000000,0.57600000
29,0.58730102,0.75333333,0.78358209,0.70000000,0.73943662,0.72082794,0.52000000,0.52000000,0.52000000,0.52000000
30,0.51689416,0.84666667,0.81325301,0.90000000,0.85443038,0.73937118,0.48000000,0.48437500,0.62000000,0.54385965
31,0.52693653,0.75666667,0.68599034,0.94666667,0.79551821,0.77642149,0.49000000,0.49350649,0.76000000,0.59842520
32,0.47678322,0.83000000,0.86666667,0.78000000,0.82105263,0.76121360,0.52000000,0.52083333,0.50000000,0.51020408
33,0.48452130,0.75666667,0.92307692,0.56000000,0.69709544,0.87029403,0.50000000,0.50000000,0.28000000,0.35897436
34,0.45451045,0.81000000,0.73604061,0.96666667,0.83573487,0.85296947,0.50000000,0.50000000,0.74000000,0.59677419
35,0.47426540,0.77000000,0.68837209,0.98666667,0.81095890,0.87474513,0.53000000,0.51898734,0.82000000,0.63565891
36,0.48963574,0.78666667,0.83593750,0.71333333,0.76978417,0.83386213,0.46000000,0.45238095,0.38000000,0.41304348
37,0.50229329,0.73333333,0.65486726,0.98666667,0.78723404,0.99875218,0.48000000,0.48837209,0.84000000,0.61764706
38,0.45129585,0.79333333,0.70754717,1.00000000,0.82872928,0.88968313,0.50000000,0.50000000,0.80000000,0.61538462
39,0.49424204,0.76000000,0.68396226,0.96666667,0.80110497,0.94416511,0.47000000,0.47945205,0.70000000,0.56910569
40,0.34357870,0.86333333,0.89781022,0.82000000,0.85714286,0.99838418,0.46000000,0.45000000,0.36000000,0.40000000
41,0.51137727,0.70333333,0.98412698,0.41333333,0.58215962,0.87087423,0.53000000,0.58823529,0.20000000,0.29850746
42,0.40898553,0.81000000,0.73604061,0.96666667,0.83573487,0.94069183,0.47000000,0.47945205,0.70000000,0.56910569
43,0.39992681,0.80000000,0.96875000,0.62000000,0.75609756,1.03169620,0.47000000,0.42857143,0.18000000,0.25352113
44,0.67196959,0.65000000,0.80000000,0.40000000,0.53333333,1.17242479,0.52000000,0.53571429,0.30000000,0.38461538
