epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.70649803,0.49333333,0.49657534,0.96666667,0.65610860,0.71776134,0.49000000,0.49484536,0.96000000,0.65306122
2,0.68796080,0.56000000,0.63235294,0.28666667,0.39449541,0.70531994,0.49000000,0.47826087,0.22000000,0.30136986
3,0.68600285,0.56666667,0.69230769,0.24000000,0.35643564,0.70724308,0.50000000,0.50000000,0.22000000,0.30555556
4,0.68257731,0.56666667,0.72727273,0.21333333,0.32989691,0.70885092,0.49000000,0.47368421,0.18000000,0.26086957
5,0.67574632,0.59000000,0.66265060,0.36666667,0.47210300,0.70650131,0.48000000,0.46666667,0.28000000,0.35000000
6,0.69175577,0.50333333,0.50169492,0.98666667,0.66516854,0.72588700,0.48000000,0.48979592,0.96000000,0.64864865
7,0.66688347,0.62666667,0.65079365,0.54666667,0.59420290,0.70795500,0.43000000,0.42222222,0.38000000,0.40000000
8,0.66989064,0.58666667,0.55000000,0.95333333,0.69756098,0.71535671,0.47000000,0.48235294,0.82000000,0.60740741
9,0.66325903,0.61000000,0.71428571,0.36666667,0.48458150,0.70918095,0.51000000,0.51851852,0.28000000,0.36363636
10,0.65622246,0.65333333,0.61855670,0.80000000,0.69767442,0.70948559,0.50000000,0.50000000,0.62000000,0.55357143
11,0.65244794,0.65666667,0.61691542,0.82666667,0.70655271,0.71020645,0.52000000,0.51515152,0.68000000,0.58620690
12,0.65171856,0.63666667,0.75949367,0.40000000,0.52401747,0.71432328,0.49000000,0.48387097,0.30000000,0.37037037
13,0.64315957,0.69000000,0.65240642,0.81333333,0.72403561,0.71458632,0.45000000,0.46153846,0.60000000,0.52173913
14,0.63884103,0.68333333,0.73913043,0.56666667,0.64150943,0.71886504,0.45000000,0.44444444,0.40000000,0.42105263
15,0.64970154,0.61000000,0.56321839,0.98000000,0.71532847,0.73603088,0.51000000,0.50588235,0.86000000,0.63703704
16,0.63600361,0.63333333,0.79411765,0.36000000,0.49541284,0.72937924,0.53000000,0.55172414,0.32000000,0.40506329
17,0.65095848,0.58333333,0.90322581,0.18666667,0.30939227,0.75134838,0.50000000,0.50000000,0.14000000,0.21875000
18,0.68808460,0.53666667,1.00000000,0.07333333,0.13664596,0.79094511,0.52000000,0.75000000,0.06000000,0.11111111
19,0.62372506,0.66000000,0.60000000,0.96000000,0.73846154,0.74720091,0.50000000,0.50000000,0.82000000,0.62121212
20,0.60223752,0.72666667,0.81481481,0.58666667,0.68217054,0.73504561,0.49000000,0.48780488,0.40000000,0.43956044
21,0.61998403,0.64333333,0.93877551,0.30666667,0.46231156,0.74075150,0.50000000,0.50000000,0.18000000,0.26470588
22,0.66472316,0.56333333,1.00000000,0.12666667,0.22485207,0.79691356,0.52000000,0.66666667,0.08000000,0.14285714
23,0.58689475,0.74333333,0.68717949,0.89333333,0.77681159,0.74119931,0.54000000,0.53125000,0.68000000,0.59649123
24,0.59529799,0.73333333,0.66990291,0.92000000,0.77528090,0.72592378,0.55000000,0.53846154,0.70000000,0.60869565
25,0.57744062,0.71333333,0.84782609,0.52000000,0.64462810,0.74810106,0.49000000,0.48387097,0.30000000,0.37037037
26,0.56200665,0.77666667,0.80740741,0.72666667,0.76491228,0.74308282,0.47000000,0.46511628,0.40000000,0.43010753
27,0.54943991,0.77666667,0.76774194,0.79333333,0.78032787,0.74223661,0.47000000,0.47058824,0.48000000,0.47524752
28,0.55353582,0.73666667,0.67149758,0.92666667,0.77871148,0.75248742,0.54000000,0.53030303,0.70000000,0.60344828
29,0.54109734,0.75666667,0.69346734,0.92000000,0.79083095,0.77017707,0.50000000,0.50000000,0.62000000,0.55357143
30,0.54712909,0.73333333,0.66509434,0.94000000,0.77900552,0.76476127,0.54000000,0.52702703,0.78000000,0.62903226
31,0.51880515,0.79000000,0.82222222,0.74000000,0.77894737,0.77392334,0.45000000,0.44186047,0.38000000,0.40860215
32,0.51866347,0.77000000,0.70984456,0.91333333,0.79883382,0.75178361,0.49000000,0.49152542,0.58000000,0.53211009
33,0.54427701,0.70000000,0.96875000,0.41333333,0.57943925,0.79086864,0.53000000,0.57894737,0.22000000,0.31884058
34,0.52815652,0.72333333,0.65158371,0.96000000,0.77628032,0.78598553,0.52000000,0.51428571,0.72000000,0.60000000
35,0.51658463,0.73666667,0.66210046,0.96666667,0.78590786,0.78961617,0.54000000,0.52702703,0.78000000,0.62903226
36,0.52621543,0.73000000,0.65470852,0.97333333,0.78284182,0.81544918,0.53000000,0.51948052,0.80000000,0.62992126
37,0.51741356,0.73333333,0.96052632,0.48666667,0.64601770,0.81274229,0.52000000,0.54166667,0.26000000,0.35135135
38,0.47481743,0.82333333,0.76216216,0.94000000,0.84179104,0.76140821,0.54000000,0.53448276,0.62000000,0.57407407
39,0.50585461,0.76333333,0.97590361,0.54000000,0.69527897,0.80743027,0.51000000,0.51851852,0.28000000,0.36363636
40,0.44938853,0.86666667,0.84810127,0.89333333,0.87012987,0.76751405,0.50000000,0.50000000,0.50000000,0.50000000
41,0.69495040,0.57000000,0.53763441,1.00000000,0.69930070,0.96752250,0.48000000,0.48913043,0.90000000,0.63380282
