epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.70028114,0.50000000,0.00000000,0.00000000,0.00000000,0.70382071,0.50000000,0.00000000,0.00000000,0.00000000
2,0.68622440,0.53666667,0.66666667,0.14666667,0.24043716,0.69799072,0.45000000,0.35294118,0.12000000,0.17910448
3,0.67814332,0.62333333,0.64800000,0.54000000,0.58909091,0.69757259,0.46000000,0.44736842,0.34000000,0.38636364
4,0.68048584,0.53333333,0.81250000,0.08666667,0.15662651,0.69948292,0.50000000,0.50000000,0.06000000,0.10714286
5,0.66553438,0.64000000,0.58974359,0.92000000,0.71875000,0.69852024,0.49000000,0.49411765,0.84000000,0.62222222
6,0.66312313,0.70666667,0.66315789,0.84000000,0.74117647,0.69604963,0.47000000,0.47619048,0.60000000,0.53097345
7,0.65224242,0.72333333,0.69590643,0.79333333,0.74143302,0.69600755,0.53000000,0.52380952,0.66000000,0.58407080
8,0.69325340,0.52000000,0.51020408,1.00000000,0.67567568,0.72688836,0.48000000,0.48979592,0.96000000,0.64864865
9,0.66844201,0.57666667,0.54212454,0.98666667,0.69976359,0.71064168,0.50000000,0.50000000,0.94000000,0.65277778
10,0.63954812,0.70666667,0.63963964,0.94666667,0.76344086,0.70124978,0.52000000,0.51190476,0.86000000,0.64179104
11,0.63175839,0.73333333,0.70114943,0.81333333,0.75308642,0.70224315,0.49000000,0.49275362,0.68000000,0.57142857
12,0.63574314,0.60666667,0.84782609,0.26000000,0.39795918,0.71844983,0.49000000,0.46666667,0.14000000,0.21538462
13,0.63845366,0.67000000,0.60944206,0.94666667,0.74151436,0.72649390,0.49000000,0.49411765,0.84000000,0.62222222
14,0.63660753,0.59000000,0.80000000,0.24000000,0.36923077,0.72863322,0.54000000,0.61111111,0.22000000,0.32352941
15,0.64358342,0.53666667,0.86666667,0.08666667,0.15757576,0.75189269,0.51000000,0.57142857,0.08000000,0.14035088
16,0.60163873,0.75666667,0.75838926,0.75333333,0.75585284,0.71215749,0.52000000,0.51666667,0.62000000,0.56363636
17,0.59833807,0.73333333,0.66990291,0.92000000,0.77528090,0.72206944,0.49000000,0.49295775,0.70000000,0.57851240
18,0.58449340,0.73666667,0.80341880,0.62666667,0.70411985,0.73472595,0.52000000,0.52777778,0.38000000,0.44186047
19,0.61676711,0.64666667,0.58661417,0.99333333,0.73762376,0.79426450,0.51000000,0.50549451,0.92000000,0.65248227
20,0.56401819,0.73666667,0.79831933,0.63333333,0.70631970,0.73734975,0.52000000,0.52500000,0.42000000,0.46666667
21,0.58669800,0.66000000,0.76666667,0.46000000,0.57500000,0.75793469,0.49000000,0.48387097,0.30000000,0.37037037
22,0.63128734,0.61000000,0.56226415,0.99333333,0.71807229,0.84179240,0.47000000,0.48351648,0.88000000,0.62411348
23,0.52946031,0.77000000,0.77551020,0.76000000,0.76767677,0.73422664,0.51000000,0.50909091,0.56000000,0.53333333
24,0.65305889,0.53000000,0.90909091,0.06666667,0.12422360,0.88425726,0.52000000,0.75000000,0.06000000,0.11111111
25,0.55885583,0.73000000,0.88764045,0.52666667,0.66108787,0.76878577,0.51000000,0.52000000,0.26000000,0.34666667
26,0.48501629,0.83000000,0.80368098,0.87333333,0.83706070,0.80643725,0.44000000,0.44444444,0.48000000,0.46153846
27,0.48132554,0.80666667,0.80263158,0.81333333,0.80794702,0.79673219,0.53000000,0.52727273,0.58000000,0.55238095
28,0.49364600,0.78666667,0.85245902,0.69333333,0.76470588,0.81160653,0.50000000,0.50000000,0.36000000,0.41860465
29,0.46735215,0.80000000,0.83088235,0.75333333,0.79020979,0.83690369,0.49000000,0.48888889,0.44000000,0.46315789
30,0.49937877,0.76333333,0.70050761,0.92000000,0.79538905,0.83991122,0.50000000,0.50000000,0.66000000,0.56896552
31,0.46730694,0.80666667,0.84848485,0.74666667,0.79432624,0.85748386,0.51000000,0.51219512,0.42000000,0.46153846
32,0.40928015,0.81666667,0.86259542,0.75333333,0.80427046,0.89723343,0.52000000,0.52380952,0.44000000,0.47826087
33,0.43203130,0.82333333,0.79041916,0.88000000,0.83280757,0.86291295,0.49000000,0.49090909,0.54000000,0.51428571
34,0.47485435,0.77000000,0.77181208,0.76666667,0.76923077,0.95669287,0.40000000,0.40384615,0.42000000,0.41176471
35,0.59884554,0.66666667,0.77777778,0.46666667,0.58333333,0.76935971,0.58000000,0.64285714,0.36000000,0.46153846
36,0.40871966,0.81666667,0.74358974,0.96666667,0.84057971,0.93880910,0.47000000,0.48000000,0.72000000,0.57600000
37,0.40219039,0.83333333,0.79411765,0.90000000,0.84375000,0.95626450,0.48000000,0.48275862,0.56000000,0.51851852
38,0.38670579,0.88666667,0.86250000,0.92000000,0.89032258,0.83798587,0.57000000,0.57142857,0.56000000,0.56565657
39,0.40057582,0.83666667,0.76439791,0.97333333,0.85630499,0.94926685,0.49000000,0.49180328,0.60000000,0.54054054
40,0.35946605,0.89333333,0.85542169,0.94666667,0.89873418,0.87996489,0.52000000,0.51923077,0.54000000,0.52941176
41,0.65512371,0.63333333,0.80303030,0.35333333,0.49074074,1.27479744,0.46000000,0.40909091,0.18000000,0.25000000
42,0.45207974,0.78000000,0.92000000,0.61333333,0.73600000,1.07311082,0.49000000,0.48275862,0.28000000,0.35443038
43,0.38912037,0.84333333,0.76683938,0.98666667,0.86297376,0.95352459,0.54000000,0.52777778,0.76000000,0.62295082
44,0.43266174,0.79666667,0.79470199,0.80000000,0.79734219,1.08640778,0.43000000,0.43859649,0.50000000,0.46728972
45,0.37685892,0.86000000,0.82142857,0.92000000,0.86792453,0.97271192,0.51000000,0.50793651,0.64000000,0.56637168
46,0.58330494,0.65333333,0.97916667,0.31333333,0.47474747,1.32475400,0.51000000,0.53333333,0.16000000,0.24615385
47,0.28583375,0.89666667,0.85207101,0.96000000,0.90282132,0.98432213,0.50000000,0.50000000,0.60000000,0.54545455
