epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.70121193,0.50333333,0.50167224,1.00000000,0.66815145,0.71671557,0.51000000,0.50505051,1.00000000,0.67114094
2,0.69374251,0.52666667,0.62500000,0.13333333,0.21978022,0.71358854,0.51000000,0.53333333,0.16000000,0.24615385
3,0.68654835,0.54333333,0.52434457,0.93333333,0.67146283,0.69728804,0.48000000,0.48863636,0.86000000,0.62318841
4,0.67428470,0.62666667,0.67272727,0.49333333,0.56923077,0.70621794,0.37000000,0.30303030,0.20000000,0.24096386
5,0.67593253,0.57666667,0.54732510,0.88666667,0.67684478,0.70054048,0.50000000,0.50000000,0.80000000,0.61538462
6,0.67125583,0.53666667,0.66666667,0.14666667,0.24043716,0.70536512,0.50000000,0.50000000,0.16000000,0.24242424
7,0.67701489,0.52333333,0.81818182,0.06000000,0.11180124,0.74027556,0.52000000,0.75000000,0.06000000,0.11111111
8,0.64017975,0.66666667,0.63020833,0.80666667,0.70760234,0.71228564,0.50000000,0.50000000,0.66000000,0.56896552
9,0.64433920,0.63333333,0.58620690,0.90666667,0.71204188,0.70923966,0.49000000,0.49382716,0.80000000,0.61068702
10,0.63278198,0.67333333,0.62264151,0.88000000,0.72928177,0.72409195,0.48000000,0.48571429,0.68000000,0.56666667
11,0.65208304,0.63333333,0.59523810,0.83333333,0.69444444,0.73137826,0.50000000,0.50000000,0.76000000,0.60317460
12,0.69216174,0.55333333,0.52816901,1.00000000,0.69124424,0.80217314,0.46000000,0.47872340,0.90000000,0.62500000
13,0.66314739,0.56000000,0.73684211,0.18666667,0.29787234,0.71986657,0.47000000,0.41176471,0.14000000,0.20895522
14,0.60186613,0.75000000,0.77777778,0.70000000,0.73684211,0.72473818,0.50000000,0.50000000,0.46000000,0.47916667
15,0.61373484,0.70666667,0.65196078,0.88666667,0.75141243,0.72022951,0.45000000,0.46575342,0.68000000,0.55284553
16,0.61783916,0.65333333,0.59829060,0.93333333,0.72916667,0.75278074,0.44000000,0.46250000,0.74000000,0.56923077
17,0.63200641,0.65333333,0.61500000,0.82000000,0.70285714,0.72163451,0.46000000,0.47222222,0.68000000,0.55737705
18,0.64581013,0.65000000,0.66666667,0.60000000,0.63157895,0.72379625,0.43000000,0.43859649,0.50000000,0.46728972
19,0.69236183,0.55333333,0.52816901,1.00000000,0.69124424,0.79473603,0.49000000,0.49484536,0.96000000,0.65306122
20,0.56153816,0.75000000,0.76223776,0.72666667,0.74402730,0.73898882,0.49000000,0.49090909,0.54000000,0.51428571
21,0.65928143,0.60666667,0.56106870,0.98000000,0.71359223,0.84293473,0.51000000,0.50574713,0.88000000,0.64233577
22,0.55255932,0.71000000,0.66321244,0.85333333,0.74635569,0.76715678,0.49000000,0.49275362,0.68000000,0.57142857
23,0.61200136,0.62666667,0.86538462,0.30000000,0.44554455,0.75386137,0.55000000,0.63157895,0.24000000,0.34782609
