epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68734753,0.54666667,0.53070175,0.80666667,0.64021164,0.71265483,0.45000000,0.46835443,0.74000000,0.57364341
2,0.70650077,0.49666667,0.47826087,0.07333333,0.12716763,0.74272156,0.51000000,0.57142857,0.08000000,0.14035088
3,0.67336160,0.57000000,0.55932203,0.66000000,0.60550459,0.70767790,0.47000000,0.47368421,0.54000000,0.50467290
4,0.66949034,0.57000000,0.57046980,0.56666667,0.56856187,0.70857102,0.51000000,0.51020408,0.50000000,0.50505051
5,0.66450572,0.60333333,0.61481481,0.55333333,0.58245614,0.71275353,0.49000000,0.48979592,0.48000000,0.48484848
6,0.66153675,0.59000000,0.60305344,0.52666667,0.56227758,0.71233064,0.49000000,0.48837209,0.42000000,0.45161290
7,0.65866947,0.58666667,0.60655738,0.49333333,0.54411765,0.71704423,0.47000000,0.46511628,0.40000000,0.43010753
8,0.65831792,0.63000000,0.58666667,0.88000000,0.70400000,0.71265203,0.50000000,0.50000000,0.76000000,0.60317460
9,0.65314811,0.62333333,0.68316832,0.46000000,0.54980080,0.71901757,0.51000000,0.51515152,0.34000000,0.40963855
10,0.64766258,0.63333333,0.60869565,0.74666667,0.67065868,0.71284109,0.51000000,0.50877193,0.58000000,0.54205607
11,0.67637533,0.56000000,0.53214286,0.99333333,0.69302326,0.72609794,0.45000000,0.47252747,0.86000000,0.60992908
12,0.65018457,0.63666667,0.58299595,0.96000000,0.72544081,0.71239221,0.49000000,0.49382716,0.80000000,0.61068702
13,0.63811535,0.67000000,0.63636364,0.79333333,0.70623145,0.71347719,0.56000000,0.54838710,0.68000000,0.60714286
14,0.63594341,0.64666667,0.61224490,0.80000000,0.69364162,0.71802139,0.50000000,0.50000000,0.68000000,0.57627119
15,0.65630484,0.59666667,0.55430712,0.98666667,0.70983213,0.71667999,0.48000000,0.48809524,0.82000000,0.61194030
16,0.63136554,0.66000000,0.61428571,0.86000000,0.71666667,0.71742266,0.48000000,0.48648649,0.72000000,0.58064516
17,0.66931885,0.56666667,0.53571429,1.00000000,0.69767442,0.73176503,0.45000000,0.47311828,0.88000000,0.61538462
18,0.61794949,0.68333333,0.65027322,0.79333333,0.71471471,0.71230489,0.57000000,0.55737705,0.68000000,0.61261261
19,0.61511779,0.71666667,0.72413793,0.70000000,0.71186441,0.70430219,0.58000000,0.58333333,0.56000000,0.57142857
20,0.60937446,0.69000000,0.68627451,0.70000000,0.69306931,0.71679932,0.51000000,0.50980392,0.52000000,0.51485149
21,0.60507047,0.69000000,0.67924528,0.72000000,0.69902913,0.71253610,0.54000000,0.53846154,0.56000000,0.54901961
22,0.61238283,0.65666667,0.69421488,0.56000000,0.61992620,0.73566896,0.50000000,0.50000000,0.38000000,0.43181818
23,0.60753268,0.67000000,0.77419355,0.48000000,0.59259259,0.73542285,0.54000000,0.57142857,0.32000000,0.41025641
24,0.64555854,0.61000000,0.56179775,1.00000000,0.71942446,0.74035627,0.47000000,0.48314607,0.86000000,0.61870504
25,0.61006892,0.64666667,0.87931034,0.34000000,0.49038462,0.73452669,0.55000000,0.66666667,0.20000000,0.30769231
26,0.57913661,0.73666667,0.71779141,0.78000000,0.74760383,0.70945334,0.58000000,0.58000000,0.58000000,0.58000000
27,0.60051769,0.66000000,0.59917355,0.96666667,0.73979592,0.72137666,0.52000000,0.51282051,0.80000000,0.62500000
28,0.61384207,0.62666667,0.85185185,0.30666667,0.45098039,0.75532591,0.57000000,0.73333333,0.22000000,0.33846154
29,0.61728978,0.61666667,0.94871795,0.24666667,0.39153439,0.75855178,0.55000000,0.69230769,0.18000000,0.28571429
30,0.63555640,0.57666667,0.96000000,0.16000000,0.27428571,0.77651387,0.56000000,0.80000000,0.16000000,0.26666667
31,0.58017260,0.69666667,0.82417582,0.50000000,0.62240664,0.74948257,0.52000000,0.54166667,0.26000000,0.35135135
32,0.61599368,0.60000000,0.94117647,0.21333333,0.34782609,0.76863635,0.54000000,0.70000000,0.14000000,0.23333333
33,0.55496299,0.73000000,0.86315789,0.54666667,0.66938776,0.73609209,0.54000000,0.57692308,0.30000000,0.39473684
34,0.53584892,0.80000000,0.83088235,0.75333333,0.79020979,0.71795130,0.56000000,0.56521739,0.52000000,0.54166667
35,0.65758920,0.56333333,1.00000000,0.12666667,0.22485207,0.83902204,0.55000000,0.77777778,0.14000000,0.23728814
