epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69420636,0.52000000,0.51063830,0.96000000,0.66666667,0.69968092,0.52000000,0.51063830,0.96000000,0.66666667
2,0.68024850,0.59666667,0.59235669,0.62000000,0.60586319,0.69613743,0.54000000,0.54000000,0.54000000,0.54000000
3,0.67503458,0.59666667,0.56621005,0.82666667,0.67208672,0.69966602,0.52000000,0.51428571,0.72000000,0.60000000
4,0.67830861,0.53666667,0.52000000,0.95333333,0.67294118,0.70351577,0.52000000,0.51086957,0.94000000,0.66197183
5,0.66657925,0.59333333,0.73333333,0.29333333,0.41904762,0.70360166,0.53000000,0.56521739,0.26000000,0.35616438
6,0.65435123,0.68333333,0.67080745,0.72000000,0.69453376,0.69573170,0.58000000,0.58333333,0.56000000,0.57142857
7,0.64978540,0.65333333,0.60849057,0.86000000,0.71270718,0.69917995,0.56000000,0.54166667,0.78000000,0.63934426
8,0.64540547,0.70333333,0.74400000,0.62000000,0.67636364,0.69902378,0.57000000,0.58139535,0.50000000,0.53763441
9,0.63748193,0.72333333,0.72483221,0.72000000,0.72240803,0.70302933,0.55000000,0.54901961,0.56000000,0.55445545
10,0.63100749,0.73333333,0.76515152,0.67333333,0.71631206,0.69713962,0.53000000,0.53488372,0.46000000,0.49462366
11,0.62733591,0.67000000,0.79310345,0.46000000,0.58227848,0.70577770,0.52000000,0.52777778,0.38000000,0.44186047
12,0.61610794,0.71666667,0.67567568,0.83333333,0.74626866,0.70082790,0.57000000,0.55737705,0.68000000,0.61261261
13,0.60812747,0.75666667,0.81818182,0.66000000,0.73062731,0.70011014,0.57000000,0.58139535,0.50000000,0.53763441
14,0.68110758,0.52666667,1.00000000,0.05333333,0.10126582,0.76503408,0.49000000,0.33333333,0.02000000,0.03773585
15,0.59307456,0.74666667,0.71511628,0.82000000,0.76397516,0.70099133,0.57000000,0.56140351,0.64000000,0.59813084
16,0.59718704,0.70000000,0.63513514,0.94000000,0.75806452,0.71669799,0.54000000,0.52702703,0.78000000,0.62903226
17,0.59017009,0.73333333,0.68421053,0.86666667,0.76470588,0.71599454,0.53000000,0.52238806,0.70000000,0.59829060
18,0.58381784,0.73000000,0.87912088,0.53333333,0.66390041,0.71763211,0.54000000,0.56666667,0.34000000,0.42500000
19,0.58397895,0.70000000,0.63392857,0.94666667,0.75935829,0.72367024,0.56000000,0.53947368,0.82000000,0.65079365
20,0.69885129,0.53333333,0.51724138,1.00000000,0.68181818,0.81666869,0.49000000,0.49473684,0.94000000,0.64827586
21,0.60047472,0.65666667,0.59514170,0.98000000,0.74055416,0.76629424,0.55000000,0.52941176,0.90000000,0.66666667
22,0.56643099,0.70666667,0.63716814,0.96000000,0.76595745,0.74550855,0.54000000,0.52631579,0.80000000,0.63492063
23,0.53702229,0.77666667,0.74269006,0.84666667,0.79127726,0.71962535,0.58000000,0.56250000,0.72000000,0.63157895
24,0.52480829,0.77666667,0.72677596,0.88666667,0.79879880,0.72443289,0.58000000,0.55882353,0.76000000,0.64406780
25,0.53714699,0.75333333,0.68269231,0.94666667,0.79329609,0.78647321,0.53000000,0.52054795,0.76000000,0.61788618
26,0.53245640,0.74666667,0.86274510,0.58666667,0.69841270,0.75244856,0.53000000,0.54054054,0.40000000,0.45977011
27,0.50590748,0.78666667,0.93877551,0.61333333,0.74193548,0.75249088,0.54000000,0.55263158,0.42000000,0.47727273
28,0.48885372,0.81000000,0.75135135,0.92666667,0.82985075,0.74139267,0.56000000,0.54545455,0.72000000,0.62068966
29,0.51234114,0.75333333,0.93181818,0.54666667,0.68907563,0.78435004,0.54000000,0.57142857,0.32000000,0.41025641
30,0.59895611,0.60666667,0.97058824,0.22000000,0.35869565,0.83685148,0.53000000,0.80000000,0.08000000,0.14545455
