epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69121850,0.51000000,0.50511945,0.98666667,0.66817156,0.70148379,0.51000000,0.50505051,1.00000000,0.67114094
2,0.68707252,0.53333333,0.75000000,0.10000000,0.17647059,0.70533365,0.50000000,0.50000000,0.08000000,0.13793103
3,0.69535244,0.50666667,0.50335570,1.00000000,0.66964286,0.71798676,0.50000000,0.50000000,1.00000000,0.66666667
4,0.68391228,0.53666667,0.78947368,0.10000000,0.17751479,0.69520241,0.52000000,0.60000000,0.12000000,0.20000000
5,0.67742628,0.60333333,0.57635468,0.78000000,0.66288952,0.69495493,0.52000000,0.51428571,0.72000000,0.60000000
6,0.68077070,0.53000000,0.51567944,0.98666667,0.67734554,0.71130401,0.48000000,0.48979592,0.96000000,0.64864865
7,0.68253160,0.55000000,0.58241758,0.35333333,0.43983402,0.70051104,0.47000000,0.45161290,0.28000000,0.34567901
8,0.67292166,0.62000000,0.60714286,0.68000000,0.64150943,0.69148207,0.50000000,0.50000000,0.66000000,0.56896552
9,0.66069949,0.60333333,0.58563536,0.70666667,0.64048338,0.70410377,0.52000000,0.51562500,0.66000000,0.57894737
10,0.66881531,0.61333333,0.62500000,0.56666667,0.59440559,0.70011497,0.52000000,0.51724138,0.60000000,0.55555556
11,0.65870756,0.67333333,0.65853659,0.72000000,0.68789809,0.70169342,0.51000000,0.50769231,0.66000000,0.57391304
12,0.65528148,0.64333333,0.59555556,0.89333333,0.71466667,0.69971567,0.52000000,0.51282051,0.80000000,0.62500000
13,0.69364196,0.55000000,0.52669039,0.98666667,0.68677494,0.75653327,0.51000000,0.50526316,0.96000000,0.66206897
14,0.72257668,0.54333333,0.84210526,0.10666667,0.18934911,0.79381609,0.50000000,0.50000000,0.08000000,0.13793103
15,0.66160250,0.55666667,0.94736842,0.12000000,0.21301775,0.71216935,0.52000000,0.75000000,0.06000000,0.11111111
16,0.61092645,0.66666667,0.61904762,0.86666667,0.72222222,0.73255992,0.51000000,0.50632911,0.80000000,0.62015504
17,0.64496177,0.59000000,0.90909091,0.20000000,0.32786885,0.72265482,0.51000000,0.52941176,0.18000000,0.26865672
18,0.62313414,0.63333333,0.77777778,0.37333333,0.50450450,0.72349524,0.53000000,0.54054054,0.40000000,0.45977011
19,0.63540030,0.65000000,0.60563380,0.86000000,0.71074380,0.69836926,0.56000000,0.54166667,0.78000000,0.63934426
