epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69163644,0.54666667,0.54268293,0.59333333,0.56687898,0.69203126,0.50000000,0.50000000,0.60000000,0.54545455
2,0.68723452,0.54666667,0.60294118,0.27333333,0.37614679,0.69881332,0.52000000,0.54545455,0.24000000,0.33333333
3,0.68645912,0.55000000,0.52727273,0.96666667,0.68235294,0.70845598,0.50000000,0.50000000,0.96000000,0.65753425
4,0.67514747,0.59000000,0.70149254,0.31333333,0.43317972,0.70271838,0.52000000,0.54166667,0.26000000,0.35135135
5,0.66367453,0.63000000,0.62420382,0.65333333,0.63843648,0.69612277,0.56000000,0.54687500,0.70000000,0.61403509
6,0.67523897,0.57000000,0.53846154,0.98000000,0.69503546,0.70999289,0.49000000,0.49462366,0.92000000,0.64335664
7,0.67046273,0.56333333,0.80645161,0.16666667,0.27624309,0.71151781,0.50000000,0.50000000,0.10000000,0.16666667
8,0.66301435,0.59666667,0.55598456,0.96000000,0.70415648,0.71315092,0.51000000,0.50549451,0.92000000,0.65248227
9,0.68412137,0.52333333,0.88888889,0.05333333,0.10062893,0.73091245,0.51000000,0.60000000,0.06000000,0.10909091
10,0.64341128,0.64333333,0.65467626,0.60666667,0.62975779,0.70582587,0.55000000,0.54545455,0.60000000,0.57142857
11,0.75477409,0.50333333,1.00000000,0.00666667,0.01324503,0.79666442,0.50000000,0.00000000,0.00000000,0.00000000
12,0.65106761,0.62666667,0.57480315,0.97333333,0.72277228,0.72558236,0.53000000,0.51685393,0.92000000,0.66187050
13,0.65983969,0.58333333,0.54646840,0.98000000,0.70167064,0.74033701,0.51000000,0.50537634,0.94000000,0.65734266
14,0.66152912,0.55333333,0.94444444,0.11333333,0.20238095,0.73284853,0.52000000,0.58333333,0.14000000,0.22580645
15,0.67251116,0.54000000,1.00000000,0.08000000,0.14814815,0.74435419,0.50000000,0.50000000,0.04000000,0.07407407
16,0.61980540,0.69000000,0.65921788,0.78666667,0.71732523,0.71078271,0.55000000,0.53731343,0.72000000,0.61538462
17,0.68766767,0.52000000,0.51027397,0.99333333,0.67420814,0.77265531,0.47000000,0.48453608,0.94000000,0.63945578
18,0.62123668,0.68666667,0.62173913,0.95333333,0.75263158,0.71706986,0.52000000,0.51250000,0.82000000,0.63076923
19,0.61263698,0.69666667,0.89333333,0.44666667,0.59555556,0.71765196,0.56000000,0.60000000,0.36000000,0.45000000
20,0.65601087,0.57000000,0.53818182,0.98666667,0.69647059,0.76708239,0.48000000,0.48958333,0.94000000,0.64383562
21,0.70855778,0.52000000,1.00000000,0.04000000,0.07692308,0.80542421,0.51000000,1.00000000,0.02000000,0.03921569
22,0.59963453,0.67666667,0.90769231,0.39333333,0.54883721,0.72896087,0.56000000,0.60714286,0.34000000,0.43589744
23,0.59583819,0.69666667,0.62995595,0.95333333,0.75862069,0.73360217,0.52000000,0.51250000,0.82000000,0.63076923
