epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.70696503,0.49333333,0.44444444,0.05333333,0.09523810,0.73799700,0.45000000,0.14285714,0.02000000,0.03508772
2,0.68112582,0.54000000,0.57142857,0.32000000,0.41025641,0.71122766,0.40000000,0.33333333,0.20000000,0.25000000
3,0.67773026,0.53666667,0.62790698,0.18000000,0.27979275,0.71409988,0.45000000,0.36842105,0.14000000,0.20289855
4,0.68182290,0.50666667,0.55555556,0.06666667,0.11904762,0.72339356,0.50000000,0.50000000,0.08000000,0.13793103
5,0.66695422,0.58333333,0.75510204,0.24666667,0.37185930,0.71428192,0.45000000,0.38095238,0.16000000,0.22535211
6,0.66064239,0.61000000,0.56420233,0.96666667,0.71253071,0.71733886,0.45000000,0.47191011,0.84000000,0.60431655
7,0.64831835,0.67666667,0.62801932,0.86666667,0.72829132,0.71334761,0.43000000,0.45333333,0.68000000,0.54400000
8,0.64079994,0.67666667,0.64640884,0.78000000,0.70694864,0.71438378,0.46000000,0.46875000,0.60000000,0.52631579
9,0.63920319,0.64000000,0.69090909,0.50666667,0.58461538,0.72365952,0.47000000,0.46341463,0.38000000,0.41758242
10,0.63024139,0.70333333,0.69677419,0.72000000,0.70819672,0.71720612,0.49000000,0.49152542,0.58000000,0.53211009
11,0.67287427,0.53333333,0.51724138,1.00000000,0.68181818,0.75652939,0.48000000,0.48958333,0.94000000,0.64383562
12,0.62359691,0.68000000,0.62053571,0.92666667,0.74331551,0.72370714,0.47000000,0.48148148,0.78000000,0.59541985
13,0.63077748,0.62333333,0.76056338,0.36000000,0.48868778,0.73586166,0.51000000,0.51851852,0.28000000,0.36363636
14,0.61472720,0.67333333,0.60743802,0.98000000,0.75000000,0.74242646,0.45000000,0.47058824,0.80000000,0.59259259
15,0.60752606,0.72000000,0.75000000,0.66000000,0.70212766,0.72145861,0.45000000,0.44897959,0.44000000,0.44444444
16,0.59888029,0.71666667,0.64840183,0.94666667,0.76964770,0.73131609,0.48000000,0.48684211,0.74000000,0.58730159
17,0.60245180,0.71333333,0.84782609,0.52000000,0.64462810,0.72317368,0.49000000,0.48571429,0.34000000,0.40000000
18,0.63709623,0.57666667,0.92592593,0.16666667,0.28248588,0.77625704,0.45000000,0.22222222,0.04000000,0.06779661
19,0.66052163,0.56000000,0.53191489,1.00000000,0.69444444,0.81035143,0.49000000,0.49473684,0.94000000,0.64827586
20,0.59772825,0.63333333,0.91666667,0.29333333,0.44444444,0.76994413,0.50000000,0.50000000,0.14000000,0.21875000
21,0.60643739,0.62000000,0.89130435,0.27333333,0.41836735,0.78364420,0.48000000,0.42857143,0.12000000,0.18750000
22,0.59604436,0.61333333,0.92500000,0.24666667,0.38947368,0.78845763,0.47000000,0.38461538,0.10000000,0.15873016
23,0.53736478,0.79333333,0.80555556,0.77333333,0.78911565,0.74953711,0.47000000,0.47169811,0.50000000,0.48543689
24,0.52037627,0.83333333,0.80120482,0.88666667,0.84177215,0.74542975,0.51000000,0.50793651,0.64000000,0.56637168
25,0.53151596,0.80000000,0.88793103,0.68666667,0.77443609,0.75817841,0.48000000,0.47619048,0.40000000,0.43478261
26,0.51815295,0.79000000,0.71859296,0.95333333,0.81948424,0.75636643,0.49000000,0.49315068,0.72000000,0.58536585
27,0.53842503,0.71000000,0.63519313,0.98666667,0.77284595,0.78393495,0.47000000,0.48148148,0.78000000,0.59541985
28,0.51369274,0.77000000,0.68837209,0.98666667,0.81095890,0.77633917,0.50000000,0.50000000,0.76000000,0.60317460
29,0.49142995,0.83333333,0.79411765,0.90000000,0.84375000,0.77855682,0.46000000,0.46875000,0.60000000,0.52631579
30,0.54843080,0.66333333,0.98039216,0.33333333,0.49751244,0.82939863,0.50000000,0.50000000,0.10000000,0.16666667
31,0.47840694,0.79000000,0.71014493,0.98000000,0.82352941,0.80850905,0.46000000,0.47435897,0.74000000,0.57812500
32,0.62323290,0.60000000,1.00000000,0.20000000,0.33333333,0.92210788,0.51000000,0.57142857,0.08000000,0.14035088
