epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69071090,0.57666667,0.55251142,0.80666667,0.65582656,0.68392807,0.54000000,0.52702703,0.78000000,0.62903226
2,0.68724102,0.53333333,0.53246753,0.54666667,0.53947368,0.68371648,0.60000000,0.58928571,0.66000000,0.62264151
3,0.68550456,0.52333333,0.53684211,0.34000000,0.41632653,0.68491149,0.58000000,0.61111111,0.44000000,0.51162791
4,0.68472058,0.50666667,0.51562500,0.22000000,0.30841121,0.68657243,0.53000000,0.56000000,0.28000000,0.37333333
5,0.68019760,0.61000000,0.59537572,0.68666667,0.63777090,0.68347257,0.58000000,0.56451613,0.70000000,0.62500000
6,0.67962974,0.54000000,0.56250000,0.36000000,0.43902439,0.68427563,0.56000000,0.57894737,0.44000000,0.50000000
7,0.67636174,0.63333333,0.61363636,0.72000000,0.66257669,0.68199635,0.59000000,0.57377049,0.70000000,0.63063063
8,0.67435759,0.62333333,0.62091503,0.63333333,0.62706271,0.68266922,0.56000000,0.55555556,0.60000000,0.57692308
9,0.67294288,0.63333333,0.59433962,0.84000000,0.69613260,0.68284345,0.58000000,0.55555556,0.80000000,0.65573770
10,0.67204642,0.59000000,0.65882353,0.37333333,0.47659574,0.68436664,0.53000000,0.54545455,0.36000000,0.43373494
11,0.67153871,0.59000000,0.55421687,0.92000000,0.69172932,0.68200761,0.54000000,0.52325581,0.90000000,0.66176471
12,0.66561604,0.62333333,0.60693642,0.70000000,0.65015480,0.68070108,0.57000000,0.55555556,0.70000000,0.61946903
13,0.66414845,0.63666667,0.66400000,0.55333333,0.60363636,0.68147904,0.56000000,0.56818182,0.50000000,0.53191489
14,0.66489929,0.59000000,0.68000000,0.34000000,0.45333333,0.68516630,0.51000000,0.51724138,0.30000000,0.37974684
15,0.65897596,0.64000000,0.61797753,0.73333333,0.67073171,0.68033981,0.57000000,0.55737705,0.68000000,0.61261261
16,0.66475457,0.57666667,0.70909091,0.26000000,0.38048780,0.68856579,0.52000000,0.55555556,0.20000000,0.29411765
17,0.65464389,0.67666667,0.69064748,0.64000000,0.66435986,0.68178892,0.55000000,0.55102041,0.54000000,0.54545455
18,0.65284425,0.67000000,0.62814070,0.83333333,0.71633238,0.68333733,0.55000000,0.53623188,0.74000000,0.62184874
19,0.67712247,0.52000000,0.65000000,0.08666667,0.15294118,0.70535010,0.51000000,0.57142857,0.08000000,0.14035088
20,0.64793622,0.67666667,0.63730570,0.82000000,0.71720117,0.68162704,0.54000000,0.53030303,0.70000000,0.60344828
21,0.64697027,0.66666667,0.61792453,0.87333333,0.72375691,0.68291932,0.51000000,0.50666667,0.76000000,0.60800000
22,0.64351010,0.66333333,0.62827225,0.80000000,0.70381232,0.67994839,0.56000000,0.54411765,0.74000000,0.62711864
23,0.64094198,0.67666667,0.63451777,0.83333333,0.72046110,0.68219954,0.54000000,0.52857143,0.74000000,0.61666667
24,0.64070141,0.65000000,0.71844660,0.49333333,0.58498024,0.68481970,0.53000000,0.53658537,0.44000000,0.48351648
25,0.63751811,0.67666667,0.75238095,0.52666667,0.61960784,0.68355531,0.52000000,0.52380952,0.44000000,0.47826087
26,0.63188213,0.70000000,0.69480519,0.71333333,0.70394737,0.67857957,0.56000000,0.55555556,0.60000000,0.57692308
27,0.62881279,0.70000000,0.65789474,0.83333333,0.73529412,0.67998827,0.56000000,0.54285714,0.76000000,0.63333333
28,0.63297838,0.63666667,0.58723404,0.92000000,0.71688312,0.68741369,0.54000000,0.52439024,0.86000000,0.65151515
29,0.62409151,0.68333333,0.63285024,0.87333333,0.73389356,0.68386763,0.53000000,0.52054795,0.76000000,0.61788618
30,0.63098204,0.64333333,0.58847737,0.95333333,0.72773537,0.69116455,0.55000000,0.53012048,0.88000000,0.66165414
31,0.64306355,0.60333333,0.55849057,0.98666667,0.71325301,0.70362532,0.54000000,0.52222222,0.94000000,0.67142857
32,0.63355744,0.61666667,0.56756757,0.98000000,0.71882641,0.69903153,0.53000000,0.51685393,0.92000000,0.66187050
33,0.60962659,0.72000000,0.67741935,0.84000000,0.75000000,0.68546218,0.53000000,0.52173913,0.72000000,0.60504202
34,0.60563403,0.70333333,0.71631206,0.67333333,0.69415808,0.68678743,0.56000000,0.56250000,0.54000000,0.55102041
35,0.60101998,0.73333333,0.71875000,0.76666667,0.74193548,0.68691832,0.54000000,0.53448276,0.62000000,0.57407407
36,0.60204071,0.72333333,0.68306011,0.83333333,0.75075075,0.68485999,0.55000000,0.53731343,0.72000000,0.61538462
37,0.62805545,0.62333333,0.91111111,0.27333333,0.42051282,0.71694350,0.51000000,0.53333333,0.16000000,0.24615385
