epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69193989,0.50333333,0.50413223,0.40666667,0.45018450,0.69267929,0.53000000,0.54285714,0.38000000,0.44705882
2,0.66835266,0.61000000,0.59428571,0.69333333,0.64000000,0.69034445,0.53000000,0.52542373,0.62000000,0.56880734
3,0.71239942,0.50000000,0.00000000,0.00000000,0.00000000,0.72162855,0.50000000,0.00000000,0.00000000,0.00000000
4,0.74731308,0.50666667,1.00000000,0.01333333,0.02631579,0.74868494,0.50000000,0.00000000,0.00000000,0.00000000
5,0.66534728,0.61333333,0.62318841,0.57333333,0.59722222,0.68796951,0.58000000,0.58695652,0.54000000,0.56250000
6,0.66830862,0.57333333,0.92307692,0.16000000,0.27272727,0.69064349,0.54000000,0.70000000,0.14000000,0.23333333
7,0.65134305,0.63000000,0.66386555,0.52666667,0.58736059,0.69679564,0.59000000,0.60975610,0.50000000,0.54945055
8,0.64955211,0.63333333,0.58130081,0.95333333,0.72222222,0.69980645,0.51000000,0.50588235,0.86000000,0.63703704
9,0.64203471,0.65000000,0.76470588,0.43333333,0.55319149,0.70480287,0.56000000,0.60714286,0.34000000,0.43589744
10,0.64205110,0.64000000,0.58467742,0.96666667,0.72864322,0.70925230,0.53000000,0.51898734,0.82000000,0.63565891
11,0.71549797,0.53666667,0.51903114,1.00000000,0.68337130,0.77889818,0.49000000,0.49484536,0.96000000,0.65306122
12,0.63989002,0.63000000,0.57894737,0.95333333,0.72040302,0.72365075,0.52000000,0.51219512,0.84000000,0.63636364
13,0.72358239,0.51000000,1.00000000,0.02000000,0.03921569,0.80994058,0.50000000,0.00000000,0.00000000,0.00000000
14,0.70717484,0.50666667,1.00000000,0.01333333,0.02631579,0.77162355,0.50000000,0.00000000,0.00000000,0.00000000
15,0.84711641,0.51333333,1.00000000,0.02666667,0.05194805,0.94103622,0.50000000,0.00000000,0.00000000,0.00000000
16,0.60003835,0.68000000,0.64516129,0.80000000,0.71428571,0.71479952,0.54000000,0.53333333,0.64000000,0.58181818
17,0.71085203,0.57666667,0.54151625,1.00000000,0.70257611,0.84920943,0.50000000,0.50000000,0.92000000,0.64788732
18,0.60557139,0.63666667,0.87272727,0.32000000,0.46829268,0.71565324,0.56000000,0.63636364,0.28000000,0.38888889
19,0.55278373,0.77000000,0.72131148,0.88000000,0.79279279,0.73235887,0.54000000,0.53448276,0.62000000,0.57407407
20,0.57577580,0.71000000,0.73684211,0.65333333,0.69257951,0.75456238,0.53000000,0.53333333,0.48000000,0.50526316
21,0.57713974,0.71333333,0.63913043,0.98000000,0.77368421,0.74050295,0.53000000,0.51898734,0.82000000,0.63565891
22,0.76776266,0.52666667,1.00000000,0.05333333,0.10126582,0.94166946,0.50000000,0.00000000,0.00000000,0.00000000
23,0.99098122,0.51000000,0.50505051,1.00000000,0.67114094,1.08967078,0.51000000,0.50505051,1.00000000,0.67114094
24,0.54440439,0.73333333,0.80701754,0.61333333,0.69696970,0.75907737,0.57000000,0.58974359,0.46000000,0.51685393
25,0.68183577,0.60666667,0.55970149,1.00000000,0.71770335,0.87082583,0.50000000,0.50000000,0.90000000,0.64285714
26,0.60374850,0.61666667,0.81818182,0.30000000,0.43902439,0.86587858,0.54000000,0.60000000,0.24000000,0.34285714
27,0.53865415,0.75333333,0.86538462,0.60000000,0.70866142,0.80056059,0.56000000,0.58823529,0.40000000,0.47619048
28,0.48282233,0.80666667,0.73711340,0.95333333,0.83139535,0.79679888,0.54000000,0.53225806,0.66000000,0.58928571
29,0.62346548,0.62666667,0.82758621,0.32000000,0.46153846,0.90726262,0.52000000,0.54545455,0.24000000,0.33333333
30,0.53293771,0.71666667,0.64192140,0.98000000,0.77572559,0.81736213,0.55000000,0.53246753,0.82000000,0.64566929
31,0.55158287,0.76666667,0.79411765,0.72000000,0.75524476,0.76022142,0.50000000,0.50000000,0.44000000,0.46808511
32,0.66132957,0.61000000,0.56179775,1.00000000,0.71942446,0.92750442,0.49000000,0.49438202,0.88000000,0.63309353
33,0.51599306,0.80666667,0.76436782,0.88666667,0.82098765,0.74159050,0.53000000,0.52631579,0.60000000,0.56074766
34,0.49495438,0.74333333,0.84761905,0.59333333,0.69803922,0.89065123,0.54000000,0.55263158,0.42000000,0.47727273
35,0.43847769,0.83000000,0.85611511,0.79333333,0.82352941,0.83409917,0.55000000,0.55319149,0.52000000,0.53608247
36,0.57404470,0.68333333,0.70370370,0.63333333,0.66666667,0.72807360,0.48000000,0.48076923,0.50000000,0.49019608
37,0.65038621,0.61333333,0.56439394,0.99333333,0.71980676,0.91447085,0.51000000,0.50561798,0.90000000,0.64748201
38,0.59293270,0.61333333,0.90476190,0.25333333,0.39583333,0.76829427,0.55000000,0.72727273,0.16000000,0.26229508
39,0.42001250,0.85333333,0.89552239,0.80000000,0.84507042,0.80536485,0.51000000,0.51282051,0.40000000,0.44943820
40,0.56564260,0.72666667,0.70987654,0.76666667,0.73717949,0.74501723,0.49000000,0.49152542,0.58000000,0.53211009
41,0.53911847,0.70000000,0.65789474,0.83333333,0.73529412,0.78898245,0.51000000,0.50769231,0.66000000,0.57391304
42,0.54490989,0.72666667,0.65315315,0.96666667,0.77956989,0.81189430,0.55000000,0.53333333,0.80000000,0.64000000
