epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68722183,0.57666667,0.55609756,0.76000000,0.64225352,0.70120436,0.48000000,0.48648649,0.72000000,0.58064516
2,0.69637883,0.50333333,0.66666667,0.01333333,0.02614379,0.70998383,0.48000000,0.00000000,0.00000000,0.00000000
3,0.68202960,0.63000000,0.61818182,0.68000000,0.64761905,0.69893551,0.44000000,0.44827586,0.52000000,0.48148148
4,0.67971277,0.62666667,0.58715596,0.85333333,0.69565217,0.69861114,0.46000000,0.47297297,0.70000000,0.56451613
5,0.67832369,0.61666667,0.57142857,0.93333333,0.70886076,0.69692945,0.50000000,0.50000000,0.80000000,0.61538462
6,0.68269074,0.52666667,0.51388889,0.98666667,0.67579909,0.70689923,0.51000000,0.50515464,0.98000000,0.66666667
7,0.67102772,0.67666667,0.63316583,0.84000000,0.72206304,0.69808471,0.46000000,0.47058824,0.64000000,0.54237288
8,0.67270863,0.53666667,0.73913043,0.11333333,0.19653179,0.71005738,0.49000000,0.44444444,0.08000000,0.13559322
9,0.67075533,0.59666667,0.55555556,0.96666667,0.70559611,0.70732605,0.51000000,0.50561798,0.90000000,0.64748201
10,0.66482353,0.62000000,0.57031250,0.97333333,0.71921182,0.70314461,0.50000000,0.50000000,0.84000000,0.62686567
11,0.66195786,0.58333333,0.73584906,0.26000000,0.38423645,0.72207952,0.45000000,0.39130435,0.18000000,0.24657534
12,0.65272760,0.63333333,0.83333333,0.33333333,0.47619048,0.71485829,0.46000000,0.40909091,0.18000000,0.25000000
13,0.64647979,0.64000000,0.60000000,0.84000000,0.70000000,0.71193600,0.48000000,0.48684211,0.74000000,0.58730159
14,0.64161587,0.69333333,0.64795918,0.84666667,0.73410405,0.70989370,0.45000000,0.46478873,0.66000000,0.54545455
15,0.65404207,0.56333333,0.88000000,0.14666667,0.25142857,0.72383833,0.49000000,0.42857143,0.06000000,0.10526316
16,0.66839409,0.56000000,0.53214286,0.99333333,0.69302326,0.74060118,0.50000000,0.50000000,0.94000000,0.65277778
17,0.62055367,0.66000000,0.62121212,0.82000000,0.70689655,0.74244487,0.47000000,0.47826087,0.66000000,0.55462185
18,0.64442265,0.56000000,0.80000000,0.16000000,0.26666667,0.75891602,0.51000000,0.55555556,0.10000000,0.16949153
19,0.62608677,0.67333333,0.61016949,0.96000000,0.74611399,0.72836792,0.49000000,0.49397590,0.82000000,0.61654135
20,0.63796186,0.61333333,0.56538462,0.98000000,0.71707317,0.74359798,0.47000000,0.48314607,0.86000000,0.61870504
21,0.58844227,0.73333333,0.72435897,0.75333333,0.73856209,0.75125545,0.47000000,0.47368421,0.54000000,0.50467290
22,0.57812083,0.71666667,0.67759563,0.82666667,0.74474474,0.75488585,0.46000000,0.46969697,0.62000000,0.53448276
23,0.59954304,0.67000000,0.88059701,0.39333333,0.54377880,0.74425370,0.52000000,0.55555556,0.20000000,0.29411765
24,0.60132283,0.67666667,0.88405797,0.40666667,0.55707763,0.80142963,0.47000000,0.43478261,0.20000000,0.27397260
25,0.57963955,0.74000000,0.86000000,0.57333333,0.68800000,0.74588692,0.51000000,0.51351351,0.38000000,0.43678161
26,0.58014661,0.69666667,0.95384615,0.41333333,0.57674419,0.78056461,0.56000000,0.63636364,0.28000000,0.38888889
27,0.58799869,0.76666667,0.87037037,0.62666667,0.72868217,0.73741704,0.53000000,0.54285714,0.38000000,0.44705882
28,0.56738722,0.71333333,0.64285714,0.96000000,0.77005348,0.77967387,0.48000000,0.48780488,0.80000000,0.60606061
29,0.54161131,0.83000000,0.83673469,0.82000000,0.82828283,0.75545073,0.51000000,0.50943396,0.54000000,0.52427184
30,0.55024952,0.73333333,0.65765766,0.97333333,0.78494624,0.78783065,0.51000000,0.50649351,0.78000000,0.61417323
31,0.69397515,0.55333333,0.52816901,1.00000000,0.69124424,0.88369775,0.47000000,0.48453608,0.94000000,0.63945578
32,0.52733415,0.81333333,0.87903226,0.72666667,0.79562044,0.76174527,0.51000000,0.51219512,0.42000000,0.46153846
33,0.56492168,0.66666667,1.00000000,0.33333333,0.50000000,0.89486808,0.52000000,0.58333333,0.14000000,0.22580645
34,0.54578984,0.73333333,0.65909091,0.96666667,0.78378378,0.80427086,0.46000000,0.47435897,0.74000000,0.57812500
35,0.60106856,0.66666667,0.93103448,0.36000000,0.51923077,1.01081586,0.53000000,0.57142857,0.24000000,0.33802817
36,0.43442383,0.83333333,0.82051282,0.85333333,0.83660131,0.88137788,0.45000000,0.45454545,0.50000000,0.47619048
37,0.54061955,0.69666667,0.62343096,0.99333333,0.76606684,0.83278424,0.52000000,0.51136364,0.90000000,0.65217391
38,0.50555289,0.74333333,0.96202532,0.50666667,0.66375546,0.82803625,0.46000000,0.38888889,0.14000000,0.20588235
39,0.49178031,0.76666667,0.68348624,0.99333333,0.80978261,0.82176876,0.54000000,0.52500000,0.84000000,0.64615385
40,0.47171754,0.84000000,0.83116883,0.85333333,0.84210526,0.85716462,0.47000000,0.47169811,0.50000000,0.48543689
