epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68810010,0.51666667,0.51141553,0.74666667,0.60704607,0.69917375,0.47000000,0.48051948,0.74000000,0.58267717
2,0.68449414,0.57666667,0.56353591,0.68000000,0.61631420,0.70060223,0.48000000,0.48437500,0.62000000,0.54385965
3,0.68213475,0.60000000,0.58720930,0.67333333,0.62732919,0.70106488,0.44000000,0.45161290,0.56000000,0.50000000
4,0.67919654,0.57666667,0.54893617,0.86000000,0.67012987,0.70169431,0.52000000,0.51219512,0.84000000,0.63636364
5,0.67661917,0.59000000,0.68493151,0.33333333,0.44843049,0.70186657,0.44000000,0.40625000,0.26000000,0.31707317
6,0.67544270,0.56666667,0.70833333,0.22666667,0.34343434,0.70216125,0.45000000,0.39130435,0.18000000,0.24657534
7,0.67026824,0.63666667,0.66141732,0.56000000,0.60649819,0.70025283,0.43000000,0.42222222,0.38000000,0.40000000
8,0.66765743,0.63000000,0.66115702,0.53333333,0.59040590,0.70124036,0.42000000,0.40909091,0.36000000,0.38297872
9,0.66582227,0.62666667,0.68269231,0.47333333,0.55905512,0.70198590,0.41000000,0.37837838,0.28000000,0.32183908
10,0.66550040,0.60666667,0.71052632,0.36000000,0.47787611,0.69986725,0.51000000,0.51515152,0.34000000,0.40963855
11,0.65825921,0.68333333,0.71653543,0.60666667,0.65703971,0.69988066,0.50000000,0.50000000,0.44000000,0.46808511
12,0.65829539,0.63333333,0.73809524,0.41333333,0.52991453,0.70257139,0.43000000,0.38709677,0.24000000,0.29629630
13,0.65215641,0.68333333,0.63681592,0.85333333,0.72934473,0.70252198,0.51000000,0.50793651,0.64000000,0.56637168
14,0.66135359,0.59666667,0.55513308,0.97333333,0.70702179,0.71780914,0.50000000,0.50000000,0.90000000,0.64285714
15,0.64234954,0.69666667,0.64824121,0.86000000,0.73925501,0.70407224,0.51000000,0.50769231,0.66000000,0.57391304
16,0.64291608,0.67666667,0.62211982,0.90000000,0.73569482,0.70849347,0.54000000,0.52941176,0.72000000,0.61016949
17,0.64152104,0.62333333,0.78461538,0.34000000,0.47441860,0.71199661,0.47000000,0.44000000,0.22000000,0.29333333
18,0.63149357,0.68333333,0.63285024,0.87333333,0.73389356,0.71234447,0.52000000,0.51515152,0.68000000,0.58620690
19,0.65061957,0.55333333,0.83333333,0.13333333,0.22988506,0.72895736,0.46000000,0.35714286,0.10000000,0.15625000
20,0.62030464,0.68000000,0.62735849,0.88666667,0.73480663,0.71619201,0.51000000,0.50769231,0.66000000,0.57391304
21,0.61937159,0.67000000,0.80000000,0.45333333,0.57872340,0.71605742,0.48000000,0.46875000,0.30000000,0.36585366
22,0.61190474,0.70333333,0.79611650,0.54666667,0.64822134,0.72014886,0.53000000,0.53658537,0.44000000,0.48351648
23,0.60215056,0.75333333,0.71111111,0.85333333,0.77575758,0.71452713,0.54000000,0.53571429,0.60000000,0.56603774
24,0.60723454,0.68000000,0.61842105,0.94000000,0.74603175,0.72785032,0.54000000,0.52702703,0.78000000,0.62903226
25,0.69670928,0.55666667,0.53046595,0.98666667,0.68997669,0.80079967,0.52000000,0.51063830,0.96000000,0.66666667
26,0.58390832,0.79000000,0.77018634,0.82666667,0.79742765,0.71654373,0.55000000,0.54545455,0.60000000,0.57142857
27,0.57252914,0.78333333,0.75147929,0.84666667,0.79623824,0.72172302,0.54000000,0.53703704,0.58000000,0.55769231
28,0.57930243,0.77000000,0.80916031,0.70666667,0.75444840,0.72351551,0.54000000,0.54347826,0.50000000,0.52083333
29,0.56807494,0.71666667,0.65258216,0.92666667,0.76584022,0.73888808,0.56000000,0.54285714,0.76000000,0.63333333
30,0.56203568,0.75333333,0.88775510,0.58000000,0.70161290,0.73829955,0.49000000,0.48387097,0.30000000,0.37037037
31,0.54656708,0.78333333,0.77070064,0.80666667,0.78827362,0.72340608,0.52000000,0.51923077,0.54000000,0.52941176
32,0.53717411,0.81000000,0.78881988,0.84666667,0.81672026,0.72369891,0.52000000,0.51851852,0.56000000,0.53846154
33,0.55805534,0.70333333,0.63555556,0.95333333,0.76266667,0.76046586,0.57000000,0.54794521,0.80000000,0.65040650
34,0.51884174,0.83333333,0.86231884,0.79333333,0.82638889,0.73949176,0.53000000,0.53333333,0.48000000,0.50526316
35,0.56091684,0.67666667,0.96491228,0.36666667,0.53140097,0.77307922,0.50000000,0.50000000,0.18000000,0.26470588
36,0.52017921,0.79666667,0.91588785,0.65333333,0.76264591,0.76071531,0.52000000,0.52941176,0.36000000,0.42857143
37,0.49887830,0.84000000,0.89230769,0.77333333,0.82857143,0.74283111,0.50000000,0.50000000,0.40000000,0.44444444
38,0.48423615,0.85666667,0.84516129,0.87333333,0.85901639,0.74257994,0.51000000,0.50980392,0.52000000,0.51485149
39,0.51937866,0.77666667,0.96629213,0.57333333,0.71966527,0.76638418,0.52000000,0.53125000,0.34000000,0.41463415
40,0.47374904,0.85000000,0.92682927,0.76000000,0.83516484,0.75679868,0.53000000,0.53658537,0.44000000,0.48351648
41,0.50728476,0.73666667,0.66359447,0.96000000,0.78474114,0.79412001,0.58000000,0.55555556,0.80000000,0.65573770
42,0.46578309,0.86000000,0.89130435,0.82000000,0.85416667,0.74736363,0.49000000,0.48780488,0.40000000,0.43956044
43,0.45733094,0.87000000,0.87755102,0.86000000,0.86868687,0.74820149,0.50000000,0.50000000,0.46000000,0.47916667
44,0.44391805,0.86000000,0.86486486,0.85333333,0.85906040,0.78245437,0.49000000,0.48979592,0.48000000,0.48484848
45,0.46199313,0.79666667,0.72820513,0.94666667,0.82318841,0.80359513,0.56000000,0.54687500,0.70000000,0.61403509
46,0.46057740,0.78000000,0.72580645,0.90000000,0.80357143,0.80691993,0.53000000,0.52542373,0.62000000,0.56880734
47,0.46223399,0.81333333,0.96078431,0.65333333,0.77777778,0.79910004,0.58000000,0.64285714,0.36000000,0.46153846
48,0.54107171,0.67000000,1.00000000,0.34000000,0.50746269,0.86512446,0.53000000,0.60000000,0.18000000,0.27692308
49,0.45098054,0.81333333,0.95192308,0.66000000,0.77952756,0.81058317,0.52000000,0.53571429,0.30000000,0.38461538
50,0.54072016,0.71666667,0.64192140,0.98000000,0.77572559,0.89178401,0.54000000,0.52500000,0.84000000,0.64615385
51,0.43120322,0.80000000,0.72058824,0.98000000,0.83050847,0.82298660,0.59000000,0.56338028,0.80000000,0.66115702
52,0.37710306,0.90000000,0.92857143,0.86666667,0.89655172,0.81729931,0.52000000,0.52380952,0.44000000,0.47826087
53,0.42702994,0.82000000,0.98000000,0.65333333,0.78400000,0.83899188,0.52000000,0.53571429,0.30000000,0.38461538
54,0.49681023,0.71333333,1.00000000,0.42666667,0.59813084,0.90151626,0.51000000,0.53333333,0.16000000,0.24615385
55,0.61671174,0.65666667,0.59437751,0.98666667,0.74185464,0.95470250,0.50000000,0.50000000,0.86000000,0.63235294
56,0.52890807,0.65000000,1.00000000,0.30000000,0.46153846,0.93875784,0.53000000,0.63636364,0.14000000,0.22950820
57,0.49173096,0.73000000,0.65333333,0.98000000,0.78400000,0.90093654,0.58000000,0.55263158,0.84000000,0.66666667
58,0.50255811,0.70333333,1.00000000,0.40666667,0.57819905,0.95392829,0.49000000,0.47058824,0.16000000,0.23880597
59,1.04056990,0.55333333,0.52816901,1.00000000,0.69124424,1.37100732,0.51000000,0.50537634,0.94000000,0.65734266
60,0.49880865,0.71333333,0.98484848,0.43333333,0.60185185,0.93951172,0.53000000,0.58823529,0.20000000,0.29850746
61,0.50768709,0.68666667,1.00000000,0.37333333,0.54368932,0.99207795,0.51000000,0.53846154,0.14000000,0.22222222
62,0.33671466,0.92666667,0.97058824,0.88000000,0.92307692,0.84914756,0.48000000,0.46875000,0.30000000,0.36585366
63,0.40154538,0.80333333,0.98924731,0.61333333,0.75720165,0.93503767,0.55000000,0.61904762,0.26000000,0.36619718
64,0.41192400,0.81333333,0.87301587,0.73333333,0.79710145,0.83667618,0.58000000,0.59090909,0.52000000,0.55319149
65,0.39859834,0.82000000,0.98000000,0.65333333,0.78400000,0.92392468,0.54000000,0.56666667,0.34000000,0.42500000
66,0.33391985,0.86000000,0.80337079,0.95333333,0.87195122,0.90328777,0.49000000,0.49122807,0.56000000,0.52336449
67,0.39107701,0.79333333,0.71359223,0.98000000,0.82584270,0.97169614,0.56000000,0.54054054,0.80000000,0.64516129
