epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69100857,0.52333333,0.51228070,0.97333333,0.67126437,0.68986994,0.55000000,0.52808989,0.94000000,0.67625899
2,0.69995636,0.50333333,1.00000000,0.00666667,0.01324503,0.70591080,0.50000000,0.00000000,0.00000000,0.00000000
3,0.68003821,0.56666667,0.57246377,0.52666667,0.54861111,0.69833648,0.52000000,0.52000000,0.52000000,0.52000000
4,0.68851417,0.53000000,0.65517241,0.12666667,0.21229050,0.70234126,0.51000000,0.53846154,0.14000000,0.22222222
5,0.67812020,0.55666667,0.53183521,0.94666667,0.68105516,0.70097166,0.54000000,0.52380952,0.88000000,0.65671642
6,0.67036152,0.61000000,0.56573705,0.94666667,0.70822943,0.70489013,0.49000000,0.49397590,0.82000000,0.61654135
7,0.67026460,0.63000000,0.74074074,0.40000000,0.51948052,0.69293213,0.48000000,0.46153846,0.24000000,0.31578947
8,0.67227012,0.56000000,0.90909091,0.13333333,0.23255814,0.69662231,0.53000000,0.71428571,0.10000000,0.17543860
9,0.68007678,0.54666667,0.66666667,0.18666667,0.29166667,0.69934201,0.47000000,0.33333333,0.06000000,0.10169492
10,0.65058649,0.65666667,0.85074627,0.38000000,0.52534562,0.69873887,0.54000000,0.59090909,0.26000000,0.36111111
11,0.66054094,0.61333333,0.77419355,0.32000000,0.45283019,0.69930094,0.54000000,0.61111111,0.22000000,0.32352941
12,0.65749514,0.59666667,0.72307692,0.31333333,0.43720930,0.73577040,0.53000000,0.55555556,0.30000000,0.38961039
13,0.64113981,0.66333333,0.69291339,0.58666667,0.63537906,0.68397635,0.50000000,0.50000000,0.44000000,0.46808511
14,0.63646168,0.72333333,0.68508287,0.82666667,0.74924471,0.68509477,0.60000000,0.57812500,0.74000000,0.64912281
15,0.68166512,0.50666667,1.00000000,0.01333333,0.02631579,0.74785006,0.50000000,0.50000000,0.02000000,0.03846154
16,0.72740895,0.50666667,1.00000000,0.01333333,0.02631579,0.82248962,0.51000000,1.00000000,0.02000000,0.03921569
17,0.65174991,0.59000000,0.93548387,0.19333333,0.32044199,0.76380157,0.52000000,0.57142857,0.16000000,0.25000000
18,0.60068941,0.70000000,0.63157895,0.96000000,0.76190476,0.70602995,0.55000000,0.53246753,0.82000000,0.64566929
19,0.69736761,0.51333333,1.00000000,0.02666667,0.05194805,0.80071145,0.50000000,0.50000000,0.02000000,0.03846154
20,0.55902457,0.72666667,0.75757576,0.66666667,0.70921986,0.69734144,0.55000000,0.55813953,0.48000000,0.51612903
21,0.60169870,0.71000000,0.71140940,0.70666667,0.70903010,0.70381284,0.52000000,0.52173913,0.48000000,0.50000000
22,0.62349635,0.63333333,0.81250000,0.34666667,0.48598131,0.74137831,0.50000000,0.50000000,0.20000000,0.28571429
23,0.64438099,0.64666667,0.58943089,0.96666667,0.73232323,0.74911094,0.58000000,0.54761905,0.92000000,0.68656716
24,0.57736152,0.74666667,0.69680851,0.87333333,0.77514793,0.74298495,0.45000000,0.46153846,0.60000000,0.52173913
25,0.65255201,0.63333333,0.68867925,0.48666667,0.57031250,0.72177124,0.54000000,0.54761905,0.46000000,0.50000000
26,0.60151583,0.66666667,0.86764706,0.39333333,0.54128440,0.73160827,0.56000000,0.62500000,0.30000000,0.40540541
27,0.68743670,0.61333333,0.56488550,0.98666667,0.71844660,0.92051882,0.56000000,0.53488372,0.92000000,0.67647059
28,0.59599549,0.67333333,0.67333333,0.67333333,0.67333333,0.72100878,0.60000000,0.58620690,0.68000000,0.62962963
29,0.55275095,0.77333333,0.78873239,0.74666667,0.76712329,0.72472739,0.56000000,0.56521739,0.52000000,0.54166667
30,0.51861328,0.73666667,0.89887640,0.53333333,0.66945607,0.72739810,0.53000000,0.55172414,0.32000000,0.40506329
31,0.53030729,0.75666667,0.68075117,0.96666667,0.79889807,0.74579602,0.51000000,0.50666667,0.76000000,0.60800000
32,0.50101286,0.78333333,0.88288288,0.65333333,0.75095785,0.78654325,0.54000000,0.55000000,0.44000000,0.48888889
33,0.62014401,0.64000000,0.72340426,0.45333333,0.55737705,0.75259095,0.54000000,0.57142857,0.32000000,0.41025641
