epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68478936,0.54666667,0.52651515,0.92666667,0.67149758,0.69530469,0.49000000,0.49450549,0.90000000,0.63829787
2,0.67945808,0.61000000,0.59217877,0.70666667,0.64437690,0.69393301,0.55000000,0.54098361,0.66000000,0.59459459
3,0.67367440,0.62666667,0.59134615,0.82000000,0.68715084,0.69334424,0.56000000,0.54285714,0.76000000,0.63333333
4,0.67041045,0.64333333,0.60913706,0.80000000,0.69164265,0.69395626,0.58000000,0.55714286,0.78000000,0.65000000
5,0.66720855,0.63666667,0.60512821,0.78666667,0.68405797,0.69519728,0.55000000,0.53846154,0.70000000,0.60869565
6,0.66358972,0.67666667,0.65317919,0.75333333,0.69969040,0.69231182,0.55000000,0.54237288,0.64000000,0.58715596
7,0.66106892,0.70000000,0.72058824,0.65333333,0.68531469,0.69253385,0.56000000,0.56250000,0.54000000,0.55102041
8,0.65622568,0.69666667,0.66666667,0.78666667,0.72171254,0.69211918,0.55000000,0.54098361,0.66000000,0.59459459
9,0.65405297,0.68333333,0.62672811,0.90666667,0.74114441,0.69499981,0.49000000,0.49315068,0.72000000,0.58536585
10,0.65082234,0.68666667,0.62962963,0.90666667,0.74316940,0.69557929,0.49000000,0.49315068,0.72000000,0.58536585
11,0.65523148,0.65333333,0.81081081,0.40000000,0.53571429,0.69386685,0.56000000,0.65000000,0.26000000,0.37142857
12,0.64190191,0.71666667,0.71812081,0.71333333,0.71571906,0.69270241,0.57000000,0.57446809,0.54000000,0.55670103
13,0.63913828,0.71333333,0.74242424,0.65333333,0.69503546,0.69288021,0.57000000,0.58536585,0.48000000,0.52747253
14,0.63650525,0.72333333,0.79646018,0.60000000,0.68441065,0.69067043,0.58000000,0.60526316,0.46000000,0.52272727
15,0.63204908,0.72333333,0.79130435,0.60666667,0.68679245,0.69334692,0.57000000,0.60606061,0.40000000,0.48192771
16,0.63247007,0.68000000,0.61637931,0.95333333,0.74869110,0.70091778,0.50000000,0.50000000,0.80000000,0.61538462
17,0.62908626,0.68666667,0.62389381,0.94000000,0.75000000,0.70529151,0.51000000,0.50617284,0.82000000,0.62595420
18,0.63639200,0.62333333,0.57254902,0.97333333,0.72098765,0.71127588,0.47000000,0.48275862,0.84000000,0.61313869
19,0.61278230,0.72666667,0.75000000,0.68000000,0.71328671,0.69551772,0.59000000,0.60465116,0.52000000,0.55913978
20,0.61051726,0.74000000,0.82142857,0.61333333,0.70229008,0.69777280,0.55000000,0.56756757,0.42000000,0.48275862
21,0.63549250,0.61000000,0.56370656,0.97333333,0.71393643,0.72919148,0.47000000,0.48351648,0.88000000,0.62411348
22,0.59580505,0.76666667,0.76666667,0.76666667,0.76666667,0.69090956,0.60000000,0.59615385,0.62000000,0.60784314
23,0.59500504,0.71333333,0.65238095,0.91333333,0.76111111,0.70877618,0.53000000,0.52112676,0.74000000,0.61157025
