epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69413811,0.52000000,0.51020408,1.00000000,0.67567568,0.69471693,0.51000000,0.50515464,0.98000000,0.66666667
2,0.68817723,0.52000000,0.75000000,0.06000000,0.11111111,0.70013839,0.51000000,0.60000000,0.06000000,0.10909091
3,0.67835784,0.63666667,0.63945578,0.62666667,0.63299663,0.68740171,0.53000000,0.53061224,0.52000000,0.52525253
4,0.67597133,0.61666667,0.70114943,0.40666667,0.51476793,0.69061762,0.51000000,0.51428571,0.36000000,0.42352941
5,0.67098606,0.58000000,0.54477612,0.97333333,0.69856459,0.69293070,0.52000000,0.51219512,0.84000000,0.63636364
6,0.68010479,0.53000000,0.51546392,1.00000000,0.68027211,0.69874680,0.50000000,0.50000000,0.96000000,0.65753425
7,0.65696162,0.70333333,0.70469799,0.70000000,0.70234114,0.69524229,0.51000000,0.51020408,0.50000000,0.50505051
8,0.65995556,0.56000000,0.68000000,0.22666667,0.34000000,0.71757418,0.46000000,0.40000000,0.16000000,0.22857143
9,0.69082439,0.52000000,0.80000000,0.05333333,0.10000000,0.76747602,0.48000000,0.00000000,0.00000000,0.00000000
10,0.75285059,0.50000000,0.00000000,0.00000000,0.00000000,0.83336371,0.50000000,0.00000000,0.00000000,0.00000000
11,0.68151939,0.53333333,0.75000000,0.10000000,0.17647059,0.78220427,0.50000000,0.50000000,0.06000000,0.10714286
12,0.71734130,0.51666667,0.50847458,1.00000000,0.67415730,0.77652204,0.50000000,0.50000000,0.96000000,0.65753425
13,0.63883436,0.72666667,0.67708333,0.86666667,0.76023392,0.71150893,0.45000000,0.46153846,0.60000000,0.52173913
14,0.64135736,0.63666667,0.58039216,0.98666667,0.73086420,0.76360506,0.55000000,0.53012048,0.88000000,0.66165414
15,0.68315917,0.52333333,1.00000000,0.04666667,0.08917197,0.84632719,0.50000000,0.50000000,0.02000000,0.03846154
16,0.68939316,0.54666667,0.52447552,1.00000000,0.68807339,0.76921386,0.49000000,0.49462366,0.92000000,0.64335664
17,0.63043422,0.64000000,0.58267717,0.98666667,0.73267327,0.71781027,0.56000000,0.53571429,0.90000000,0.67164179
18,0.70061243,0.50000000,0.00000000,0.00000000,0.00000000,0.75050837,0.50000000,0.00000000,0.00000000,0.00000000
19,0.58961225,0.68333333,0.73109244,0.58000000,0.64684015,0.79033846,0.45000000,0.43243243,0.32000000,0.36781609
20,0.59198403,0.62666667,0.91304348,0.28000000,0.42857143,0.78402144,0.56000000,0.68750000,0.22000000,0.33333333
21,0.56501555,0.74000000,0.79032258,0.65333333,0.71532847,0.76353288,0.50000000,0.50000000,0.42000000,0.45652174
22,0.57378250,0.73000000,0.66666667,0.92000000,0.77310924,0.75620073,0.51000000,0.50724638,0.70000000,0.58823529
23,0.69437683,0.55333333,1.00000000,0.10666667,0.19277108,0.86288118,0.52000000,0.60000000,0.12000000,0.20000000
24,0.54518247,0.76333333,0.68720379,0.96666667,0.80332410,0.76143003,0.51000000,0.50746269,0.68000000,0.58119658
25,0.66459465,0.56666667,0.91666667,0.14666667,0.25287356,0.85072649,0.54000000,0.83333333,0.10000000,0.17857143
26,0.66393888,0.63333333,0.57751938,0.99333333,0.73039216,0.91461176,0.52000000,0.51136364,0.90000000,0.65217391
27,0.54626220,0.72333333,0.64757709,0.98000000,0.77984085,0.87223756,0.53000000,0.51898734,0.82000000,0.63565891
28,0.54166985,0.73000000,0.66197183,0.94000000,0.77685950,0.78653562,0.55000000,0.53246753,0.82000000,0.64566929
29,0.49849346,0.81000000,0.75977654,0.90666667,0.82674772,0.77967036,0.55000000,0.54098361,0.66000000,0.59459459
30,0.52653027,0.72333333,0.64628821,0.98666667,0.78100264,0.84289461,0.53000000,0.52000000,0.78000000,0.62400000
31,0.54869252,0.75000000,0.85046729,0.60666667,0.70817121,0.83893722,0.51000000,0.51612903,0.32000000,0.39506173
32,0.71552348,0.55000000,1.00000000,0.10000000,0.18181818,1.08600152,0.52000000,1.00000000,0.04000000,0.07692308
