epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.72202069,0.50333333,0.50169492,0.98666667,0.66516854,0.71740377,0.51000000,0.50515464,0.98000000,0.66666667
2,0.67410159,0.59000000,0.59854015,0.54666667,0.57142857,0.68239647,0.61000000,0.62790698,0.54000000,0.58064516
3,0.68149090,0.54666667,0.52592593,0.94666667,0.67619048,0.69064254,0.53000000,0.51724138,0.90000000,0.65693431
4,0.67163950,0.57333333,0.54330709,0.92000000,0.68316832,0.68816537,0.51000000,0.50617284,0.82000000,0.62595420
5,0.65736371,0.62000000,0.60588235,0.68666667,0.64375000,0.68368369,0.60000000,0.58620690,0.68000000,0.62962963
6,0.65592891,0.62666667,0.70212766,0.44000000,0.54098361,0.68809670,0.53000000,0.55172414,0.32000000,0.40506329
7,0.64830369,0.64000000,0.61931818,0.72666667,0.66871166,0.68418455,0.58000000,0.56896552,0.66000000,0.61111111
8,0.65373975,0.64333333,0.59307359,0.91333333,0.71916010,0.69259405,0.50000000,0.50000000,0.82000000,0.62121212
9,0.64148927,0.67666667,0.71900826,0.58000000,0.64206642,0.69294327,0.57000000,0.59459459,0.44000000,0.50574713
10,0.65119851,0.60000000,0.78846154,0.27333333,0.40594059,0.70503807,0.55000000,0.64705882,0.22000000,0.32835821
11,0.63008636,0.67000000,0.66666667,0.68000000,0.67326733,0.68757385,0.62000000,0.62500000,0.60000000,0.61224490
12,0.63285035,0.68333333,0.62557078,0.91333333,0.74254743,0.68821329,0.52000000,0.51351351,0.76000000,0.61290323
13,0.62264639,0.70000000,0.76315789,0.58000000,0.65909091,0.68924636,0.56000000,0.58333333,0.42000000,0.48837209
14,0.69831795,0.51666667,1.00000000,0.03333333,0.06451613,0.76679194,0.51000000,0.66666667,0.04000000,0.07547170
15,0.61520267,0.70000000,0.78301887,0.55333333,0.64843750,0.69523740,0.58000000,0.61764706,0.42000000,0.50000000
16,0.62201178,0.67666667,0.61087866,0.97333333,0.75064267,0.69439560,0.48000000,0.48780488,0.80000000,0.60606061
17,0.61226827,0.73000000,0.69714286,0.81333333,0.75076923,0.68556625,0.54000000,0.53225806,0.66000000,0.58928571
18,0.62730485,0.62000000,0.83333333,0.30000000,0.44117647,0.72592986,0.57000000,0.66666667,0.28000000,0.39436620
19,0.62575835,0.64000000,0.58333333,0.98000000,0.73134328,0.71000242,0.50000000,0.50000000,0.86000000,0.63235294
20,0.71988636,0.51000000,0.50505051,1.00000000,0.67114094,0.76474386,0.50000000,0.50000000,0.98000000,0.66216216
21,0.61680692,0.66333333,0.60000000,0.98000000,0.74430380,0.70374000,0.52000000,0.51219512,0.84000000,0.63636364
22,0.59547406,0.71333333,0.64159292,0.96666667,0.77127660,0.70347106,0.49000000,0.49382716,0.80000000,0.61068702
23,0.58495462,0.75000000,0.68292683,0.93333333,0.78873239,0.69742835,0.49000000,0.49275362,0.68000000,0.57142857
24,0.56558233,0.77666667,0.76100629,0.80666667,0.78317152,0.69647133,0.56000000,0.56250000,0.54000000,0.55102041
25,0.58667946,0.70000000,0.62931034,0.97333333,0.76439791,0.72245437,0.50000000,0.50000000,0.80000000,0.61538462
26,0.57090145,0.75333333,0.91304348,0.56000000,0.69421488,0.71589679,0.58000000,0.64285714,0.36000000,0.46153846
27,0.61384094,0.59666667,0.91428571,0.21333333,0.34594595,0.77052605,0.55000000,0.69230769,0.18000000,0.28571429
28,0.54819822,0.79000000,0.72307692,0.94000000,0.81739130,0.70597321,0.52000000,0.51515152,0.68000000,0.58620690
29,0.58979410,0.64666667,0.90740741,0.32666667,0.48039216,0.75372583,0.55000000,0.61904762,0.26000000,0.36619718
30,0.69488418,0.53333333,1.00000000,0.06666667,0.12500000,0.85600162,0.52000000,1.00000000,0.04000000,0.07692308
