epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69201773,0.50333333,0.50173010,0.96666667,0.66059226,0.69280410,0.52000000,0.51111111,0.92000000,0.65714286
2,0.68864614,0.50000000,0.00000000,0.00000000,0.00000000,0.69908714,0.50000000,0.00000000,0.00000000,0.00000000
3,0.67794484,0.58000000,0.61320755,0.43333333,0.50781250,0.69603461,0.52000000,0.53846154,0.28000000,0.36842105
4,0.68541610,0.50000000,0.00000000,0.00000000,0.00000000,0.70665252,0.50000000,0.00000000,0.00000000,0.00000000
5,0.67087954,0.65666667,0.70434783,0.54000000,0.61132075,0.69622892,0.56000000,0.58823529,0.40000000,0.47619048
6,0.67373204,0.52666667,1.00000000,0.05333333,0.10126582,0.71003383,0.50000000,0.50000000,0.04000000,0.07407407
7,0.67454493,0.52666667,0.83333333,0.06666667,0.12345679,0.71751326,0.49000000,0.40000000,0.04000000,0.07272727
8,0.65272117,0.67000000,0.68613139,0.62666667,0.65505226,0.70684844,0.49000000,0.48936170,0.46000000,0.47422680
9,0.65042168,0.67333333,0.62500000,0.86666667,0.72625698,0.69904387,0.57000000,0.55384615,0.72000000,0.62608696
10,0.66159004,0.59333333,0.55263158,0.98000000,0.70673077,0.70984387,0.51000000,0.50588235,0.86000000,0.63703704
11,0.64132959,0.62666667,0.74358974,0.38666667,0.50877193,0.72824138,0.52000000,0.53846154,0.28000000,0.36842105
12,0.65870351,0.53000000,0.90909091,0.06666667,0.12422360,0.74921280,0.52000000,0.75000000,0.06000000,0.11111111
13,0.61652476,0.65333333,0.84848485,0.37333333,0.51851852,0.72801179,0.52000000,0.55000000,0.22000000,0.31428571
14,0.66718018,0.56333333,0.53405018,0.99333333,0.69463869,0.72961158,0.51000000,0.50549451,0.92000000,0.65248227
15,0.61197931,0.66666667,0.74509804,0.50666667,0.60317460,0.71203893,0.58000000,0.63333333,0.38000000,0.47500000
16,0.67118275,0.50666667,1.00000000,0.01333333,0.02631579,0.81545991,0.52000000,1.00000000,0.04000000,0.07692308
17,0.61446691,0.64666667,0.58730159,0.98666667,0.73631841,0.74847317,0.54000000,0.52564103,0.82000000,0.64062500
18,0.59088308,0.78666667,0.78289474,0.79333333,0.78807947,0.71952754,0.52000000,0.52500000,0.42000000,0.46666667
19,0.64103645,0.56666667,0.88461538,0.15333333,0.26136364,0.86780328,0.52000000,0.62500000,0.10000000,0.17241379
20,0.58576059,0.75333333,0.73456790,0.79333333,0.76282051,0.73912549,0.56000000,0.56818182,0.50000000,0.53191489
21,0.57255822,0.68666667,0.88888889,0.42666667,0.57657658,0.79959518,0.51000000,0.52173913,0.24000000,0.32876712
22,0.56418574,0.76000000,0.76712329,0.74666667,0.75675676,0.72860342,0.55000000,0.55555556,0.50000000,0.52631579
23,0.59627128,0.64666667,0.90740741,0.32666667,0.48039216,0.91405720,0.52000000,0.56250000,0.18000000,0.27272727
24,0.59858471,0.66333333,0.60165975,0.96666667,0.74168798,0.80080932,0.54000000,0.52564103,0.82000000,0.64062500
25,0.50377625,0.80666667,0.75555556,0.90666667,0.82424242,0.75257558,0.53000000,0.52830189,0.56000000,0.54368932
26,0.50287235,0.79333333,0.75287356,0.87333333,0.80864198,0.79312432,0.53000000,0.52941176,0.54000000,0.53465347
27,0.46013206,0.81333333,0.77976190,0.87333333,0.82389937,0.77894413,0.54000000,0.53846154,0.56000000,0.54901961
28,0.52140170,0.73666667,0.78400000,0.65333333,0.71272727,0.90464687,0.49000000,0.48717949,0.38000000,0.42696629
29,0.52570665,0.78000000,0.77631579,0.78666667,0.78145695,0.81210935,0.53000000,0.53191489,0.50000000,0.51546392
30,0.69393194,0.55333333,0.83333333,0.13333333,0.22988506,1.04953301,0.47000000,0.36363636,0.08000000,0.13114754
