epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69497472,0.51666667,0.50871080,0.97333333,0.66819222,0.70584297,0.52000000,0.51020408,1.00000000,0.67567568
2,0.69280338,0.52333333,0.62068966,0.12000000,0.20111732,0.68418199,0.54000000,0.70000000,0.14000000,0.23333333
3,0.68274534,0.59000000,0.58823529,0.60000000,0.59405941,0.69588608,0.47000000,0.47272727,0.52000000,0.49523810
4,0.70947379,0.51000000,0.50508475,0.99333333,0.66966292,0.73570627,0.51000000,0.50505051,1.00000000,0.67114094
5,0.69748455,0.51333333,1.00000000,0.02666667,0.05194805,0.70016879,0.50000000,0.50000000,0.04000000,0.07407407
6,0.67775315,0.56000000,0.53214286,0.99333333,0.69302326,0.70449144,0.50000000,0.50000000,0.92000000,0.64788732
7,0.66197246,0.61333333,0.76562500,0.32666667,0.45794393,0.68674356,0.58000000,0.61764706,0.42000000,0.50000000
8,0.69174439,0.52666667,0.51369863,1.00000000,0.67873303,0.74095136,0.52000000,0.51020408,1.00000000,0.67567568
9,0.66972637,0.59666667,0.55555556,0.96666667,0.70559611,0.71180499,0.46000000,0.47727273,0.84000000,0.60869565
10,0.64648497,0.67333333,0.72807018,0.55333333,0.62878788,0.70319629,0.55000000,0.55555556,0.50000000,0.52631579
11,0.65303069,0.60000000,0.81250000,0.26000000,0.39393939,0.71114028,0.51000000,0.51851852,0.28000000,0.36363636
12,0.63046974,0.71000000,0.65517241,0.88666667,0.75354108,0.70964432,0.53000000,0.52173913,0.72000000,0.60504202
13,0.61921376,0.67000000,0.76842105,0.48666667,0.59591837,0.68720275,0.64000000,0.67500000,0.54000000,0.60000000
14,0.63680136,0.73333333,0.75735294,0.68666667,0.72027972,0.70169920,0.53000000,0.54054054,0.40000000,0.45977011
15,0.61112040,0.69000000,0.64321608,0.85333333,0.73352436,0.68321985,0.61000000,0.58461538,0.76000000,0.66086957
16,0.59328401,0.71333333,0.91025641,0.47333333,0.62280702,0.71228147,0.53000000,0.54838710,0.34000000,0.41975309
17,0.58733571,0.72666667,0.68681319,0.83333333,0.75301205,0.74236268,0.50000000,0.50000000,0.62000000,0.55357143
18,0.59439659,0.66666667,0.61792453,0.87333333,0.72375691,0.76073927,0.47000000,0.47887324,0.68000000,0.56198347
19,0.87519920,0.51000000,0.50505051,1.00000000,0.67114094,1.00429392,0.49000000,0.49494949,0.98000000,0.65771812
20,0.63205951,0.64666667,0.79729730,0.39333333,0.52678571,0.70356578,0.50000000,0.50000000,0.26000000,0.34210526
21,0.60524523,0.65666667,0.83098592,0.39333333,0.53393665,0.69090903,0.57000000,0.65217391,0.30000000,0.41095890
22,0.55998790,0.77000000,0.70149254,0.94000000,0.80341880,0.72248274,0.57000000,0.55223881,0.74000000,0.63247863
23,0.57738280,0.70000000,0.63274336,0.95333333,0.76063830,0.76197124,0.50000000,0.50000000,0.78000000,0.60937500
24,0.62063581,0.64000000,0.58467742,0.96666667,0.72864322,0.77916855,0.48000000,0.48780488,0.80000000,0.60606061
25,0.81896025,0.52666667,0.51369863,1.00000000,0.67873303,1.01530576,0.48000000,0.48958333,0.94000000,0.64383562
26,0.54167432,0.72333333,0.88505747,0.51333333,0.64978903,0.75509810,0.53000000,0.56000000,0.28000000,0.37333333
27,0.57151049,0.70333333,0.63090129,0.98000000,0.76762402,0.74744064,0.53000000,0.51948052,0.80000000,0.62992126
28,0.51477247,0.78000000,0.76250000,0.81333333,0.78709677,0.79174805,0.50000000,0.50000000,0.54000000,0.51923077
29,0.52626932,0.74333333,0.67136150,0.95333333,0.78787879,0.77011579,0.55000000,0.53623188,0.74000000,0.62184874
30,0.58012772,0.64000000,0.97727273,0.28666667,0.44329897,0.79827517,0.52000000,0.57142857,0.16000000,0.25000000
31,0.54855293,0.72666667,0.64782609,0.99333333,0.78421053,0.78859085,0.48000000,0.48750000,0.78000000,0.60000000
32,0.51466799,0.77333333,0.92708333,0.59333333,0.72357724,0.76313126,0.49000000,0.48148148,0.26000000,0.33766234
33,0.57904768,0.77000000,0.70149254,0.94000000,0.80341880,0.68983454,0.51000000,0.50724638,0.70000000,0.58823529
34,0.57433826,0.66000000,0.98000000,0.32666667,0.49000000,0.75214338,0.57000000,0.73333333,0.22000000,0.33846154
35,0.43578368,0.81333333,0.75543478,0.92666667,0.83233533,0.80725724,0.57000000,0.56363636,0.62000000,0.59047619
36,0.58042657,0.69000000,0.61728395,1.00000000,0.76335878,0.93345487,0.54000000,0.52439024,0.86000000,0.65151515
37,0.46886891,0.77333333,0.70918367,0.92666667,0.80346821,0.86455184,0.49000000,0.49180328,0.60000000,0.54054054
38,0.62138963,0.60666667,0.97058824,0.22000000,0.35869565,0.99106878,0.53000000,0.61538462,0.16000000,0.25396825
