epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68687826,0.57333333,0.61458333,0.39333333,0.47967480,0.68931168,0.58000000,0.64285714,0.36000000,0.46153846
2,0.68426055,0.56333333,0.71111111,0.21333333,0.32820513,0.69818312,0.51000000,0.53333333,0.16000000,0.24615385
3,0.70516646,0.50000000,0.50000000,1.00000000,0.66666667,0.71481609,0.50000000,0.50000000,1.00000000,0.66666667
4,0.68157351,0.60000000,0.56637168,0.85333333,0.68085106,0.68994528,0.49000000,0.49315068,0.72000000,0.58536585
5,0.68240815,0.53000000,0.68000000,0.11333333,0.19428571,0.69819194,0.50000000,0.50000000,0.08000000,0.13793103
6,0.67992294,0.56333333,0.53429603,0.98666667,0.69320843,0.69132954,0.53000000,0.51612903,0.96000000,0.67132867
7,0.67754358,0.55666667,0.59770115,0.34666667,0.43881857,0.69513106,0.55000000,0.58620690,0.34000000,0.43037975
8,0.66823989,0.61333333,0.62878788,0.55333333,0.58865248,0.69845784,0.55000000,0.55813953,0.48000000,0.51612903
9,0.69170028,0.51333333,0.83333333,0.03333333,0.06410256,0.73405713,0.47000000,0.00000000,0.00000000,0.00000000
10,0.66514999,0.65666667,0.62983425,0.76000000,0.68882175,0.68503803,0.56000000,0.55000000,0.66000000,0.60000000
11,0.68168217,0.52666667,0.51388889,0.98666667,0.67579909,0.70650989,0.51000000,0.50515464,0.98000000,0.66666667
12,0.66131097,0.55666667,0.77419355,0.16000000,0.26519337,0.71546459,0.49000000,0.45454545,0.10000000,0.16393443
13,0.65226847,0.62333333,0.57613169,0.93333333,0.71246819,0.71191519,0.51000000,0.50588235,0.86000000,0.63703704
14,0.64351785,0.67000000,0.61333333,0.92000000,0.73600000,0.69823915,0.53000000,0.51898734,0.82000000,0.63565891
15,0.65433234,0.60000000,0.55681818,0.98000000,0.71014493,0.72958153,0.49000000,0.49425287,0.86000000,0.62773723
16,0.69609457,0.51000000,0.50505051,1.00000000,0.67114094,0.72063977,0.51000000,0.50515464,0.98000000,0.66666667
17,0.62057942,0.68666667,0.73333333,0.58666667,0.65185185,0.71126068,0.59000000,0.60465116,0.52000000,0.55913978
18,0.60552174,0.66666667,0.71551724,0.55333333,0.62406015,0.72265285,0.60000000,0.62500000,0.50000000,0.55555556
19,0.62498486,0.65000000,0.58964143,0.98666667,0.73815461,0.72970074,0.49000000,0.49411765,0.84000000,0.62222222
20,0.72675109,0.50666667,1.00000000,0.01333333,0.02631579,0.84154755,0.51000000,1.00000000,0.02000000,0.03921569
21,0.66115683,0.55333333,0.52816901,1.00000000,0.69124424,0.71522468,0.50000000,0.50000000,0.94000000,0.65277778
22,0.59883690,0.75666667,0.71270718,0.86000000,0.77945619,0.71421731,0.57000000,0.56140351,0.64000000,0.59813084
23,0.57258880,0.74000000,0.68000000,0.90666667,0.77714286,0.72325438,0.58000000,0.56250000,0.72000000,0.63157895
24,0.56514329,0.72000000,0.73571429,0.68666667,0.71034483,0.76927292,0.52000000,0.51923077,0.54000000,0.52941176
25,0.59816480,0.65666667,0.59437751,0.98666667,0.74185464,0.78250420,0.48000000,0.48809524,0.82000000,0.61194030
26,0.55164289,0.74333333,0.75886525,0.71333333,0.73539519,0.77338600,0.60000000,0.60416667,0.58000000,0.59183673
27,0.55310285,0.76666667,0.73809524,0.82666667,0.77987421,0.74116516,0.57000000,0.56603774,0.60000000,0.58252427
28,0.56355339,0.69666667,0.62882096,0.96000000,0.75989446,0.81196976,0.51000000,0.50649351,0.78000000,0.61417323
29,0.56651706,0.70000000,0.80612245,0.52666667,0.63709677,0.79975969,0.58000000,0.62500000,0.40000000,0.48780488
30,0.53387642,0.73666667,0.65777778,0.98666667,0.78933333,0.78208470,0.55000000,0.53424658,0.78000000,0.63414634
31,0.50671762,0.82000000,0.86363636,0.76000000,0.80851064,0.79627717,0.58000000,0.60526316,0.46000000,0.52272727
32,0.61048007,0.55333333,1.00000000,0.10666667,0.19277108,0.82578421,0.52000000,1.00000000,0.04000000,0.07692308
33,0.51829594,0.72666667,0.80357143,0.60000000,0.68702290,0.90992820,0.54000000,0.55882353,0.38000000,0.45238095
34,0.49758843,0.77000000,0.92631579,0.58666667,0.71836735,0.78126186,0.59000000,0.63636364,0.42000000,0.50602410
35,0.49499258,0.82000000,0.77272727,0.90666667,0.83435583,0.75400668,0.54000000,0.53333333,0.64000000,0.58181818
36,0.50262463,0.80333333,0.74331551,0.92666667,0.82492582,0.76109284,0.55000000,0.54098361,0.66000000,0.59459459
37,0.61021453,0.63000000,0.57471264,1.00000000,0.72992701,0.79960567,0.52000000,0.51162791,0.88000000,0.64705882
