epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69671643,0.50666667,0.50347222,0.96666667,0.66210046,0.70238006,0.49000000,0.49473684,0.94000000,0.64827586
2,0.68866551,0.53333333,0.53424658,0.52000000,0.52702703,0.69739926,0.48000000,0.48076923,0.50000000,0.49019608
3,0.68130749,0.58666667,0.56842105,0.72000000,0.63529412,0.69443184,0.51000000,0.50704225,0.72000000,0.59504132
4,0.67772770,0.59666667,0.60000000,0.58000000,0.58983051,0.69378781,0.50000000,0.50000000,0.54000000,0.51923077
5,0.67514449,0.60333333,0.62400000,0.52000000,0.56727273,0.69487137,0.52000000,0.52083333,0.50000000,0.51020408
6,0.67118329,0.60333333,0.59748428,0.63333333,0.61488673,0.69448674,0.51000000,0.50909091,0.56000000,0.53333333
7,0.66875398,0.62333333,0.62585034,0.61333333,0.61952862,0.69402772,0.50000000,0.50000000,0.48000000,0.48979592
8,0.66559941,0.64333333,0.62146893,0.73333333,0.67278287,0.69377393,0.54000000,0.53125000,0.68000000,0.59649123
9,0.66495931,0.60333333,0.64485981,0.46000000,0.53696498,0.69507778,0.49000000,0.48837209,0.42000000,0.45161290
10,0.66139191,0.66000000,0.62000000,0.82666667,0.70857143,0.69432694,0.53000000,0.52112676,0.74000000,0.61157025
11,0.66859764,0.58333333,0.54752852,0.96000000,0.69733656,0.69773602,0.51000000,0.50549451,0.92000000,0.65248227
12,0.65544790,0.68333333,0.64102564,0.83333333,0.72463768,0.69359648,0.53000000,0.52173913,0.72000000,0.60504202
13,0.65277743,0.64333333,0.67479675,0.55333333,0.60805861,0.69634336,0.49000000,0.48837209,0.42000000,0.45161290
14,0.64740133,0.65333333,0.63855422,0.70666667,0.67088608,0.69848710,0.49000000,0.49152542,0.58000000,0.53211009
15,0.64706969,0.64333333,0.60487805,0.82666667,0.69859155,0.70121884,0.49000000,0.49333333,0.74000000,0.59200000
16,0.64307135,0.67666667,0.64324324,0.79333333,0.71044776,0.70108122,0.51000000,0.50769231,0.66000000,0.57391304
17,0.64480805,0.66333333,0.60986547,0.90666667,0.72922252,0.69624060,0.52000000,0.51219512,0.84000000,0.63636364
18,0.63494885,0.65333333,0.66197183,0.62666667,0.64383562,0.70520264,0.50000000,0.50000000,0.52000000,0.50980392
19,0.63116825,0.68000000,0.69285714,0.64666667,0.66896552,0.70161253,0.52000000,0.52000000,0.52000000,0.52000000
20,0.62540895,0.66000000,0.65789474,0.66666667,0.66225166,0.70652503,0.50000000,0.50000000,0.52000000,0.50980392
21,0.62426215,0.73666667,0.68205128,0.88666667,0.77101449,0.69378233,0.54000000,0.52631579,0.80000000,0.63492063
22,0.61873204,0.67000000,0.67346939,0.66000000,0.66666667,0.71314436,0.51000000,0.50980392,0.52000000,0.51485149
23,0.61941612,0.67000000,0.77419355,0.48000000,0.59259259,0.71139348,0.48000000,0.47222222,0.34000000,0.39534884
24,0.61170208,0.71000000,0.65071770,0.90666667,0.75766017,0.71083295,0.54000000,0.52631579,0.80000000,0.63492063
25,0.62741190,0.64666667,0.89285714,0.33333333,0.48543689,0.71301883,0.54000000,0.60000000,0.24000000,0.34285714
26,0.59334487,0.75000000,0.70270270,0.86666667,0.77611940,0.70380020,0.54000000,0.52777778,0.76000000,0.62295082
27,0.58763808,0.76666667,0.70618557,0.91333333,0.79651163,0.70334089,0.53000000,0.52054795,0.76000000,0.61788618
28,0.59171182,0.69666667,0.82417582,0.50000000,0.62240664,0.71681792,0.51000000,0.51515152,0.34000000,0.40963855
29,0.58546889,0.70000000,0.83333333,0.50000000,0.62500000,0.71262121,0.52000000,0.53125000,0.34000000,0.41463415
30,0.60963708,0.64000000,0.90384615,0.31333333,0.46534653,0.73451674,0.51000000,0.52941176,0.18000000,0.26865672
31,0.56717998,0.73000000,0.79487179,0.62000000,0.69662921,0.71950901,0.45000000,0.44186047,0.38000000,0.40860215
32,0.58353060,0.68333333,0.86666667,0.43333333,0.57777778,0.71500701,0.52000000,0.53846154,0.28000000,0.36842105
33,0.58544803,0.67666667,0.92063492,0.38666667,0.54460094,0.75392956,0.53000000,0.56521739,0.26000000,0.35616438
34,0.53757381,0.80000000,0.80405405,0.79333333,0.79865772,0.73596734,0.51000000,0.50877193,0.58000000,0.54205607
35,0.57626009,0.67000000,0.89230769,0.38666667,0.53953488,0.74542111,0.53000000,0.57142857,0.24000000,0.33802817
36,0.53876346,0.75333333,0.67117117,0.99333333,0.80107527,0.73727673,0.54000000,0.52500000,0.84000000,0.64615385
37,0.51423758,0.84666667,0.83766234,0.86000000,0.84868421,0.71220398,0.54000000,0.53703704,0.58000000,0.55769231
38,0.50430948,0.84000000,0.85915493,0.81333333,0.83561644,0.72133434,0.52000000,0.52173913,0.48000000,0.50000000
39,0.50041264,0.83000000,0.84615385,0.80666667,0.82593857,0.73968011,0.53000000,0.53061224,0.52000000,0.52525253
40,0.51603258,0.78000000,0.69811321,0.98666667,0.81767956,0.72291833,0.51000000,0.50632911,0.80000000,0.62015504
41,0.60510683,0.60666667,1.00000000,0.21333333,0.35164835,0.82108623,0.51000000,0.57142857,0.08000000,0.14035088
